povećati	povećati	Vmn
za	za	Sa
iznos	iznos	Ncmsan
takvih	takav	Pd-npg
isključenja	isključenje	Ncnsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
je	biti	Var3s
iznos	iznos	Ncmsn
tog	taj	Pd-nsg
smanjenja	smanjenje	Ncnsg
vrijednosti	vrijednost	Ncfsg
ili	ili	Cc
pretvaranja	pretvaranje	Ncnsg
koji	koji	Pi-msn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
na	na	Sa
ostale	ostali	Agpfpay
podložne	podložan	Agpfpay
obveze	obveza	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
načelom	načelo	Ncnsi
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Državna	državni	Agpfsny
agencija	agencija	Ncfsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
pri	pri	Sl
donošenju	donošenje	Ncnsl
odluke	odluka	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
:	:	Z

a	a	Cc
)	)	Z
načelo	načeti	Vmp-sn
da	da	Cs
gubitke	gubitak	Ncmpa
prvo	prvo	Rgp
snosi	snositi	Vmr3s
dioničar	dioničar	Ncmsn
,	,	Z
a	a	Cc
zatim	zatim	Rgp
vjerovnik	vjerovnik	Ncmsn
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
prema	prema	Sl
redoslijedu	redoslijed	Ncmsl
prvenstva	prvenstvo	Ncnsg
namire	namiriti	Vmr3p
