zatražen	zatražiti	Appmsnn
prijenos	prijenos	Ncmsn
,	,	Z
smanjenje	smanjenje	Ncnsa
,	,	Z
pretvaranje	pretvaranje	Ncnsn
ili	ili	Cc
je	biti	Var3s
poduzeta	poduzeti	Appfsny
druga	drugi	Mlofsn
radnja	radnja	Ncfsn
,	,	Z
isto	isto	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
obustaviti	obustaviti	Vmn
.	.	Z

Isključenje	isključenje	Ncnsn
određenih	određen	Agpmpgy
ugovornih	ugovoran	Agpmpgy
uvjeta	uvjet	Ncmpg
pri	pri	Sl
sanaciji	sanacija	Ncfsl

Članak	članak	Ncmsn
89.	89.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
ugovorne	ugovoran	Agpfpay
obveze	obveza	Ncfpa
institucije	institucija	Ncfsg
nad	nad	Si
kojom	koji	Pi-fsi
je	biti	Var3s
primijenjena	primijeniti	Appfsny
mjera	mjera	Ncfsn
za	za	Sa
sprečavanje	sprečavanje	Ncnsa
krize	kriza	Ncfsg
ili	ili	Cc
mjera	mjera	Ncfpg
za	za	Sa
upravljanje	upravljanje	Ncnsa
krizom	kriza	Ncfsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
,	,	Z
primjena	primjena	Ncfsn
tih	taj	Pd-fpg
mjera	mjera	Ncfpg
uključujući	uključivati	Rr
i	i	Qo
nastup	nastup	Ncmsan
svakog	svaki	Pi-msg
događaja	događaj	Ncmsg
izravno	izravno	Rgp
povezanog	povezan	Agpmsgy
s	sa	Si
primjenom	primjena	Ncfsi
tih	taj	Pd-fpg
mjera	mjera	Ncfpg
,	,	Z
ne	ne	Qz
smatra	smatrati	Vmr3s
se	sebe	Px--sa
samo	samo	Rgp
po	po	Sl
sebi	sebe	Px--sl
pretpostavkom	pretpostavka	Ncfsi
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
instrumenta	instrument	Ncmsg
financijskog	financijski	Agpnsgy
osiguranja	osiguranje	Ncnsg
u	u	Sl
