nastupanja	nastupanje	Ncnsg
odgode	odgoda	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odgodi	odgoda	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
biti	biti	Van
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
odluke	odluka	Ncfsg
o	o	Sl
otvaranju	otvaranje	Ncnsl
postupka	postupak	Ncmsg
sanacije	sanacija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
29.	29.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Odgoda	odgoda	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
od	od	Sg
trenutka	trenutak	Ncmsg
navedenog	naveden	Agpmsgy
u	u	Sl
izrijeci	izrijeka	Ncfsl
odluke	odluka	Ncfsg
o	o	Sl
odgodi	odgoda	Ncfsl
i	i	Cc
traje	trajati	Vmr3s
do	do	Sg
ponoći	ponoć	Ncfsg
sljedećeg	sljedeći	Agpmsgy
radnog	radni	Agpmsgy
dana	dan	Ncmsg
računajući	računati	Rr
od	od	Sg
dana	dan	Ncmsg
navedenog	navesti	Appmsgy
u	u	Sl
izrijeci	izrijeka	Ncfsl
odluke	odluka	Ncfsg
o	o	Sl
odgodi	odgoda	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ovlast	ovlast	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
odnositi	odnositi	Vmn
i	i	Qo
na	na	Sa
ugovorne	ugovoran	Agpmpay
odnose	odnos	Ncmpa
koje	koji	Pi-mpa
je	biti	Var3s
druga	drugi	Mlofsn
ugovorna	ugovoran	Agpfsny
strana	strana	Ncfsn
zaključila	zaključiti	Vmp-sf
s	sa	Si
društvom	društvo	Ncnsi
kćeri	kći	Ncfsg
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
ako	ako	Cs
:	:	Z

a	a	Cc
)	)	Z
za	za	Sa
te	taj	Pd-fsg
ugovorne	ugovoran	Agpfsgy
obveze	obveza	Ncfsg
jamči	jamčiti	Vmr3s
ili	ili	Cc
ih	oni	Pp3-pa
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
osigurava	osiguravati	Vmr3s
institucija	institucija	Ncfsn
u	u	Sl
sanaciji	sanacija	Ncfsl

b	b	Npmsn
)	)	Z
je	biti	Var3s
pravo	prav	Agpnsny
na	na	Sa
otkaz	otkaz	Ncmsan
ugovora	ugovor	Ncmsg
temeljeno	temeljiti	Appnsny
isključivo	isključivo	Rgp
na	na	Sl
nesolventnosti	nesolventnost	Ncfsl
odnosno	odnosno	Rgp
financijskom	financijski	Agpnsly
stanju	stanje	Ncnsl
institucije	institucija	Ncfsg
u	u	Sl
sanaciji	sanacija	Ncfsl
i	i	Cc

c	C	Npmsn
)	)	Z
se	sebe	Px--sa
na	na	Sa
instituciju	institucija	Ncfsa
u	u	Sl
