informacija	informacija	Ncfsn
iz	iz	Sg
Zakona	zakon	Ncmsg
o	o	Sl
sanaciji	sanacija	Ncfsl
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
i	i	Cc
investicijskih	investicijski	Agpnpgy
društava	društvo	Ncnpg
,	,	Z
zaprimljene	zaprimiti	Agpmpay
planove	plan	Ncmpa
oporavka	oporavak	Ncmsg
za	za	Sa
grupu	grupa	Ncfsa
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
dostavlja	dostavljati	Vmr3s
:	:	Z

1	1	Mdc
)	)	Z
nadležnim	nadležan	Agpnply
tijelima	tijelo	Ncnpl
država	država	Ncfsn
članica	članica	Ncfpg
koja	koji	Pi-npn
su	biti	Var3p
uključena	uključiti	Appnpny
u	u	Sa
kolegij	kolegij	Ncmsan
supervizora	supervizor	Ncmsg

2	2	Mdc
)	)	Z
nadležnim	nadležan	Agpnply
tijelima	tijelo	Ncnpl
država	država	Ncfsn
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
značajne	značajan	Agpfpny
podružnice	podružnica	Ncfpn
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
važno	važan	Agpnsny
za	za	Sa
tu	taj	Pd-fsa
podružnicu	podružnica	Ncfsa

3	3	Mdc
)	)	Z
sanacijskom	sanacijski	Agpnsly
tijelu	tijelo	Ncnsl
za	za	Sa
grupu	grupa	Ncfsa
i	i	Cc

4	4	Mdc
)	)	Z
sanacijskom	sanacijski	Agpnsly
tijelu	tijelo	Ncnsl
za	za	Sa
društvo	društvo	Ncnsa
kći	kći	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
savjetovanja	savjetovanje	Ncnsg
s	sa	Si
nadležnim	nadležan	Agpnpiy
tijelima	tijelo	Ncnpi
uključenim	uključen	Agpmpiy
u	u	Sa
kolegij	kolegij	Ncmsan
supervizora	supervizor	Ncmpg
i	i	Cc
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
važno	važan	Agpnsny
za	za	Sa
tu	taj	Pd-fsa
podružnicu	podružnica	Ncfsa
,	,	Z
nakon	nakon	Sg
savjetovanja	savjetovanje	Ncnsg
s	sa	Si
nadležnim	nadležan	Agpnpiy
tijelima	tijelo	Ncnpi
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
nalaze	nalaziti	Vmr3p
značajne	značajan	Agpfpny
podružnice	podružnica	Ncfpn
,	,	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
kao	kao	Cs
konsolidirajuće	konsolidirajući	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
i	i	Cc
nadležna	nadležan	Agpnpay
tijela	tijelo	Ncnpa
drugih	drugi	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
sjedište	sjedište	Ncnsn
drugih	drugi	Mlompg
društava	društvo	Ncnpg
koja	koji	Pi-npn
su	biti	Var3p
uključena	uključiti	Appnpny
u	u	Sa
grupu	grupa	Ncfsa
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
RH	RH	Npfsl
provjeravaju	provjeravati	Vmr3p
,	,	Z
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
154.	154.	Mdo
a	a	Cc
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ispunjava	ispunjavati	Vmr3s
li	li	Qq
plan	plan	Ncmsan
oporavka	oporavak	Ncmsg
za	za	Sa
grupu	grupa	Ncfsa
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
zahtjeve	zahtjev	Ncmpa
i	i	Cc
uvjete	uvjet	Ncmpa
propisane	propisati	Appmpay
člankom	članak	Ncmsi
154.	154.	Mdo
a	a	Cc
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ovim	ovaj	Pd-msi
člankom	članak	Ncmsi
i	i	Cc
podzakonskim	podzakonski	Agpmsiy
propisom	propis	Ncmsi
donesenim	donesen	Agpmsiy
temeljem	temelj	Ncmsi
članka	članak	Ncmsg
101.	101.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pri	pri	Sl
provjeri	provjera	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uzima	uzimati	Vmr3s
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
mogući	moguć	Agpmsayn
utjecaj	utjecaj	Ncmsan
mjera	mjera	Ncfpg
oporavka	oporavak	Ncmsg
predloženih	predložen	Agpmpgy
planom	plan	Ncmsi
oporavka	oporavak	Ncmsg
na	na	Sa
financijsku	financijski	Agpfsay
stabilnost	stabilnost	Ncfsa
u	u	Sl
svim	sav	Agpfply
državama	država	Ncfpl
članicama	članica	Ncfpl
u	u	Sl
kojima	koji	Pi-fpl
grupa	grupa	Ncfsn
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
RH	r	Ncmsl
posluje	poslovati	Vmr3s
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
surađivat	surađivati	Vmn
će	htjeti	Var3s
s	sa	Si
nadležnim	nadležan	Agpnpiy
tijelima	tijelo	Ncnpi
država	država	Ncfpg
članica	članica	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
je	biti	Var3s
sjedište	sjedište	Ncnsn
drugih	drugi	Mlonpg
društava	društvo	Ncnpg
kćeri	kći	Ncfpg
koja	koji	Pi-npn
su	biti	Var3p
uključena	uključiti	Appnpny
u	u	Sa
tu	taj	Pd-fsa
grupu	grupa	Ncfsa
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
RH	RH	Npfsl
radi	radi	Sg
donošenja	donošenje	Ncnsg
zajedničke	zajednički	Agpfsgy
odluke	odluka	Ncfsg
:	:	Z

1	1	Mdc
)	)	Z
o	o	Sl
provjeri	provjera	Ncfsl
i	i	Cc
procjeni	procjena	Ncfsl
plana	plan	Ncmsg
oporavka	oporavak	Ncmsg
za	za	Sa
grupu	grupa	Ncfsa
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
RH	RH	Npfsl

2	2	Mdc
)	)	Z
o	o	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
izradu	izrada	Ncfsa
pojedinačnog	pojedinačan	Agpmsgy
plana	plan	Ncmsg
oporavka	oporavak	Ncmsg
za	za	Sa
pojedinu	pojedini	Agpfsay
kreditnu	kreditan	Agpfsay
instituciju	institucija	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
dio	dio	Ncmsan
grupe	grupa	Ncfsg
kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
RH	RH	Npfsl

3	3	Mdc
)	)	Z
o	o	Sl
