kreditnih	kreditan	Agpfpgy
institucija	institucija	Ncfpg
u	u	Sl
RH	RH	Npfsl
,	,	Z
uključujući	uključivati	Rr
njegove	njegov	Ps3fpa
fiskalne	fiskalan	Agpmpay
učinke	učinak	Ncmpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
bit	biti	Van
će	htjeti	Var3s
donesena	donijeti	Appfsny
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
četiri	četiri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
kada	kada	Cs
je	biti	Var3s
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
primila	primiti	Vmp-sf
zahtjev	zahtjev	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Ova	ovaj	Pd-fsn
odluka	odluka	Ncfsn
mora	morati	Vmr3s
biti	biti	Van
u	u	Sl
pisanom	pisan	Agpmsly
obliku	oblik	Ncmsl
i	i	Cc
obrazložena	obrazložiti	Appfsny
.	.	Z

Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
dostavit	dostaviti	Vmn
će	htjeti	Var3s
ovu	ovaj	Pd-fsa
odluku	odluka	Ncfsa
podnositelju	podnositelj	Ncmsd
zahtjeva	zahtjev	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
donesena	donijeti	Appfsny
zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
o	o	Sl
tome	taj	Pd-nsl
da	da	Cs
su	biti	Var3p
uvjeti	uvjet	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
216.	216.	Mdo
f	a	Ncfsg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ispunjeni	ispuniti	Appmpny
,	,	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
će	htjeti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
te	taj	Pd-fsg
odluke	odluka	Ncfsg
izdati	izdati	Vmn
odobrenje	odobrenje	Ncnsa
za	za	Sa
sklapanje	sklapanje	Ncnsa
sporazuma	sporazum	Ncmsg
o	o	Sl
potpori	potpora	Ncfsl
u	u	Sl
RH	ra	Ncfsl
i	i	Cc
dostaviti	dostaviti	Vmn
ga	on	Pp3msa
podnositelju	podnositelj	Ncmsd
zahtjeva	zahtjev	Ncmpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
donesena	donijeti	Appfsny
zajednička	zajednički	Agpfsny
odluka	odluka	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
o	o	Sl
tome	taj	Pd-nsl
da	da	Cs
uvjeti	uvjet	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
216.	216.	Mdo
f	a	Ncfsg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nisu	biti	Var3p
ispunjeni	ispuniti	Appmpny
,	,	Z
Hrvatska	hrvatski	Agpfsny
narodna	narodni	Agpfsny
banka	banka	Ncfsn
će	htjeti	Var3s
na	na	Sl
temelju	temelj	Ncmsl
te	taj	Pd-fsg
odluke	odluka	Ncfsg
odbiti	odbiti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
