štednih	štedni	Agpfpgy
uloga	uloga	Ncfpg
i	i	Cc
sanaciju	sanacija	Ncfsa
banaka	banka	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Danom	dan	Ncmsi
dostave	dostava	Ncfsg
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
odluke	odluka	Ncfsg
o	o	Sl
imenovanju	imenovanje	Ncnsl
likvidatora	likvidator	Ncmsg
prestaju	prestajati	Vmr3p
svi	sav	Agpmpny
ugovori	ugovor	Ncmpn
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
su	biti	Var3p
dotadašnji	dotadašnji	Agpmpny
članovi	član	Ncmpn
uprave	uprava	Ncfsg
bili	biti	Vap-pm
zaposleni	zaposliti	Appmpny
u	u	Sl
toj	taj	Ncfsl
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
111.	111.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
259.	259.	Mdo
dodaju	dodati	Vmr3p
se	sebe	Px--sa
naslovi	naslov	Ncmpn
iznad	iznad	Sg
članaka	članak	Ncmpg
i	i	Cc
članci	članak	Ncmpn
259.	259.	Mdo
a	a	Cc
,	,	Z
259.	259.	Mdo
b	b	Cc
i	i	Qo
259.	259.	Mdo
c	C	Ncmpa
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
Privremene	privremen	Agpfsgy
zabrane	zabrana	Ncfsg
nakon	nakon	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
prisilne	prisilan	Agpfsgy
likvidacije	likvidacija	Ncfsg

Članak	članak	Ncmsn
259.	259.	Mdo
a	a	Cc

(	(	Z
1	1	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
pokretanju	pokretanje	Ncnsl
prisilne	prisilan	Agpfsgy
likvidacije	likvidacija	Ncfsg
nad	nad	Si
kreditnom	kreditan	Agpfsiy
institucijom	institucija	Ncfsi
ima	imati	Vmr3s
sljedeće	sljedeći	Agpfpay
posljedice	posljedica	Ncfpa
:	:	Z

1	1	Mdc
)	)	Z
privremenu	privremen	Agpfsay
zabranu	zabrana	Ncfsa
provedbe	provedba	Ncfsg
osnova	osnova	Ncfpg
za	za	Sa
plaćanje	plaćanje	Ncnsa
na	na	Sa
teret	teret	Ncmsan
računa	račun	Ncmsg
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
u	u	Sl
prisilnoj	prisilan	Agpfsly
likvidaciji	likvidacija	Ncfsl
i	i	Cc
na	na	Sa
teret	teret	Ncmsan
računa	račun	Ncmsg
klijenata	klijent	Ncmpg
te	te	Cc
kreditne	kreditan	Agpfsgy
institucije	institucija	Ncfsg
u	u	Sl
prisilnoj	prisilan	Agpfsly
likvidaciji	likvidacija	Ncfsl
prema	prema	Sl
zakonu	zakon	Ncmsl
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
provedba	provedba	Ncfsn
ovrhe	ovrha	Ncfsg
na	na	Sl
novčanim	novčan	Agpnply
sredstvima	sredstvo	Ncnpl

2	2	Mdc
)	)	Z
privremenu	privremen	Agpfsay
zabranu	zabrana	Ncfsa
kreditnoj	kreditan	Agpfsdy
instituciji	institucija	Ncfsd
u	u	Sl
prisilnoj	prisilan	Agpfsly
likvidaciji	likvidacija	Ncfsl
da	da	Cs
obavlja	obavljati	Vmr3s
plaćanja	plaćanje	Ncnpa
sa	sa	Sg
svih	sav	Agpmpgy
svojih	svoj	Ncmpg
računa	račun	Ncmpg
za	za	Sa
svoje	svoj	Px-fpa
potrebe	potreba	Ncfpa
i	i	Cc
da	da	Cs
prima	primati	Vmr3s
uplate	uplata	Ncfpa
na	na	Sa
svoje	svoj	Px-mpa
račune	račun	Ncmpa

3	3	Mdc
)	)	Z
privremenu	privremen	Agpfsay
zabranu	zabrana	Ncfsa
kreditnoj	kreditan	Agpfsdy
instituciji	institucija	Ncfsd
u	u	Sl
prisilnoj	prisilan	Agpfsly
likvidaciji	likvidacija	Ncfsl
da	da	Cs
pruža	pružati	Vmr3s
platne	platni	Agpfpay
usluge	usluga	Ncfpa
za	za	Sa
svoje	svoj	Px-mpa
klijente	klijent	Ncmpa

4	4	Mdc
)	)	Z
privremenu	privremen	Agpfsay
zabranu	zabrana	Ncfsa
kreditnoj	kreditan	Agpfsdy
instituciji	institucija	Ncfsd
u	u	Sl
prisilnoj	prisilan	Agpfsly
likvidaciji	likvidacija	Ncfsl
da	da	Cs
obavlja	obavljati	Vmr3s
isplate	isplata	Ncfpa
i	i	Cc
prijenos	prijenos	Ncmsan
s	sa	Sg
računa	račun	Ncmsg
svojih	svoj	Px-mpg
klijenata	klijent	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
dopuštene	dopustiti	Appfpny
su	biti	Var3p
sljedeće	sljedeći	Agpfpny
uplate	uplata	Ncfpn
kojima	koji	Pi-fpi
dužnici	dužnik	Ncmpn
ispunjavaju	ispunjavati	Vmr3p
svoje	svoj	Px-fpa
obveze	obveza	Ncfpa
prema	prema	Sl
kreditnoj	kreditan	Agpfsly
instituciji	institucija	Ncfsl
u	u	Sl
prisilnoj	prisilan	Agpfsly
