područje	područje	Ncnsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
podijeli	podijeliti	Vmr3s
na	na	Sa
deset	deset	Mlc
izbornih	izborni	Agpfpgy
jedinica	jedinica	Ncfpg
te	te	Cc
se	sebe	Px--sa
u	u	Sl
svakoj	svaki	Pi-fsl
izbornoj	izborni	Agpfsly
jedinici	jedinica	Ncfsl
bira	birati	Vmr3s
14	14	Mdc
zastupnika	zastupnik	Ncmpg
u	u	Sa
Sabor	sabor	Ncmsan
.	.	Z

Zastupnici	zastupnik	Ncmpn
u	u	Sa
Sabor	sabor	Ncmsan
biraju	birati	Vmr3p
se	sebe	Px--sa
po	po	Sl
proporcionalnoj	proporcionalan	Agpfsly
zastupljenosti	zastupljenost	Ncfsl
i	i	Cc
preferencijskom	preferencijski	Agpnsly
glasovanju	glasovanje	Ncnsl
.	.	Z

Birači	birač	Ncmpn
mogu	moći	Vmr3p
glasovati	glasovati	Vmn
samo	samo	Rgp
za	za	Sa
jednu	jedan	Agpfsay
listu	lista	Ncfsa
kandidata	kandidat	Ncmpg
.	.	Z

Birač	birač	Ncmsn
na	na	Sl
glasačkom	glasački	Agpmsly
listiću	listić	Ncmsl
može	moći	Vmr3s
označiti	označiti	Vmn
jednog	jedan	Mlcmsay
kandidata	kandidat	Ncmsay
koji	koji	Pi-msn
ima	imati	Vmr3s
prednost	prednost	Ncfsa
pred	pred	Si
ostalim	ostali	Agpmpiy
kandidatima	kandidat	Ncmpi
na	na	Sl
listi	lista	Ncfsl
za	za	Sa
koju	koji	Pi-fsa
je	biti	Var3s
glasovao	glasovati	Vmp-sm
(	(	Z
preferirani	preferirati	Agpmsny
glas	glas	Ncmsn
)	)	Z
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

Članak	članak	Ncmsn
40.	40.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Broj	broj	Ncmsn
zastupnika	zastupnik	Ncmpg
u	u	Sa
Sabor	sabor	Ncmsan
koji	koji	Pi-msn
će	htjeti	Var3s
biti	biti	Van
izabran	izabrati	Appmsnn
sa	sa	Sg
svake	svaki	Pi-fsg
liste	lista	Ncfsg
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
na	na	Sa
sljedeći	sljedeći	Agpmsayn
način	način	Ncmsan
:	:	Z

–	–	Z
ukupan	ukupan	Agpmsnn
broj	broj	Ncmsn
važećih	važeći	Agpmpgy
glasova	glas	Ncmpg
koji	koji	Pi-mpn
je	biti	Var3s
dobila	dobiti	Vmp-sf
svaka	svaki	Pi-fsn
lista	lista	Ncfsn
(	(	Z
biračka	birački	Agpfsny
masa	masa	Ncfsn
liste	lista	Ncfsg
)	)	Z
dijeli	dijeliti	Vmr3s
se	sebe	Px--sa
brojevima	broj	Ncmpi
od	od	Sg
1	1	Mdc
do	do	Sg
zaključno	zaključno	Rgp
14	14	Mdc
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
uvažavaju	uvažavati	Vmr3p
i	i	Cc
decimalni	decimalan	Agpmpny
ostaci	ostatak	Ncmpn
.	.	Z

Od	od	Sg
svih	sav	Agpmpgy
dobivenih	dobiven	Agpmpgy
rezultata	rezultat	Ncmpg
,	,	Z
zastupnička	zastupnički	Agpnpny
mjesta	mjesto	Ncnpn
u	u	Sl
Saboru	Sabor	Npmsl
osvajaju	osvajati	Vmr3p
one	onaj	Pd-fsg
liste	lista	Ncfpa
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
iskaže	iskazati	Vmr3s
14	14	Mdc
brojčano	brojčano	Rgp
najvećih	velik	Agsmpgy
rezultata	rezultat	Ncmpg
uključujući	uključivati	Rr
decimalne	decimalan	Agpmpay
ostatke	ostatak	Ncmpa
.	.	Z

Svaka	svaki	Pi-fsn
od	od	Sg
tih	taj	Pd-fpg
lista	lista	Ncfpg
dobiva	dobivati	Vmr3s
onoliki	onolik	Agpmsayn
broj	broj	Ncmsan
zastupničkih	zastupnički	Agpnpgy
mjesta	mjesto	Ncnpg
u	u	Sl
Saboru	Sabor	Npmsl
koliko	koliko	Rgp
je	biti	Var3s
postigla	postići	Vmp-sf
pojedinačnih	pojedinačan	Agpmpgy
rezultata	rezultat	Ncmpg
među	među	Si
14	14	Mdc
brojčano	brojčano	Rgp
najvećih	velik	Agsmpgy
rezultata	rezultat	Ncmpg
.	.	Z

S	sa	Sg
liste	lista	Ncfsg
je	biti	Var3s
izabrano	izabrati	Appnsny
toliko	toliko	Rgp
zastupnika	zastupnik	Ncmpg
koliko	koliko	Rgp
je	biti	Var3s
