TMPC-133	TMPC-133	Mds
Klinička	klinički	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Sveti	svet	Agpmsny
Duh	duh	Ncmsn
«	«	Z
Klinika	klinika	Ncfsn
za	za	Sa
neurologiju	neurologija	Ncfsa
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
47.	47.	Mdo

TMPC-143	TMPC-143	Mds
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Dr.	Dr.	Y
Tomislav	Tomislav	Npmsn
Bardek	Bardek	Npmsn
«	«	Z
Odjel	odjel	Ncmsn
za	za	Sa
neurologiju	neurologija	Ncfsa
Koprivnica	Koprivnica	Npfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
48.	48.	Mdo

TMPC-144	TMPC-144	Mdc
Specijalna	specijalan	Agpfsny
bolnica	bolnica	Ncfsn
za	za	Sa
ortopediju	ortopedija	Ncfsa
Biograd	Biograd	Npnsa
na	na	Sl
Moru	more	Ncnsl
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc

TELEMEDICINSKI	telemedicinski	Agpmpny
PRISTUPNI	pristupni	Agpmpny
CENTRI	centar	Ncmpn
ZA	za	Sa
DJELATNOST	djelatnost	Ncfsa
TRANSFUZIJSKE	transfuzijski	Agpfsgy
MEDICINE	medicina	Ncfsg
NA	na	Sl
SEKUNDARNOJ	sekundaran	Agpfsly
I	i	Cc
TERCIJARNOJ	tercijaran	Agpfsly
RAZINI	razina	Ncfsl
ZDRAVSTVENE	zdravstven	Agpfsgy
ZAŠTITE	zaštita	Ncfsg

R.	R.	Y
br.	br.	Y

Šifra	šifra	Ncfsn
telemedicinskog	telemedicinski	Agpmsgy
centra	centar	Ncmsg
Naziv	naziv	Ncmsn
ustanove	ustanova	Ncfsg
Grad	grad	Ncmsn
/	/	Z
Naselje	naselje	Ncnsn
Vrsta	vrsta	Ncfpg
telemedicinskih	telemedicinski	Agpfpgy
usluga	usluga	Ncfpg
Minimalan	minimalan	Agpmsnn
broj	broj	Ncmsn
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
1.	1.	Mdo
TMPC-027	TMPC-027	X
Klinička	klinički	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Merkur	Merkur	Npmsn
«	«	Z
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
2.	2.	Mdo
TMPC-028	TMPC-028	X
Opća	opći	Agpfsny
i	i	Cc
veteranska	veteranski	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Hrvatski	hrvatski	Agpmsny
ponos	ponos	Ncmsn
«	«	Z
Knin	Knin	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
3.	3.	Mdo
TMPC-030	tmpc-03i	Agpfsny
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Nova	nov	Agpfsny
Gradiška	gradiška	Ncfsn
Nova	nov	Agpfsny
Gradiška	gradiška	Ncfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
4.	4.	Mdo
TMPC-056	tmpc-05i	Agpfsny
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Gospić	Gospić	Npmsn
Gospić	Gospić	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
5.	5.	Mdo
TMPC-057	TMPC-057	X
Opća	opći	Agpfsny
županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Požega	Požega	Npfsn
–	–	Z
lokacija	lokacija	Ncfsn
Pakrac	Pakrac	Npfsn
Pakrac	Pakrac	Npfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
6.	6.	Mdo
TMPC-058	tmpc-05i	Agpfsny
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Bjelovar	Bjelovar	Npfsn
Bjelovar	Bjelovar	Npfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
7.	7.	Mdo
TMPC-059	tmpc-05i	Agpfsny
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Karlovac	Karlovac	Npmsn
Karlovac	Karlovac	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
8.	8.	Mdo
TMPC-060	tmpc-06i	Agpfsny
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Ogulin	Ogulin	Npmsn
Ogulin	Ogulin	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
9.	9.	Mdo
TMPC-062	TMPC-062	X
Opća	opći	Agpfsny
županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Vinkovci	Vinkovca	Npmsd
Vinkovci	Vinkovca	Npmsd
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
10.	10.	Mdo

TMPC-063	TMPC-063	Mds
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Dr.	Dr.	Y
Tomislav	Tomislav	Npmsn
Bardek	Bardek	Npmsn
«	«	Z
Koprivnica	koprivnica	Ncfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
11.	11.	Mdo

TMPC-065	TMPC-065	Mds
Županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Čakovec	Čakovec	Npmsn
Čakovec	Čakovec	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
12.	12.	Mdo

TMPC-066	TMPC-066	Mds
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Zabok	Zabok	Npmsn
i	i	Cc
bolnica	bolnica	Ncfsn
hrvatskih	hrvatski	Agpmpgy
veterana	veteran	Ncmpg
Zabok	Zabo	Npmsd
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
13.	13.	Mdo

TMPC-068	TMPC-068	Mds
Opća	opći	Agpfsny
županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Požega	Požega	Npfsn
Požega	Požega	Npfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
14.	14.	Mdo

TMPC-070	TMPC-070	Mds
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Virovitica	Virovitica	Npfsn
Virovitica	Virovitica	Npfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
15.	15.	Mdo

TMPC-072	TMPC-072	Mds
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Šibensko-kninske	šibensko-kninski	Agpfsgy
županije	županija	Ncfsg
Šibenik	šibenik	Ncmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
16.	16.	Mdo

TMPC-076	TMPC-076	Mds
Opća	opći	Agpfsny
županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Vukovar	Vukovar	Npmsn
Vukovar	Vukovar	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
17.	17.	Mdo

TMPC-078	TMPC-078	Mds
Opća	opći	Agpfsny
županijska	županijski	Agpfsny
bolnica	bolnica	Ncfsn
Našice	Našica	Npfsg
Našice	Našica	Npfsg
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
18.	18.	Mdo

TMPC-086	tmpc-08	Aspfsny
Klinika	klinika	Ncfsn
za	za	Sa
dječje	dječji	Agpfpay
bolesti	bolest	Ncfpa
Zagreb	Zagreb	Npmsn
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
19.	19.	Mdo

TMPC-131	TMPC-131	Mds
Klinička	klinički	Agpfsny
bolnica	bolnica	Ncfsn
»	»	Z
Sveti	svet	Agpmsny
Duh	duh	Ncmsn
«	«	Z
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
20.	20.	Mdo

TMPC-134	TMPC-134	Mds
Klinička	klinički	Agpfsny
bolnica	bolnica	Ncfsn
Dubrava	dubrava	Ncfsn
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
21.	21.	Mdo

TMPC-135	tmpc-135	Agpmsny
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
»	»	Z
Sestre	sestra	Ncfpn
Milosrdnice	milosrdnica	Ncfsg
«	«	Z
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
22.	22.	Mdo

TMPC-136	tmpc-136	Agpmsny
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
»	»	Z
Sestre	sestra	Ncfpn
Milosrdnice	milosrdnica	Ncfsg
«	«	Z
Klinika	klinika	Ncfsn
za	za	Sa
tumore	tumor	Ncmpa
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
23.	23.	Mdo

TMPC-137	tmpc-137	Agpmsny
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Osijek	osijek	Ncmsn
Osijek	osijek	Ncmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
24.	24.	Mdo

TMPC-138	tmpc-138	Agpmsny
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Rijeka	Rijeka	Npfsn
Rijeka	Rijeka	Npfsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
25.	25.	Mdo

TMPC-139	tmpc-139	Agpmsny
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Split	Split	Npmsn
Lokalitet	lokalitet	Ncmsn
Firule	Firula	Npfsg
Split	Split	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
26.	26.	Mdo

TMPC-140	tmpc-140	Agpmsny
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Split	Split	Npmsn
Lokalitet	lokalitet	Ncmsn
Križine	Križina	Npfsg
Split	Split	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
27.	27.	Mdo

TMPC-141	tmpc-141	Agpmsny
Klinički	klinički	Agpmsny
bolnički	bolnički	Agpmsny
centar	centar	Ncmsn
Zagreb	Zagreb	Npmsn
Lokalitet	lokalitet	Ncmsn
Rebro	rebro	Ncnsn
Zagreb	Zagreb	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc
28.	28.	Mdo

TMPC-142	TMPC-142	Mds
Opća	opći	Agpfsny
bolnica	bolnica	Ncfsn
Dubrovnik	Dubrovnik	Npmsn
Dubrovnik	Dubrovnik	Npmsn
Redovne	redovan	Agpfsgy
Hitne	hitan	Agpfsgy
Zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
:	:	Z
1	1	Mdc

MOBILNI	mobilan	Agpmpny
TELEMEDICINSKI	telemedicinski	Agpmpny
CENTRI	centar	Ncmpn

R.	R.	Y
br.	br.	Y

Šifra	šifra	Ncfsn
telemedicinskog	telemedicinski	Agpmsgy
centra	centar	Ncmsg
Županija	županija	Ncfsn
/	/	Z
Naziv	naziv	Ncmsn
ustanove	ustanova	Ncfsg
Grad	grad	Ncmsn
/	/	Z
Naselje	naselje	Ncnsn
Vrsta	vrsta	Ncfpg
telemedicinskih	telemedicinski	Agpfpgy
usluga	usluga	Ncfpg
Minimalan	minimalan	Agpmsnn
broj	broj	Ncmsn
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
