službom	služba	Ncfsi
neposredno	neposredno	Rgp
vezane	vezan	Agpfpny
za	za	Sa
korištenje	korištenje	Ncnsa
podataka	podatak	Ncmpg
iz	iz	Sg
Očevidnika	očevidnik	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uvid	uvid	Ncmsan
u	u	Sa
podatke	podatak	Ncmpa
iz	iz	Sg
Očevidnika	očevidnik	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
ograničiti	ograničiti	Vmn
prema	prema	Sl
opsegu	opseg	Ncmsl
koji	koji	Pi-msan
zahtijevaju	zahtijevati	Vmr3p
interesi	interes	Ncmpn
opće	opći	Agpfsgy
sigurnosti	sigurnost	Ncfsg
i	i	Cc
obrane	obrana	Ncfsg
Države	država	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
zaštite	zaštita	Ncfsg
osobnih	osoban	Agpmpgy
podataka	podatak	Ncmpg
i	i	Cc
podataka	podatak	Ncmpg
koji	koji	Pi-mpn
predstavljaju	predstavljati	Vmr3p
poslovnu	poslovan	Agpfsay
tajnu	tajna	Ncfsa
,	,	Z
a	a	Cc
koji	koji	Pi-msn
je	biti	Var3s
određen	odrediti	Appmsnn
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Podaci	podatak	Ncmpn
u	u	Sl
očevidniku	očevidnik	Ncmsl
čuvaju	čuvati	Vmr3p
se	sebe	Px--sa
trajno	trajno	Rgp
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Očevidnik	očevidnik	Ncmsn
je	biti	Var3s
javan	javan	Agpmsnn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
dužna	dužan	Agpfsny
pravnim	pravni	Agpmpiy
i	i	Cc
fizičkim	fizički	Agpfply
osobama	osoba	Ncfpl
te	te	Cc
mjerodavnim	mjerodavan	Agpnply
tijelima	tijelo	Ncnpl
,	,	Z
na	na	Sa
pisani	pisan	Agpmsayn
zahtjev	zahtjev	Ncmsan
,	,	Z
izdati	izdati	Vmn
izvadak	izvadak	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
ispis	ispis	Ncmsan
iz	iz	Sg
Očevidnika	očevidnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Prilog	prilog	Ncmsn
I.	I.	Mro
čini	činiti	Vmr3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
osmog	osmi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
I-351	I-351	Mds
/	/	Z
01	01	Mdc
-	-	Z
14	14	Mdc
-	-	Z
03/20	03/20	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
517	517	Mdc
-	-	Z
06	06	Mdc
-	-	Z
2	2	Mdc
-	-	Z
1	1	Mdc
-	-	Z
16	16	Mdc
-	-	Z
5	5	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
9.	9.	Mdo
svibnja	svibanj	Ncmsg
2016.	2016.	Mdo

Ministar	ministar	Ncmsn
Slaven	Slaven	Npmsn
Dobrović	Dobrović	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

PRILOG	prilog	Ncmsn
I	i	Cc

PODACI	podatak	Ncmpn
KOJE	koji	Pi-fpn
SADRŽE	sadržati	Vmr3p
STRANICE	stranica	Ncfpa
OČEVIDNIKA	očevidnik	Ncmpg
IZDANIH	izdan	Agpfpgy
OKOLIŠNIH	okolišni	Agpfpgy
DOZVOLA	dozvola	Ncfpg

1.	1.	Mdo
PODACI	podatak	Ncmpn
O	o	Sl
OPERATERU	operater	Ncmsl

Redni	redni	Agpmsny
broj	broj	Ncmsn
stranice	stranica	Ncfsg
upisa	upis	Ncmsg
:	:	Z
______________________________________	______________________________________	Z

Naziv	naziv	Ncmsn
i	i	Cc
sjedište	sjedište	Ncnsa
operatera	operater	Ncmpg
:	:	Z
______________________________________	______________________________________	Z

OIB	OIB	Npmsn
:	:	Z
______________________________________________________	_____________________________________________________a	Ncfpn

Matični	matičan	Agpmsny
broj	broj	Ncmsn
operatera	operater	Ncmpg
