koja	koji	Pi-npn
služe	služiti	Vmr3p
isključivo	isključivo	Rgp
za	za	Sa
potrebe	potreba	Ncfpa
obavljanja	obavljanje	Ncnsg
gospodarskog	gospodarski	Agpmsgy
ribolova	ribolov	Ncmsg
na	na	Sl
moru	more	Ncnsl
i	i	Cc
mogu	moći	Vmr3p
se	sebe	Px--sa
odnositi	odnositi	Vmn
na	na	Sa
sljedeće	sljedeći	Agpfpay
kategorije	kategorija	Ncfpa
:	:	Z

a	a	Cc
)	)	Z
kupnja	kupnja	Ncfsn
ribolovnih	ribolovan	Agpmpgy
alata	alat	Ncmpg
;	;	Z

b	b	Npmsn
)	)	Z
kupnja	kupnja	Ncfsn
opreme	oprema	Ncfsg
;	;	Z

c	C	Npmsn
)	)	Z
kupnja	kupnja	Ncfsn
pogonskih	pogonski	Agpmpgy
strojeva	stroj	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
ulaganja	ulaganje	Ncnpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
i	i	Cc
troškovi	trošak	Ncmpn
transporta	transport	Ncmsg
i	i	Cc
/	/	Z
ili	ili	Cc
montaže	montaža	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
ugradnje	ugradnja	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Podnositelj	podnositelj	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
najviše	mnogo	Rgs
dvije	dva	Mlcf-n
kategorije	kategorija	Ncfsg
navedene	navesti	Appfpny
u	u	Sl
stavku	stavak	Ncmsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Svi	sav	Agpmpny
ribolovni	ribolovan	Agpmpny
alati	alat	Ncmpn
,	,	Z
oprema	oprema	Ncfsn
i	i	Cc
pogonski	pogonski	Agpmpny
strojevi	stroj	Ncmpn
za	za	Sa
koje	koji	Pi-mpa
se	sebe	Px--sa
traži	tražiti	Vmr3s
sufinanciranje	sufinanciranje	Ncnsa
moraju	morati	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
na	na	Sl
ribarskom	ribarski	Agpnsly
plovilu	plovilo	Ncnsl
ili	ili	Cc
u	u	Sl
skladišnom	skladišni	Agpmsly
prostoru	prostor	Ncmsl
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
po	po	Sl
povlastici	povlastica	Ncfsl
za	za	Sa
obavljanje	obavljanje	Ncnsa
gospodarskog	gospodarski	Agpmsgy
ribolova	ribolov	Ncmsg
na	na	Sl
moru	more	Ncnsl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
povlastica	povlastica	Ncfsn
)	)	Z
.	.	Z

Ribolovni	ribolovan	Agpmpny
alati	alat	Ncmpn

Članak	članak	Ncmsn
6.	6.	Mdo

Ribolovnim	ribolovan	Agpmpiy
alatima	alat	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
a	a	Cc
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
mreže	mreža	Ncfpn
stajačice	stajačica	Ncfsg
(	(	Z
olovnja	olovnji	Agpfsny
,	,	Z
plutnja	plutnja	Ncfsn
i	i	Cc
mrežni	mrežni	Agpmsny
teg	teg	Ncmsn
)	)	Z
;	;	Z

b	b	Npmsn
)	)	Z
pridnena	pridnen	Agpfsny
povlačna	povlačni	Agpfsny
mreža	mreža	Ncfsn
koća	koć	Ncmpg
(	(	Z
mrežni	mrežni	Agpmsny
teg	teg	Ncmsn
,	,	Z
sajle	sajti	Vmp-pf
,	,	Z
kavomista	kavomista	Ncmsn
/	/	Z
kombinirani	kombiniran	Agpmsny
konop	konop	Ncmsn
)	)	Z
;	;	Z

c	C	Npmsn
)	)	Z
plivarica	plivarica	Ncfsn
srdelara	srdelar	Ncmpg
(	(	Z
mrežni	mrežni	Agpmsny
teg	teg	Ncmsn
,	,	Z
sajle	sajti	Vmp-pf
,	,	Z
kavomista	kavomista	Ncmsn
/	/	Z
kombinirani	kombiniran	Agpmsny
konop	konop	Ncmsn
)	)	Z
;	;	Z

d	d	Npmsn
)	)	Z
plivarica	plivarica	Ncfsn
palamidara	palamidar	Ncmsg
(	(	Z
mrežni	mrežni	Agpmsny
teg	teg	Ncmsn
,	,	Z
sajle	sajti	Vmp-pf
,	,	Z
kavomista	kavomista	Ncmsn
/	/	Z
kombinirani	kombiniran	Agpmsny
konop	konop	Ncmsn
)	)	Z
;	;	Z

e	e	I
)	)	Z
dredža	dredži	Agpfsny
(	(	Z
rampon	rampon	Ncmsn
)	)	Z
uključujući	uključivati	Rr
i	i	Cc
sajle	sajla	Ncfpa
;	;	Z

f	a	Ncfpn
)	)	Z
vrše	vršiti	Vmr3p
,	,	Z
osim	osim	Sg
vrša	vrša	Ncfpg
za	za	Sa
lov	lov	Ncmsan
jegulja	jegulja	Ncfpg
;	;	Z

g	g	Npmsn
)	)	Z
udičarski	udičarski	Agpmpny
alati	alat	Ncmpn
(	(	Z
udice	udica	Ncfpn
,	,	Z
najlon	najlon	Ncmsn
,	,	Z
konop	konop	Ncmsan
za	za	Sa
parangal	parangal	Ncmsan
)	)	Z
.	.	Z

Ribolovna	ribolovan	Agpfsny
oprema	oprema	Ncfsn

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ribolovnom	ribolovan	Agpfsiy
opremom	oprema	Ncfsi
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b	b	X
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
strojevi	stroj	Ncmpn
,	,	Z
oprema	opremati	Vmr3s
,	,	Z
uređaji	uređaj	Ncmpn
i	i	Cc
brodski	brodski	Agpmpny
sustavi	sustav	Ncmpn
(	(	Z
uključujući	uključivati	Rr
i	i	Cc
softversku	softverski	Agpfsay
komponentu	komponenta	Ncfsa
gdje	gdje	Cs
je	biti	Var3s
to	taj	Pd-nsn
primjenjivo	primjenjiv	Agpnsny
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ribolovna	ribolovan	Agpfsny
oprema	oprema	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
uključuje	uključivati	Vmr3s
:	:	Z

a	a	Cc
)	)	Z
opremu	oprema	Ncfsa
za	za	Sa
automatski	automatski	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
sustav	sustav	Ncmsan
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
AIS	ais	Ncmsn
uređaj	uređaj	Ncmsn
)	)	Z
;	;	Z

b	b	Y
)	)	Z
strojeve	stroj	Ncmpa
i	i	Cc
uređaje	uređaj	Ncmpa
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
električne	električan	Agpfsgy
energije	energija	Ncfsg
na	na	Sl
plovilu	plovilo	Ncnsl
(	(	Z
elektroagregati	elektroagregata	Ncfsl
i	i	Cc
alternatori	alternator	Ncmpn
)	)	Z
;	;	Z

c	C	Npmsn
)	)	Z
uređaje	uređaj	Ncmpa
i	i	Cc
elektroničku	elektronički	Agpfsay
opremu	oprema	Ncfsa
za	za	Sa
upravljanje	upravljanje	Ncnsa
plovilom	plovilo	Ncnsi
,	,	Z
navigaciju	navigacija	Ncfsa
i	i	Cc
komunikaciju	komunikacija	Ncfsa
;	;	Z

d	i	Agpmpay
)	)	Z
uređaje	uređaj	Ncmpa
i	i	Cc
elektroničku	elektronički	Agpfsay
opremu	oprema	Ncfsa
za	za	Sa
traženje	traženje	Ncnsa
ribe	riba	Ncfsg
;	;	Z

e	e	I
)	)	Z
ronilačku	ronilački	Agpfsay
opremu	oprema	Ncfsa
(	(	Z
odijelo	odijelo	Ncnsa
,	,	Z
boce	boca	Ncfsg
i	i	Cc
respirator	respirator	Ncmsn
)	)	Z
;	;	Z

f	f	Mds
)	)	Z
ribolovnu	ribolovan	Agpfsay
opremu	oprema	Ncfsa
i	i	Cc
uređaje	uređaj	Ncmpa
za	za	Sa
unaprjeđenje	unaprjeđenje	Ncnsa
uvjeta	uvjet	Ncmpg
rada	rad	Ncmsg
i	i	Cc
efikasnosti	efikasnost	Ncfsg
ribolova	ribolov	Ncmpg
(	(	Z
vinč	vinč	Appmsny
i	i	Cc
puratić	Puratić	Agpmsayn
blok	blok	Ncmsan
kao	kao	Cs
cjelina	cjelina	Ncfsn
ili	ili	Cc
u	u	Sl
sastavnim	sastavan	Agpmply
dijelovima	dio	Ncmpl
,	,	Z
teretne	teretan	Agpfpny
dizalice	dizalica	Ncfpn
,	,	Z
hidropumpe	hidropumpa	Ncfsg
,	,	Z
hidromotori	hidromotor	Ncmpn
i	i	Cc
rashladnici	rashladnik	Ncmpn
pogonskih	pogonski	Agpmpgy
strojeva	stroj	Ncmpg
i	i	Cc
generatora	generator	Ncmpg
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

Pogonski	pogonski	Agpmpny
