Porezne	porezni	Agpfpny
uprave	uprava	Ncfpn
Ministarstva	ministarstvo	Ncnsg
financija	financije	Ncfpg
ne	ne	Qz
starija	star	Agcfsny
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
podnošenja	podnošenje	Ncnsg
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
;	;	Z

iii	III	Mrc
.	.	Z
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
podnositelj	podnositelj	Ncmsn
Zahtjeva	Zahtjev	Npmsg
nije	biti	Var3s
vlasnik	vlasnik	Ncmsn
povlastice	povlastica	Ncfsg
,	,	Z
Izjava	izjava	Ncfsn
vlasnika	vlasnik	Ncmsg
povlastice	povlastica	Ncfsg
da	da	Cs
je	biti	Var3s
suglasan	suglasan	Agpmsnn
s	sa	Si
planiranim	planiran	Agpnsiy
ulaganjem	ulaganje	Ncnsi
/	/	Z
izmjenama	izmjena	Ncfpl
na	na	Sl
plovilu	plovilo	Ncnsl
/	/	Z
povlastici	povlastica	Ncfsl
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ovjerena	ovjeriti	Appfsny
kod	kod	Sg
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
i	i	Cc
ne	ne	Qz
starija	star	Agcfsny
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
na	na	Sa
dan	dan	Ncmsan
podnošenja	podnošenje	Ncnsg
potpunog	potpun	Agpmsgy
Zahtjeva	zahtjev	Ncmsg
(	(	Z
Dodatak	dodatak	Ncmsn
II	ii	Mro
.	.	Z
točka	točka	Ncfsn
3.	3.	Mdo
)	)	Z
;	;	Z

iv	IV	Mrc
.	.	Z
preslika	preslika	Ncfsn
Dozvole	dozvola	Ncfsg
za	za	Sa
plovidbu	plovidba	Ncfsa
brodice	brodica	Ncfsg
/	/	Z
Svjedodžba	svjedodžba	Ncfsn
o	o	Sl
sposobnosti	sposobnost	Ncfsl
broda	brod	Ncmsg
za	za	Sa
plovidbu	plovidba	Ncfsa
ili	ili	Cc
potvrda	potvrda	Ncfsn
Hrvatskog	hrvatski	Agpmsgy
registra	registar	Ncmsg
brodova	brod	Ncmpg
o	o	Sl
tijeku	tijek	Ncmsl
pregleda	pregled	Ncmsg
za	za	Sa
obnovu	obnova	Ncfsa
klase	klasa	Ncfsg
i	i	Cc
Svjedodžbe	svjedodžba	Ncfpn
o	o	Sl
