određuje	određivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
obveza	obveza	Ncfsn
prema	prema	Sl
kojoj	koji	Pi-fsl
vjerovnici	vjerovnik	Ncmpn
moraju	morati	Vmr3p
izvršiti	izvršiti	Vmn
i	i	Cc
sve	sav	Agpfpay
obveze	obveza	Ncfpa
propisane	propisati	Appfpay
člankom	članak	Ncmsi
11.	11.	Mdo
a	a	Cc
Zakona	zakon	Ncmsg
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
usklađenje	usklađenje	Ncnsn
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
s	sa	Si
dužnikom	dužnik	Ncmsi
,	,	Z
određivanjem	određivanje	Ncnsi
parametara	parametar	Ncmpg
i	i	Cc
fiksne	fiksan	Agpfsgy
marže	marža	Ncfsg
kao	kao	Cs
i	i	Cc
razdoblja	razdoblje	Ncnpg
prijelaznih	prijelazan	Agpfpgy
kamatnih	kamatan	Agpfpgy
stopa	stopa	Ncfpg
najkasnije	kasno	Rgs
do	do	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
a	a	Cc
što	što	Pi3n-n
je	biti	Var3s
zakonodavac	zakonodavac	Ncmsn
smatrao	smatrati	Vmp-sm
primjerenim	primjeren	Agpmsiy
rokom	rok	Ncmsi
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
to	taj	Pd-nsa
da	da	Cs
je	biti	Var3s
Zakon	zakon	Ncmsn
objavljen	objaviti	Appmsnn
2.	2.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
godine	godina	Ncfsg
.	.	Z

(...)	(...)	Ncfsn

U	u	Sl
svezi	sveza	Ncfsl
tvrdnje	tvrdnja	Ncfsg
podnositelja	podnositelj	Ncmpg
prijedloga	prijedlog	Ncmsg
kako	kako	Cs
je	biti	Var3s
vjerovniku	vjerovnik	Ncmsl
naloženo	naložiti	Appnsny
određeno	odrediti	Appnsny
postupanje	postupanje	Ncnsn
prije	prije	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
potrošačkom	potrošački	Agpnsly
kreditiranju	kreditiranje	Ncnsl
važno	važan	Agpnsny
je	biti	Var3s
istaknuti	istaknuti	Vmn
kako	kako	Cs
je	biti	Var3s
Zakon	zakon	Ncmsn
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
potrošačkom	potrošački	Agpnsly
kreditiranju	kreditiranje	Ncnsl
objavljen	objaviti	Appmsnn
2.	2.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
godine	godina	Ncfsg
u	u	Sl
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
,	,	Z
a	a	Cc
stupio	stupiti	Vmp-sm
je	biti	Var3s
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
iz	iz	Sg
čega	što	Pi3n-g
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
određen	odrediti	Appmsnn
značajno	značajno	Rgp
duži	dužiti	Vmr3s
vacatio	vacatiti	Vmp-sm
legis	legis	Ncmsan
od	od	Sg
uobičajenih	uobičajen	Agpmpgy
i	i	Cc
Ustavom	ustav	Ncmsi
propisanih	propisati	Appmpgy
minimalnih	minimalan	Agpmpgy
osam	osam	Mlc
dana	dan	Ncmpg
,	,	Z
upravo	upravo	Rgp
s	sa	Si
ciljem	cilj	Ncmsi
da	da	Cs
se	sebe	Px--sa
ostavi	ostaviti	Vmr3s
što	što	Cs
duže	dužiti	Vmr3p
razdoblje	razdoblje	Ncnsa
pripreme	priprema	Ncfsg
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
Zakon	zakon	Ncmsn
u	u	Sl
potpunosti	potpunost	Ncfsl
mogao	moći	Vmp-sm
primjenjivati	primjenjivati	Vmn
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
.	.	Z

Iz	iz	Sg
navedenog	naveden	Agpmsgy
razloga	razlog	Ncmsg
je	biti	Var3s
i	i	Qo
propisana	propisati	Appfsny
odredba	odredba	Ncfsn
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
potrošačkom	potrošački	Agpnsly
kreditiranju	kreditiranje	Ncnsl
,	,	Z
a	a	Cc
za	za	Sa
čije	čiji	Pi-nsa
neispunjenje	neispunjenje	Ncnsa
niti	niti	Cc
nije	biti	Var3s
propisana	propisati	Appfsny
prekršajna	prekršajni	Agpfsny
sankcija	sankcija	Ncfsn
,	,	Z
a	a	Cc
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
to	taj	Pd-nsn
iz	iz	Sg
mišljenja	mišljenje	Ncnsg
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
moglo	moći	Vmp-sn
zaključiti	zaključiti	Vmn
.	.	Z

Naime	naime	Qo
,	,	Z
sankcija	sankcija	Ncfsn
se	sebe	Px--sa
propisuje	propisivati	Vmr3s
samo	samo	Rgp
za	za	Sa
neispunjenje	neispunjenje	Ncnsa
obveze	obveza	Ncfsg
propisane	propisati	Appfpny
člankom	članak	Ncmsi
11.	11.	Mdo
a	a	Cc
stavkom	stavak	Ncmsi
5.	5.	Mdo
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
definiranje	definiranje	Ncnsa
odnosno	odnosni	Agpnsay
ugovaranje	ugovaranje	Ncnsa
parametara	parametar	Ncmpg
sa	sa	Si
dužnikom	dužnik	Ncmsi
,	,	Z
odnosno	odnosno	Rgp
radnju	radnja	Ncfsa
koja	koji	Pi-fsn
prethodi	prethoditi	Vmr3s
radnji	radnja	Ncfsl
usklađivanja	usklađivanje	Ncnsg
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
.	.	Z

Činjenica	činjenica	Ncfsn
da	da	Cs
za	za	Sa
neispunjenje	neispunjenje	Ncnsa
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Zakona	zakon	Ncmsg
nije	biti	Var3s
propisana	propisati	Appfsny
posebna	poseban	Agpfsny
prekršajna	prekršajni	Agpfsny
sankcija	sankcija	Ncfsn
govori	govoriti	Vmr3s
da	da	Cs
je	biti	Var3s
namjera	namjera	Ncfsn
zakonodavca	zakonodavac	Ncmsg
bila	biti	Vap-sf
da	da	Cs
se	sebe	Px--sa
stupanjem	stupanje	Ncnsi
na	na	Sa
snagu	snaga	Ncfsa
Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
potrošačkom	potrošački	Agpnsly
kreditiranju	kreditiranje	Ncnsl
