upravnopravne	upravnopravan	Agpmpay
poslove	posao	Ncmpa
,	,	Z
Drugi	drugi	Mlomsn
odsjek	odsjek	Ncmsn
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
prvostupanjsko	prvostupanjski	Agpnsny
upravno	upravan	Agpnsny
tijelo	tijelo	Ncnsn
)	)	Z
donio	donijeti	Vmp-sm
je	biti	Var3s
rješenje	rješenje	Ncnsa
o	o	Sl
povratu	povrat	Ncmsl
imovine	imovina	Ncfsg
od	od	Sg
28.	28.	Mdo
listopada	listopad	Ncmsg
2003.	2003.	Mdo
(	(	Z
v.	v.	Sa
točku	točka	Ncfsa
6.	6.	Mdo
obrazloženja	obrazloženje	Ncnsg
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
)	)	Z
.	.	Z

S	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
to	taj	Pd-nsa
da	da	Cs
je	biti	Var3s
podnositeljičina	podnositeljičin	Aspfsny
majka	majka	Ncfsn
Nada	Nada	Npfsn
Stanzer	Stanzer	Npfsn
preminula	preminuti	Vmp-sf
10.	10.	Mdo
studenoga	studeni	Ncmsg
2000.	2000.	Mdo
,	,	Z
tim	tim	Ncmsn
su	biti	Var3p
rješenjem	rješenje	Ncnsi
podnositeljici	podnositeljica	Ncfsl
,	,	Z
kao	kao	Cs
jedinoj	jedini	Agpfsly
oporučnoj	oporučan	Agpfsly
nasljednici	nasljednica	Ncfsl
iza	iza	Sg
pokojne	pokojni	Agpfsgy
Nade	Nada	Npfsg
Stanzer	Stanzer	Npmsn
,	,	Z
dani	dati	Appmpny
u	u	Sa
vlasništvo	vlasništvo	Ncnsa
(	(	Z
u	u	Sl
21/23	21/2a	Ncfsl
dijela	dio	Ncmsg
)	)	Z
posebni	poseban	Agpmpny
dijelovi	dio	Ncmpn
sporne	sporan	Agpfsgy
stambene	stambeni	Agpfsgy
zgrade	zgrada	Ncfsg
pobliže	pobliži	Agpfsgy
navedeni	navesti	Appmpny
u	u	Sl
izreci	izreka	Ncfsl
(	(	Z
sedam	sedam	Mlc
stanova	stan	Ncmpg
s	sa	Si
neodvojivo	neodvojivo	Rgp
povezanim	povezan	Agpmpiy
odgovarajućim	odgovarajući	Agpmpiy
suvlasničkim	suvlasnički	Agpmpiy
dijelovima	dio	Ncmpi
nekretnine	nekretnina	Ncfsg
)	)	Z
.	.	Z

20.	20.	Mdo

U	u	Sl
povodu	povod	Ncmsl
žalbe	žalba	Ncfsg
zainteresiranih	zainteresiran	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
pravosuđa	pravosuđe	Ncnsg
,	,	Z
Uprava	uprava	Ncfsn
za	za	Sa
građansko	građanski	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
donijelo	donijeti	Vmp-sn
je	biti	Var3s
rješenje	rješenje	Ncnsn
,	,	Z
klasa	klasa	Ncfsn
:	:	Z
UP	up	Ncmsn
/	/	Z
II-942-01	II-942-01	X
/	/	Z
04	04	Mdc
-	-	Z
01/84	01/84	Mdc
,	,	Z
ur	ur	Ncmsn
.	.	Z
broj	broj	Ncmsn
:	:	Z
514	514	Mdc
-	-	Z
03	03	Mdc
-	-	Z
07/3	07/3	Mdc
-	-	Z
06	06	Mdc
-	-	Z
2	2	Mdc
od	od	Sg
24.	24.	Mdo
siječnja	siječanj	Ncmsg
2006.	2006.	Mdo
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
drugostupanjsko	drugostupanjski	Agpnsny
rješenje	rješenje	Ncnsn
od	od	Sg
24.	24.	Mdo
siječnja	siječanj	Ncmsg
2006.	2006.	Mdo
)	)	Z
,	,	Z
kojim	koji	Pi-msi
je	biti	Var3s
poništilo	poništiti	Vmp-sn
rješenje	rješenje	Ncnsn
o	o	Sl
povratu	povrat	Ncmsl
imovine	imovina	Ncfsg
od	od	Sg
28.	28.	Mdo
listopada	listopad	Ncmsg
2003.	2003.	Mdo
i	i	Cc
vratilo	vratilo	Ncnsa
predmet	predmet	Ncmsan
na	na	Sa
ponovni	ponovan	Agpmsayn
postupak	postupak	Ncmsan
prvostupanjskom	prvostupanjski	Agpnsly
upravnom	upravan	Agpnsly
tijelu	tijelo	Ncnsl
.	.	Z

21.	21.	Mdo

Upravni	upravan	Agpmsny
sud	sud	Ncmsn
odbio	odbiti	Vmp-sm
je	biti	Var3s
presudom	presuda	Ncfsi
broj	broj	Ncmsn
:	:	Z
Us-4915	Us-4915	X
/	/	Z
2006	2006	Mdc
-	-	Z
15	15	Mdc
od	od	Sg
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2010.	2010.	Mdo
podnositeljičinu	podnositeljičin	Aspfsay
tužbu	tužba	Ncfsa
protiv	protiv	Sg
drugostupanjskog	drugostupanjski	Agpnsgy
rješenja	rješenje	Ncnsg
od	od	Sg
24.	24.	Mdo
siječnja	siječanj	Ncmsg
2006.	2006.	Mdo

22.	22.	Mdo

U	u	Sl
ponovljenom	ponoviti	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
prvostupanjsko	prvostupanjski	Agpnsny
upravno	upravan	Agpnsny
tijelo	tijelo	Ncnsn
donijelo	donijeti	Vmp-sn
je	biti	Var3s
22.	22.	Mdo
svibnja	svibanj	Ncmsg
2013.	2013.	Mdo
novo	nov	Agpnsay
rješenje	rješenje	Ncnsa
,	,	Z
protiv	protiv	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
podnesena	podnijeti	Appfsny
žalba	žalba	Ncfsn
.	.	Z

Upravni	upravan	Agpmsny
postupak	postupak	Ncmsn
u	u	Sl
povodu	povod	Ncmsl
žalbe	žalba	Ncfsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
pred	pred	Si
Ministarstvom	ministarstvo	Ncnsi
pravosuđa	pravosuđe	Ncnsg
,	,	Z
Upravom	uprava	Ncfsi
za	za	Sa
građansko	građanski	Agpnsay
,	,	Z
trgovačko	trgovački	Agpnsny
i	i	Cc
upravno	upravan	Agpnsay
pravo	pravo	Ncnsa
,	,	Z
pod	pod	Si
oznakom	oznaka	Ncfsi
klase	klasa	Ncfsg
UP	up	Ncmsn
/	/	Z
II-942-01	II-942-01	X
/	/	Z
13	13	Mdc
-	-	Z
01/725.	01/725.	Mds

23.	23.	Mdo

Do	do	Sg
donošenja	donošenje	Ncnsg
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
drugostupanjski	drugostupanjski	Agpmsny
upravni	upravan	Agpmsny
(	(	Z
žalbeni	žalbeni	Agpmsny
)	)	Z
postupak	postupak	Ncmsn
nije	biti	Var3s
okončan	okončati	Appmsnn
.	.	Z

Ukupno	ukupan	Agpnsny
trajanje	trajanje	Ncnsn
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
je	biti	Var3s
18	18	Mdc
godina	godina	Ncfpg
,	,	Z
10	10	Mdc
mjeseci	mjesec	Ncmpg
i	i	Cc
11	11	Mdc
dana	dan	Ncmpg
.	.	Z

3	3	Mdc
)	)	Z
Tijek	tijek	Ncmsn
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
nakon	nakon	Sg
5.	5.	Mdo
studenoga	studeni	Ncmsg
1997.	1997.	Mdo

24.	24.	Mdo

Nakon	nakon	Sg
5.	5.	Mdo
studenoga	studeni	Ncmsg
1997.	1997.	Mdo
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
održao	održati	Vmp-sm
je	biti	Var3s
tri	tri	Mlc
(	(	Z
3	3	Mdc
)	)	Z
ročišta	ročište	Ncnsg
:	:	Z
4.	4.	Mdo
svibnja	svibanj	Ncmsg
1998.	1998.	Mdo
u	u	Sl
predmetu	predmet	Ncmsl
broj	broj	Ncmsan
-4683/91	-4683/91	Mds
(	(	Z
na	na	Sl
kojem	koji	Pi-msl
je	biti	Var3s
riješeno	riješiti	Appnsny
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
napraviti	napraviti	Vmn
uvid	uvid	Ncmsan
u	u	Sa
spis	spis	Ncmsan
broj	broj	Ncmsan
-4675/91	-4675/91	Mds
)	)	Z
,	,	Z
a	a	Cc
3.	3.	Mdo
svibnja	svibanj	Ncmsg
2000.	2000.	Mdo
i	i	Cc
4.	4.	Mdo
ožujka	ožujak	Ncmsg
2003.	2003.	Mdo
u	u	Sl
predmetu	predmet	Ncmsl
broj	broj	Ncmsan
-4675/91.	-4675/91.	Mds

Na	na	Sl
ročištu	ročište	Ncnsl
održanom	održan	Agpnsly
4.	4.	Mdo
ožujka	ožujak	Ncmsg
2003.	2003.	Mdo
kao	kao	Cs
tuženici	tuženik	Ncmpn
su	biti	Var3p
naznačeni	naznačiti	Appmpny
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
,	,	Z
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
i	i	Cc
Gradsko	gradski	Agpnsny
stambeno	stambeni	Agpnsay
komunalno	komunalan	Agpnsay
gospodarstvo	gospodarstvo	Ncnsa
.	.	Z

a	a	Cc
)	)	Z
Prekid	prekid	Ncmsn
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
4.	4.	Mdo
veljače	veljača	Ncfsg
2005.	2005.	Mdo

25.	25.	Mdo

Prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
rješenjem	rješenje	Ncnsi
broj	broj	Ncmsn
-4675/91	-4675/9a	Ncfsg
-	-	Z
146	146	Mdc
od	od	Sg
4.	4.	Mdo
veljače	veljača	Ncfsg
2005.	2005.	Mdo
pod	pod	Si
točkom	točka	Ncfsi
I.	ii	Agpfpay
izreke	izreka	Ncfpa
odredio	odrediti	Vmp-sm
prekid	prekid	Ncmsan
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

Pod	pod	Si
točkom	točka	Ncfsi
II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpa
tog	taj	Pd-nsg
rješenja	rješenje	Ncnsg
odredio	odrediti	Vmp-sm
je	biti	Var3s
da	da	Cs
će	htjeti	Var3s
se	sebe	Px--sa
postupak	postupak	Ncmsn
nastaviti	nastaviti	Vmn
po	po	Sl
pravomoćnom	pravomoćan	Agpmsly
dovršetku	dovršetak	Ncmsl
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
,	,	Z
radi	raditi	Vmr3s
naknade	naknada	Ncfpa
za	za	Sa
imovinu	imovina	Ncfsa
oduzetu	oduzeti	Appfsay
za	za	Sa
vrijeme	vrijeme	Ncnsa
jugoslavenske	jugoslavenski	Agpfsgy
komunističke	komunistički	Agpfsgy
vladavine	vladavina	Ncfsg
,	,	Z
vodi	voditi	Vmr3s
pred	pred	Si
Gradom	grad	Ncmsi
Zagrebom	Zagreb	Npmsi
,	,	Z
Gradskim	gradski	Agpmsiy
uredom	ured	Ncmsi
za	za	Sa
imovinskopravne	imovinskopravni	Agpmpay
poslove	posao	Ncmpa
,	,	Z
Odjelom	odjel	Ncmsi
za	za	Sa
upravnopravne	upravnopravan	Agpmpay
poslove	posao	Ncmpa
,	,	Z
Drugim	drugi	Mlompi
odsjekom	odsjek	Ncmsi
.	.	Z

U	u	Sl
obrazloženju	obrazloženje	Ncnsl
tog	taj	Pd-nsg
rješenja	rješenje	Ncnsg
istaknuto	istaknuti	Appnsny
je	biti	Var3s
:	:	Z

»	»	Z
Uvidom	uvid	Ncmsi
u	u	Sa
rješenje	rješenje	Ncnsa
Gradskog	gradski	Agpmsgy
ureda	ured	Ncmsg
za	za	Sa
imovinsko-pravne	imovinsko-pravni	Agpmpay
poslove	posao	Ncmpa
,	,	Z
Odjel	odjel	Ncmsn
za	za	Sa
