HORINZONTALNE	horinzontalni	Agpfpny
I	i	Cc
VERTIKALNE	vertikalan	Agpfsgy
KOMUNIKACIJE	komunikacija	Ncfsg
,	,	Z
VISINE	visina	Ncfsg
PROSTORIJA	prostorija	Ncfsn

Članak	članak	Ncmsn
7.	7.	Mdo

Objekt	objekt	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
ulaz	ulaz	Ncmsan
,	,	Z
horizontalne	horizontalan	Agpfsgy
i	i	Cc
vertikalne	vertikalan	Agpfsgy
komunikacije	komunikacija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Visina	visina	Ncfsn
prostorija	prostorija	Ncfpg
u	u	Sl
objektu	objekt	Ncmsl
(	(	Z
visina	visina	Ncfsn
od	od	Sg
poda	pod	Ncmsg
do	do	Sg
stropa	strop	Ncmsg
)	)	Z
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
nesmetano	nesmetan	Agpnsay
,	,	Z
sigurno	siguran	Agpnsny
i	i	Cc
udobno	udoban	Agpnsny
kretanje	kretanje	Ncnsn
gosta	gost	Ncmsg
i	i	Cc
osoblja	osoblje	Ncnsg
.	.	Z

2.3.	2.3.	Mdo

INSTALACIJE	instalacija	Ncfpn

Članak	članak	Ncmsn
9.	9.	Mdo

Objekt	objekt	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
:	:	Z

1.	1.	Mdo
tekuću	tekući	Agpfsay
hladnu	hladan	Agpfsay
i	i	Cc
toplu	topao	Agpfsay
vodu	voda	Ncfsa
s	sa	Si
odvodnjom	odvodnja	Ncfsi
(	(	Z
osobna	osoban	Agpfsny
higijena	higijena	Ncfsn
gostiju	gost	Ncmpg
i	i	Cc
osoblja	osoblje	Ncnsg
,	,	Z
priprema	pripremati	Vmr3s
i	i	Cc
usluživanje	usluživanje	Ncnsa
jela	jelo	Ncnsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
,	,	Z
pranje	pranje	Ncnsa
rublja	rublje	Ncnsg
,	,	Z
čišćenje	čišćenje	Ncnsn
)	)	Z
,	,	Z

2.	2.	Mdo
električnu	električan	Agpfsay
energiju	energija	Ncfsa
s	sa	Si
osvjetljenjem	osvjetljenje	Ncnsi
koje	koji	Pi-nsn
osigurava	osiguravati	Vmr3s
dobru	dobar	Agpfsay
vidljivost	vidljivost	Ncfsa
u	u	Sl
svim	sav	Agpfply
prostorijama	prostorija	Ncfpl
,	,	Z

3.	3.	Mdo
grijanje	grijanje	Ncnsa
od	od	Sg
najmanje	malo	Rgs
20	20	Mdc
°	°	Z
C	C	Npmsn
u	u	Sl
svim	sav	Agpfply
prostorijama	prostorija	Ncfpl
u	u	Sl
kojima	koji	Pi-fpl
borave	boraviti	Vmr3p
gosti	gost	Ncmpn
i	i	Cc
osoblje	osoblje	Ncnsa
,	,	Z
osim	osim	Cs
u	u	Sl
objektu	objekt	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
posluje	poslovati	Vmr3s
ljeti	ljeti	Rgp
,	,	Z

4.	4.	Mdo
prirodno	prirodno	Rgp
ili	ili	Cc
umjetno	umjetan	Agpnsay
prozračivanje	prozračivanje	Ncnsa
svih	sav	Agpfpgy
prostorija	prostorija	Ncfpg
,	,	Z

5.	5.	Mdo
fiksnu	fiksan	Agpfsay
ili	ili	Cc
mobilnu	mobilan	Agpfsay
telefonsku	telefonski	Agpfsay
vezu	veza	Ncfsa
.	.	Z

2.4.	2.4.	Mdo

MINIMALNI	minimalan	Agpmpny
UVJETI	uvjet	Ncmpn
ZA	za	Sa
SOBU	soba	Ncfsa
,	,	Z
APARTMAN	apartman	Ncmsan
,	,	Z
STUDIO	studio	Ncmsn
APARTMAN	apartman	Ncmsan
I	i	Cc
KUĆU	kuća	Ncfsa
ZA	za	Sa
ODMOR	odmor	Ncmsan
(	(	Z
objekti	objekt	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
kategoriziraju	kategorizirati	Vmr3p
)	)	Z

2.4.1.	2.4.1.	Mdo

Sastav	sastav	Ncmsn
i	i	Cc
površina	površina	Ncfsn
objekta	objekt	Ncmsg
–	–	Z
modul	modul	Ncmsan

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Modul	modul	Ncmsn
objekta	objekt	Ncmsg
je	biti	Var3s
