identificiraju	identificirati	Vmr3p
ovim	ovaj	Pd-msi
modalitetom	modalitet	Ncmsi
.	.	Z
«	«	Z

Članak	članak	Ncmsn
5.	5.	Mdo

Članak	članak	Ncmsn
6.	6.	Mdo

U	u	Sl
dijelu	dio	Ncmsl
Upute	uputa	Ncfsg
6.2.2.	6.2.2.	Mds

Skupina	skupina	Ncfsn
obilježja	obilježje	Ncnsg
B	b	X
,	,	Z
obilježje	obilježje	Ncnsn
13.	13.	Mdo

»	»	Z
Instrument	instrument	Ncmsn
«	«	Z
,	,	Z
u	u	Sl
dijelu	dio	Ncmsl
»	»	Z
Stavke	stavka	Ncfpa
aktive	aktiva	Ncfsg
«	«	Z
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
stavka	stavka	Ncfsn
A0201	A0201	X
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

A0201	a0201	Agpmpny
Računi	Račun	Npmpn
za	za	Sa
namiru	namira	Ncfsa
kod	kod	Sg
HNB-a	HNB	Npmsg
Računi	Račun	Npmpn
za	za	Sa
namiru	namira	Ncfsa
kod	kod	Sg
HNB-a	HNB	Npmsg
jesu	biti	Var3p
računi	račun	Ncmpn
izvještajne	izvještajni	Agpfsgy
institucije	institucija	Ncfsg
otvoreni	otvoriti	Appmpny
unutar	unutar	Sg
Hrvatskog	hrvatski	Agpmsgy
sustava	sustav	Ncmsg
velikih	velik	Agpnpgy
plaćanja	plaćanje	Ncnpg
i	i	Cc
sustava	sustav	Ncmsg
TARGET2	TARGET2	Npmsn
kod	kod	Sg
HNB-a	HNB	Npmsg
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

U	u	Sl
Uputi	uputa	Ncfsl
za	za	Sa
izradu	izrada	Ncfsa
i	i	Cc
dostavljanje	dostavljanje	Ncnsa
datoteke	datoteka	Ncfsg
statističkog	statistički	Agpmsgy
i	i	Cc
bonitetnog	bonitetni	Agpnsgy
izvješća	izvješće	Ncnsg
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
Odluke	odluka	Ncfsg
o	o	Sl
statističkom	statistički	Agpmsly
i	i	Cc
bonitetnom	bonitetni	Agpnsly
izvješćivanju	izvješćivanje	Ncnsl
,	,	Z
u	u	Sl
poglavlju	poglavlje	Ncnsl
3.2.2.	3.2.i	Agpfsly
alineji	alineja	Ncfsl
4.	4.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
riječ	riječ	Ncfsn
»»	»i	Agpfsgy
A0201	a020a	Ncfsg
«	«	Z
,	,	Z
«	«	Z
.	.	Z

U	u	Sl
alineji	alineja	Ncfsl
8.	8.	Mdo
iza	iza	Sg
riječi	riječ	Ncfpg
»»	»»	Z
D0015	D0015	X
«	«	Z
,	,	Z
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
»»	»»	Z
D0016	D0016	Npmsn
«	«	Z
,	,	Z
«	«	Z
.	.	Z

Iza	iza	Sg
alineje	alineja	Ncfsg
9.	9.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
alineja	alineja	Ncfsn
10.	10.	Mdo
,	,	Z
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
–	–	Z
Ako	ako	Cs
je	biti	Var3s
polje	polje	Ncnsn
14	14	Mdc
=	=	Z
»	»	Z
A0201	A0201	X
«	«	Z
,	,	Z
tada	tada	Rgp
polje	polje	Ncnsn
16	16	Mdc
mora	morati	Vmr3s
biti	biti	Van
»	»	Z
HRK	hrk	Agpmpny
«	«	Z
ili	ili	Cc
»	»	Z
EUR	EUR	Npmsn
«	«	Z
.	.	Z
«	«	Z

Članak	članak	Ncmsn
8.	8.	Mdo

U	u	Sl
poglavlju	poglavlje	Ncnsl
3.2.4.	3.2.4.	Mdo
iza	iza	Sg
riječi	riječ	Ncfpg
»»	»»	Z
D0015	d001i	Agpfpny
««	«a	Ncfpn
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
»	»	Z
i	i	Cc
»	»	Z
D0016	D0016	X
««	««	Z
.	.	Z

Članak	članak	Ncmsn
9.	9.	Mdo

U	u	Sl
poglavlju	poglavlje	Ncnsl
3.5.3.	3.5.3	Agpfpgy
kontrola	kontrola	Ncfpg
493	493	Mdc
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

Ako	ako	Cs
je	biti	Var3s
(	(	Z
Vrsta	vrsta	Ncfsn
iznosa	iznos	Ncmsg
=	=	Z
1	1	Mdc
&	&	Z
Instrument	instrument	Ncmsn
nije	biti	Var3s
'	'	Z
P1108	p110i	Agpnsny
'	'	Z
,	,	Z
'	'	Z
P1109	P1109	X
'	'	Z
,	,	Z
'	'	Z
P1110	P1110	X
'	'	Z
,	,	Z
'	'	Z
P1111	P1111	X
'	'	Z
,	,	Z
'	'	Z
P1115	P1115	X
'	'	Z
,	,	Z
'	'	Z
P1116	P1116	X
'	'	Z
,	,	Z
'	'	Z
P1118	P1118	X
'	'	Z
,	,	Z
'	'	Z
P1119	P1119	X
'	'	Z
,	,	Z
'	'	Z
P1122	P1122	X
'	'	Z
,	,	Z
'	'	Z
P1123	P1123	X
'	'	Z
,	,	Z
'	'	Z
P1124	P1124	X
'	'	Z
,	,	Z
'	'	Z
P1125	P1125	X
'	'	Z
,	,	Z
'	'	Z
P9992	P9992	X
'	'	Z
,	,	Z
'	'	Z
D0008	D0008	X
'	'	Z
,	,	Z
'	'	Z
D0009	D0009	X
'	'	Z
,	,	Z
'	'	Z
D0014	D0014	X
'	'	Z
,	,	Z
'	'	Z
D0015	D0015	X
'	'	Z
ili	ili	Cc
'	'	Z
D0016	D0016	X
'	'	Z
)	)	Z
,	,	Z
tada	tada	Rgp
je	biti	Var3s
Iznos	iznos	Ncmsn
>	>	Z
=	=	Z
0.	0.	Mdo
493	493	Mdc

Kontrola	kontrola	Ncfsn
455	455	Mdc
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

Ako	ako	Cs
je	biti	Var3s
Instrument	instrument	Ncmsn
=	=	Z
''	'i	Agpnsny
D0008	D0008	X
''	''	Z
,	,	Z
''	''	Z
D0009	D0009	X
''	''	Z
,	,	Z
''	''	Z
D0014	D0014	X
''	''	Z
,	,	Z
''	''	Xf
D0015	D0015	Xf
''	''	Xf
ili	ili	Cc
"	"	Z
D0016	D0016	X
"	"	Z
,	,	Z
tada	tada	Rgp
je	biti	Var3s
(	(	Z
Oznaka	oznaka	Ncfsn
izvještaja	izvještaj	Ncmsg
=	=	Z
''	''	Z
NP	NP	Npmsn
''	''	Npmsn
,	,	Z
''	''	Npmsn
NR	NR	Npmsn
''	''	Npmsn
,	,	Z
''	''	Npmsn
KP	KP	Npmsn
''	''	Z
ili	ili	Cc
''	'e	Ncnsl
KR	KR	Npmsn
''	''	Npmsn
&	&	Z
Datum	datum	Ncmsn
stanja	stanje	Ncnsg
=	=	Z
31.	31.	Mdo
3.	3.	Mdo
,	,	Z
30.	30.	Mdo
6.	6.	Mdo
,	,	Z
30.	30.	Mdo
9.	9.	Mdo
ili	ili	Cc
31.	31.	Mdo
12.	12.	Mdo
)	)	Z
.	.	Z
455	455	Mdc

Članak	članak	Ncmsn
10.	10.	Mdo

Ova	ovaj	Pd-fsn
Odluka	odluka	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

O.	O.	Y
br.	br.	Y
154	154	Mdc
-	-	Z
020/06	020/06	Mdc
-	-	Z
16	16	Mdc
/	/	Z
BV	bv	Mrc

Zagreb	Zagreb	Npmsn
,	,	Z
2.	2.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo

Guverner	guverner	Ncmsn
Hrvatske	hrvatski	Agpfsgy
narodne	narodni	Agpfsgy
banke	banka	Ncfsg
prof.	prof.	Y
dr.	dr.	Y
sc.	sc.	Y
Boris	Boris	Npmsn
Vujčić	Vujčić	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

