Uz	uz	Sa
prijavu	prijava	Ncfsa
na	na	Sl
obrascu	obrazac	Ncmsl
RPS-1	rps	Agpmply
i	i	Cc
/	/	Z
ili	ili	Cc
RPS-2	RPS-	Npmsl
i	i	Cc
dokaz	dokaz	Ncmsan
o	o	Sl
uplati	uplata	Ncfsl
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
poslovni	poslovan	Agpmsny
subjekt	subjekt	Ncmsn
dostavlja	dostavljati	Vmr3s
na	na	Sa
uvid	uvid	Ncmsan
i	i	Cc
presliku	preslika	Ncfsa
sljedećih	sljedeći	Agpmpgy
dokumenata	dokument	Ncmpg
:	:	Z

•	•	Z
kod	kod	Sg
prvog	prvi	Mlomsg
upisa	upis	Ncmsg
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
u	u	Sa
Registar	registar	Ncmsan
kopiju	kopija	Ncfsa
rješenja	rješenje	Ncnsg
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
o	o	Sl
osnivanju	osnivanje	Ncnsl
i	i	Cc
kopiju	kopija	Ncfsa
potvrde	potvrda	Ncfsg
o	o	Sl
OIB-u	OIB	Npmsl

•	•	Z
kod	kod	Sg
promjene	promjena	Ncfsg
šifre	šifra	Ncfsg
djelatnosti	djelatnost	Ncfsg
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
i	i	Cc
dijela	dio	Ncmsg
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
,	,	Z
zamolbu	zamolba	Ncfsa
za	za	Sa
promjenu	promjena	Ncfsa
šifre	šifra	Ncfsg
djelatnosti	djelatnost	Ncfsg
i	i	Cc
presliku	preslika	Ncfsa
povijesnog	povijesni	Agpmsgy
izvatka	izvadak	Ncmsg
iz	iz	Sg
sudskog	sudski	Agpmsgy
registra	registar	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
navodi	navoditi	Vmr3s
djelatnost	djelatnost	Ncfsn
u	u	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
želi	željeti	Vmr3s
preregistrirati	preregistrirati	Vmn

•	•	Z
kod	kod	Sg
promjene	promjena	Ncfsg
podataka	podatak	Ncmpg
o	o	Sl
poslovnom	poslovan	Agpmsly
subjektu	subjekt	Ncmsl
ili	ili	Cc
dijelu	dio	Ncmsl
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
u	u	Sl
Registru	registar	Ncmsl
(	(	Z
adresa	adresa	Ncfsn
,	,	Z
naziv	naziv	Ncmsn
i	i	Cc
ostali	ostali	Agpmpny
podaci	podatak	Ncmpn
iz	iz	Sg
obrasca	obrazac	Ncmsg
RPS-1	rps-a	Ncfsg
i	i	Cc
RPS-2	rps-i	Agpnsny
,	,	Z
brisanje	brisanje	Ncnsn
)	)	Z
kopiju	kopija	Ncfsa
Povijesnog	povijesni	Agpmsgy
izvatka	izvadak	Ncmsg
iz	iz	Sg
Sudskog	sudski	Agpmsgy
registra	registar	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
poslovni	poslovan	Agpmsny
subjekt	subjekt	Ncmsn
registriran	registrirati	Appmsnn
pri	pri	Sl
Trgovačkom	trgovački	Agpmsly
sudu	sud	Ncmsl
,	,	Z
kopiju	kopija	Ncfsa
rješenja	rješenje	Ncnsg
registarskog	registarski	Agpnsgy
tijela	tijelo	Ncnsg
ako	ako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
poslovnom	poslovan	Agpmsly
subjektu	subjekt	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
registriran	registrirati	Appmsnn
kod	kod	Sg
drugoga	drugi	Agpnsgy
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg

•	•	Z
kod	kod	Sg
prijave	prijava	Ncfsg
dijela	dio	Ncmsg
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
odluku	odluka	Ncfsa
o	o	Sl
osnivanju	osnivanje	Ncnsl
dijela	dio	Ncmsg
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
presliku	preslika	Ncfsa
rješenja	rješenje	Ncnsg
ovlaštenog	ovlašten	Agpnsgy
tijela	tijelo	Ncnsg
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl
zakonom	zakon	Ncmsi
propisanih	propisati	Agpmpgy
uvjeta	uvjet	Ncmpg
ili	ili	Cc
presliku	preslika	Ncfsa
rješenja	rješenje	Ncnsg
o	o	Sl
upisu	upis	Ncmsl
dijela	dio	Ncmsg
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
u	u	Sa
posebni	poseban	Agpmsayn
registar	registar	Ncmsan
.	.	Z

Članak	članak	Ncmsn
7.	7.	Mdo

Za	za	Sa
izdavanje	izdavanje	Ncnsa
Obavijesti	obavijest	Ncfsg
o	o	Sl
razvrstavanju	razvrstavanje	Ncnsl
kod	kod	Sg
otvaranja	otvaranje	Ncnsg
likvidacije	likvidacija	Ncfsg
ili	ili	Cc
stečaja	stečaj	Ncmpg
,	,	Z
ako	ako	Cs
su	biti	Var3p
