jela	jelo	Ncnpa
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
;	;	Z
zabava	zabava	Ncfsn
,	,	Z
rekreacija	rekreacija	Ncfsn
i	i	Cc
drugo	drugi	Mlonsn
)	)	Z
,	,	Z

3.	3.	Mdo
prostora	prostor	Ncmsg
(	(	Z
prostorija	prostorija	Ncfpg
)	)	Z
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg
/	/	Z
objekata	objekt	Ncmpg
koje	koji	Pi-mpa
koristi	koristiti	Vmr3s
gost	gost	Ncmsn
pojedinačno	pojedinačno	Rgp
–	–	Z
ugostiteljski	ugostiteljski	Agpmpny
sadržaji	sadržaj	Ncmpn
za	za	Sa
privatno	privatan	Agpnsay
korištenje	korištenje	Ncnsa
,	,	Z

4.	4.	Mdo
prostora	prostor	Ncmsg
(	(	Z
prostorija	prostorija	Ncfpg
)	)	Z
koje	koji	Pi-fpn
koristi	koristiti	Vmr3s
osoblje	osoblje	Ncnsa
(	(	Z
kuhinja	kuhinja	Ncfsn
,	,	Z
spremišta	spremište	Ncnsg
,	,	Z
sanitarije	sanitarija	Ncfsg
i	i	Cc
garderobe	garderoba	Ncfsg
,	,	Z
servis	servis	Ncmsan
,	,	Z
instalacije	instalacija	Ncfsg
i	i	Cc
drugo	drugi	Mlonsn
)	)	Z
.	.	Z

2.1.	2.1.	Mdo

SIGURNOST	sigurnost	Ncfsn
GOSTA	gost	Ncmsg
I	i	Cc
ZAPOSLENOG	zaposlen	Agpnsgy
OSOBLJA	osoblje	Ncnsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Objekt	objekt	Ncmsn
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
sigurnost	sigurnost	Ncfsa
,	,	Z
funkcionalnost	funkcionalnost	Ncfsa
i	i	Cc
udobnost	udobnost	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Okoliš	okoliš	Ncmsn
i	i	Cc
vanjski	vanjski	Agpmsny
izgled	izgled	Ncmsn
objekta	objekt	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
uređeni	urediti	Appmpny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uređenje	uređenje	Ncnsn
,	,	Z
oprema	oprema	Ncfsn
i	i	Cc
uređaji	uređaj	Ncmpn
u	u	Sl
objektu	objekt	Ncmsl
ne	ne	Qz
smiju	smjeti	Vmr3p
biti	biti	Van
dotrajali	dotrajao	Agpmpny
i	i	Cc
oštećeni	oštetiti	Appmpny
te	te	Cc
moraju	morati	Vmr3p
biti	biti	Van
stalno	stalno	Rgp
u	u	Sl
funkcionalnom	funkcionalan	Agpnsly
stanju	stanje	Ncnsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Rublje	rublje	Ncnsn
,	,	Z
posuđe	posuđe	Ncnsn
i	i	Cc
ostalo	ostali	Agpnsny
u	u	Sl
direktom	direkt	Ncmsl
kontaktu	kontakt	Ncmsl
s	sa	Si
gostom	gost	Ncmsi
,	,	Z
kada	kada	Cs
nije	biti	Var3s
u	u	Sl
uporabi	uporaba	Ncfsl
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
zaštićeno	zaštititi	Appnsny
od	od	Sg
prašine	prašina	Ncfsg
i	i	Cc
ostalih	ostali	Agpfpgy
kontaminacija	kontaminacija	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
U	u	Sl
objektu	objekt	Ncmsl
moraju	morati	Vmr3p
biti	biti	Van
osigurana	osigurati	Appnpny
sredstva	sredstvo	Ncnsg
za	za	Sa
pružanje	pružanje	Ncnsa
prve	prvi	Mlofsg
pomoći	pomoć	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Komunalni	komunalan	Agpmsny
i	i	Cc
ostali	ostali	Agpmsayn
otpad	otpad	Ncmsan
mora	morati	Vmr3s
se	sebe	Px--sa
redovito	redovito	Rgp
odstranjivati	odstranjivati	Vmn
iz	iz	Sg
objekta	objekt	Ncmsg
.	.	Z

2.2.	2.2.	Mdo

HORIZONTALNE	horizontalan	Agpfpny
I	i	Cc
VERTIKALNE	vertikalan	Agpfsgy
KOMUNIKACIJE	komunikacija	Ncfsg
,	,	Z
VISINE	visina	Ncfsg
PROSTORIJA	prostorija	Ncfsn

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Objekt	objekt	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
ulaz	ulaz	Ncmsan
,	,	Z
horizontalne	horizontalan	Agpfpay
(	(	Z
hodnici	hodnik	Ncmpn
)	)	Z
i	i	Cc
vertikalne	vertikalan	Agpfsgy
komunikacije	komunikacija	Ncfsg
(	(	Z
stubišta	stubište	Ncnsg
,	,	Z
dizala	dizati	Vmp-sf
,	,	Z
rampe	rampa	Ncfsg
)	)	Z
za	za	Sa
goste	gost	Ncmpa
i	i	Cc
osoblje	osoblje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
postojećim	postojeći	Agpmply
objektima	objekt	Ncmpl
mogu	moći	Vmr3p
biti	biti	Van
postojeće	postojeći	Agpfsgy
širine	širina	Ncfsg
stubišta	stubište	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
hodnika	hodnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
novim	nov	Agpmply
objektima	objekt	Ncmpl
širine	širina	Ncfsg
stubišta	stubište	Ncnsg
i	i	Cc
/	/	Z
ili	ili	Cc
hodnika	hodnik	Ncmsg
moraju	morati	Vmr3p
biti	biti	Van
sukladno	sukladan	Agpnsny
prilozima	prilog	Ncmpi
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
na	na	Sl
pojedinim	pojedini	Agpmply
dijelovima	dio	Ncmpl
mogu	moći	Vmr3p
biti	biti	Van
uže	usko	Rgc
od	od	Sg
propisanih	propisati	Ncfpg
zbog	zbog	Sg
konstruktivnih	konstruktivan	Agpmpgy
elemenata	element	Ncmpg
i	i	Cc
instalacija	instalacija	Ncfpg
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Visina	visina	Ncfsn
prostorija	prostorija	Ncfpg
(	(	Z
visina	visina	Ncfsn
od	od	Sg
poda	pod	Ncmsg
do	do	Sg
stropa	strop	Ncmsg
)	)	Z
za	za	Sa
zajedničke	zajednički	Agpmpay
sadržaje	sadržaj	Ncmpa
i	i	Cc
osoblje	osoblje	Ncnsa
mora	morati	Vmr3s
biti	biti	Van
2,80	2,80	Mdc
m.	m.	Y

(	(	Z
2	2	Mdc
)	)	Z
Visina	visina	Ncfsn
komunikacija	komunikacija	Ncfpg
,	,	Z
modula	modul	Ncmpg
smještajnih	smještajan	Agpfpgy
jedinica	jedinica	Ncfpg
i	i	Cc
prostorija	prostorija	Ncfpg
za	za	Sa
osoblje	osoblje	Ncnsa
uz	uz	Sa
smještajne	smještajan	Agpfpay
jedinice	jedinica	Ncfpa
mora	morati	Vmr3s
biti	biti	Van
2,40	2,40	Mdc
m.	m.	Y

(	(	Z
3	3	Mdc
)	)	Z
Visina	visina	Ncfsn
prostorija	prostorija	Ncfpg
s	sa	Si
kosim	kositi	Vmr1s
ili	ili	Cc
stropom	strop	Ncmsi
različitih	različit	Agpfpgy
visina	visina	Ncfpg
,	,	Z
mora	morati	Vmr3s
u	u	Sl
prosjeku	prosjeka	Ncmsl
iznositi	iznositi	Vmn
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
a	a	Cc
u	u	Sl
novim	nov	Agpmply
objektima	objekt	Ncmpl
najniža	nizak	Agsfsny
visina	visina	Ncfsn
od	od	Sg
poda	pod	Ncmsg
do	do	Sg
kosog	kos	Agpmsgy
stropa	strop	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
manja	mali	Agcfsny
od	od	Sg
1,20	1,20	Mdc
m.	m.	Y

(	(	Z
4	4	Mdc
)	)	Z
Postojeći	postojeći	Agpmpny
objekti	objekt	Ncmpn
mogu	moći	Vmr3p
imati	imati	Vmn
postojeće	postojeći	Agpfpay
visine	visina	Ncfpa
prostorija	prostorija	Ncfpg
,	,	Z
ako	ako	Cs
je	biti	Var3s
omogućeno	omogućiti	Appnsny
sigurno	siguran	Agpnsny
kretanje	kretanje	Ncnsn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Visine	visina	Ncfpn
mogu	moći	Vmr3p
biti	biti	Van
niže	nizak	Agcfpny
od	od	Sg
propisanih	propisati	Appmpgy
u	u	Sl
dijelovima	dio	Ncmpl
prostorija	prostorija	Ncfpg
u	u	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
ugrađene	ugraditi	Appfpny
instalacije	instalacija	Ncfpn
,	,	Z
ako	ako	Cs
je	biti	Var3s
osigurano	osigurati	Agpnsny
sigurno	siguran	Agpnsny
kretanje	kretanje	Ncnsn
.	.	Z

2.3.	2.3.	Mdo

INSTALACIJE	instalacija	Ncfpn

Članak	članak	Ncmsn
9.	9.	Mdo

Objekt	objekt	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
:	:	Z

1.	1.	Mdo
tekuću	tekući	Agpfsay
hladnu	hladan	Agpfsay
i	i	Cc
toplu	topao	Agpfsay
vodu	voda	Ncfsa
s	sa	Si
odvodnjom	odvodnja	Ncfsi
(	(	Z
osobna	osoban	Agpfsny
higijena	higijena	Ncfsn
gostiju	gost	Ncmpg
i	i	Cc
osoblja	osoblje	Ncnsg
,	,	Z
priprema	pripremati	Vmr3s
i	i	Cc
usluživanje	usluživanje	Ncnsa
hrane	hrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
,	,	Z
pranje	pranje	Ncnsa
rublja	rublje	Ncnsg
,	,	Z
čišćenje	čišćenje	Ncnsn
)	)	Z
,	,	Z

2.	2.	Mdo
električnu	električan	Agpfsay
energiju	energija	Ncfsa
s	sa	Si
osvjetljenjem	osvjetljenje	Ncnsi
koje	koji	Pi-nsn
osigurava	osiguravati	Vmr3s
dobru	dobar	Agpfsay
vidljivost	vidljivost	Ncfsa
u	u	Sl
svim	sav	Agpfply
prostorijama	prostorija	Ncfpl
,	,	Z

3.	3.	Mdo
grijanje	grijanje	Ncnsa
od	od	Sg
najmanje	malo	Rgs
20	20	Mdc
°	°	Z
C	C	Npmsn
u	u	Sl
svim	sav	Agpfply
prostorijama	prostorija	Ncfpl
u	u	Sl
kojima	koji	Pi-fpl
borave	boraviti	Vmr3p
gosti	gost	Ncmpn
i	i	Cc
osoblje	osoblje	Ncnsa
,	,	Z
osim	osim	Cs
u	u	Sl
objektu	objekt	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
posluje	poslovati	Vmr3s
ljeti	ljeti	Rgp
,	,	Z

4.	4.	Mdo
prirodno	prirodno	Rgp
ili	ili	Cc
umjetno	umjetan	Agpnsay
prozračivanje	prozračivanje	Ncnsa
svih	sav	Agpfpgy
prostorija	prostorija	Ncfpg
,	,	Z

5.	5.	Mdo
fiksnu	fiksan	Agpfsay
ili	ili	Cc
mobilnu	mobilan	Agpfsay
telefonsku	telefonski	Agpfsay
vezu	veza	Ncfsa
.	.	Z

2.4.	2.4.	Mdo

SANITARNI	sanitaran	Agpmpny
ČVOROVI	čvor	Ncmpn
ZA	za	Sa
GOSTE	gost	Ncmpa
U	u	Sl
ZAJEDNIČKIM	zajednički	Agpmply
SADRŽAJIMA	sadržaj	Ncmpl

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Objekt	objekt	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
uređen	urediti	Appmsnn
i	i	Cc
opremljen	opremiti	Appmsnn
sanitarni	sanitaran	Agpmsny
čvor	čvor	Ncmsn
/	/	Z
ove	ovaj	Pd-fsg
u	u	Sl
blizini	blizina	Ncfsl
zajedničkih	zajednički	Agpmpgy
sadržaja	sadržaj	Ncmpg
za	za	Sa
goste	gost	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sanitarni	sanitaran	Agpmsny
čvor	čvor	Ncmsn
je	biti	Var3s
:	:	Z

1.	1.	Mdo
zahod	zahod	Ncmsn
za	za	Sa
žene	žena	Ncfpa
koji	koji	Pi-msn
ima	imati	Vmr3s
;	;	Z
prostoriju	prostorija	Ncfsa
sa	sa	Si
zahodskom	zahodski	Agpfsiy
školjkom	školjka	Ncfsi
(	(	Z
zahodska	zahodski	Agpfsny
kabina	kabina	Ncfsn
)	)	Z
i	i	Cc
predprostoriju	predprostorij	Ncmsl
s	sa	Si
umivaonikom	umivaonik	Ncmsi
,	,	Z

2.	2.	Mdo
zahod	zahod	Ncmsan
za	za	Sa
muškarce	muškarac	Ncmpa
koji	koji	Pi-msn
ima	imati	Vmr3s
;	;	Z
prostoriju	prostorija	Ncfsa
sa	sa	Si
zahodskom	zahodski	Agpfsiy
školjkom	školjka	Ncfsi
(	(	Z
zahodska	zahodski	Agpfsny
kabina	kabina	Ncfsn
)	)	Z
,	,	Z
predprostoriju	predprostorij	Ncmsl
s	sa	Si
umivaonikom	umivaonik	Ncmsi
i	i	Cc
pisoarom	pisoar	Ncmsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Svi	sav	Agpmpny
zahodi	zahod	Ncmpn
moraju	morati	Vmr3p
imati	imati	Vmn
visoku	visok	Agpfsay
zahodsku	zahodski	Agpfsay
školjku	školjka	Ncfsa
(	(	Z
školjku	školjka	Ncfsa
sa	sa	Si
sjedalom	sjedalo	Ncnsi
)	)	Z
na	na	Sa
ispiranje	ispiranje	Ncnsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Pisoar	pisoar	Ncmsn
je	biti	Var3s
na	na	Sa
ispiranje	ispiranje	Ncnsa
ili	ili	Cc
bezvodni	bezvodan	Agpmsny
pisoar	pisoar	Ncmsn
postavljen	postaviti	Appmsnn
ili	ili	Cc
ograđen	ograditi	Appmsnn
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
vidi	vidjeti	Vmr3s
izvan	izvan	Sg
predprostorije	predprostorija	Ncfsg
.	.	Z

2.4.1.	2.4.1.	Mdo

Broj	broj	Ncmsn
sanitarnih	sanitaran	Agpmpgy
elemenata	element	Ncmpg

Članak	članak	Ncmsn
11.	11.	Mdo

Broj	broj	Ncmsn
sanitarnih	sanitaran	Agpmpgy
elemenata	element	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
razmjeran	razmjeran	Agpmsnn
broju	broj	Ncmsd
konzumnih	konzumni	Agpnpgy
mjesta	mjesto	Ncnpg
u	u	Sl
ugostiteljskim	ugostiteljski	Agpmply
sadržajima	sadržaj	Ncmpl
za	za	Sa
usluživanje	usluživanje	Ncnsa
hrane	hrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
te	te	Cc
drugim	drugi	Mlompi
sadržajima	sadržaj	Ncmpi
,	,	Z
na	na	Sa
način	način	Ncmsan
:	:	Z

1.	1.	Mdo
do	do	Sg
80	80	Mdc
mjesta	mjesto	Ncnpg
:	:	Z
zahodska	zahodski	Agpfsny
školjka	školjka	Ncfsn
za	za	Sa
žene	žena	Ncfpa
,	,	Z
zahodska	zahodski	Agpfsny
školjka	školjka	Ncfsn
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z
pisoar	pisoar	Ncmsan
,	,	Z
umivaonik	umivaonik	Ncmsn
za	za	Sa
žene	žena	Ncfpa
,	,	Z
umivaonik	umivaonik	Ncmsan
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z

2.	2.	Mdo
do	do	Sg
160	160	Mdc
mjesta	mjesto	Ncnpg
:	:	Z
dvije	dva	Mlcf-n
zahodske	zahodski	Agpfsgy
školjke	školjka	Ncfsg
za	za	Sa
žene	žena	Ncfpa
,	,	Z
zahodska	zahodski	Agpfsny
školjka	školjka	Ncfsn
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z
dva	dva	Mlc
pisoara	pisoar	Ncmsg
,	,	Z
umivaonik	umivaonik	Ncmsn
za	za	Sa
žene	žena	Ncfpa
,	,	Z
umivaonik	umivaonik	Ncmsan
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z

3.	3.	Mdo
do	do	Sg
320	320	Mdc
mjesta	mjesto	Ncnpg
:	:	Z
tri	tri	Mlc
zahodske	zahodski	Agpfsgy
školjke	školjka	Ncfsg
za	za	Sa
žene	žena	Ncfpa
,	,	Z
dvije	dva	Mlcf-n
zahodske	zahodski	Agpfsgy
školjke	školjka	Ncfsg
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z
tri	tri	Mlc
pisoara	pisoar	Ncmsg
,	,	Z
dva	dva	Mlc
umivaonika	umivaonik	Ncmsg
za	za	Sa
žene	žena	Ncfpa
,	,	Z
dva	dva	Mlc
umivaonika	umivaonik	Ncmsg
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z

4.	4.	Mdo
do	do	Sg
550	550	Mdc
mjesta	mjesto	Ncnpg
:	:	Z
tri	tri	Mlc
zahodske	zahodski	Agpfsgy
školjke	školjka	Ncfsg
za	za	Sa
žene	žena	Ncfpa
,	,	Z
dvije	dva	Mlcf-n
zahodske	zahodski	Agpfsgy
školjke	školjka	Ncfsg
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z
tri	tri	Mlc
pisoara	pisoar	Ncmsg
,	,	Z
tri	tri	Mlc
umivaonika	umivaonik	Ncmsg
za	za	Sa
žene	žena	Ncfpa
,	,	Z
tri	tri	Mlc
umivaonika	umivaonik	Ncmsg
za	za	Sa
muškarce	muškarac	Ncmpa
,	,	Z

5.	5.	Mdo
više	mnogo	Rgc
od	od	Sg
550	550	Mdc
mjesta	mjesto	Ncnpg
:	:	Z
četiri	četiri	Mlc
zahodske	zahodski	Agpfsgy
školjke	školjka	Ncfsg
za	za	Sa
žene	žena	Ncfpa
,	,	Z
tri	tri	Mlc
