zajedničkim	zajednički	Agpmpiy
sadržajima	sadržaj	Ncmpi
,	,	Z
svojim	svoj	Px-mpl
ugostiteljskim	ugostiteljski	Agpmply
objektima	objekt	Ncmpl
i	i	Cc
/	/	Z
ili	ili	Cc
objektima	objekt	Ncmpl
drugih	drugi	Mlompg
ugostitelja	ugostitelj	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
iznajmljivača	iznajmljivač	Ncmpg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
prethodno	prethodno	Rgp
ishodili	ishoditi	Vmp-pm
rješenje	rješenje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Integralni	integralan	Agpmsny
hotel	hotel	Ncmsn
je	biti	Var3s
funkcionalna	funkcionalan	Agpfsny
cjelina	cjelina	Ncfsn
u	u	Sa
tri	tri	Mlc
ili	ili	Cc
više	mnogo	Rgc
građevina	građevina	Ncfpg
i	i	Cc
/	/	Z
ili	ili	Cc
dijelova	dio	Ncmpg
građevina	građevina	Ncfpg
na	na	Sl
području	područje	Ncnsl
jednog	jedan	Agpnsgy
naselja	naselje	Ncnsg
.	.	Z

Građevine	građevina	Ncfpn
ili	ili	Cc
dijelovi	dio	Ncmpn
građevina	građevina	Ncfpg
hotela	hotel	Ncmsg
mogu	moći	Vmr3p
biti	biti	Van
rasprostranjeni	rasprostraniti	Appmpny
po	po	Sl
cijelom	cijel	Agpnsly
naselju	naselje	Ncnsl
između	između	Sg
objekata	objekt	Ncmpg
drugih	drugi	Mlofpg
namjena	namjena	Ncfpg
.	.	Z

Ugostiteljski	ugostiteljski	Agpmpny
sadržaji	sadržaj	Ncmpn
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
pružaju	pružati	Vmr3p
ugostiteljske	ugostiteljski	Agpfpny
usluge	usluga	Ncfpn
mogu	moći	Vmr3p
biti	biti	Van
odvojeni	odvojiti	Appmpny
javnom	javan	Agpfsiy
ili	ili	Cc
zajedničkom	zajednički	Agpfsiy
površinom	površina	Ncfsi
.	.	Z

U	u	Sa
ugostiteljske	ugostiteljski	Agpmpay
sadržaje	sadržaj	Ncmpa
može	moći	Vmr3s
se	sebe	Px--sa
ulaziti	ulaziti	Vmn
neposredno	neposredno	Rgp
iz	iz	Sg
vanjskog	vanjski	Agpmsgy
prostora	prostor	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Integralni	integralan	Agpmsny
hotel	hotel	Ncmsn
mora	morati	Vmr3s
imati	imati	Vmn
sljedeće	sljedeći	Agpmpay
ugostiteljske	ugostiteljski	Agpmpay
sadržaje	sadržaj	Ncmpa
za	za	Sa
pružanje	pružanje	Ncnsa
ugostiteljskih	ugostiteljski	Agpfpgy
usluga	usluga	Ncfpg
:	:	Z

1.	1.	Mdo
zajedničke	zajednički	Agpmpay
sadržaje	sadržaj	Ncmpa
za	za	Sa
prijem	prijem	Ncmsan
gosta	gost	Ncmsg
;	;	Z
prijemni	prijemni	Agpmpny
hol	ho	Ncmpn
s	sa	Si
recepcijom	recepcija	Ncfsi
,	,	Z
prostoriju	prostorija	Ncfsa
za	za	Sa
boravak	boravak	Ncmsan
,	,	Z

2.	2.	Mdo
zajedničke	zajednički	Agpmpay
sadržaje	sadržaj	Ncmpa
(	(	Z
ugostitelja	ugostitelj	Ncmpg
)	)	Z
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
usluživanje	usluživanje	Ncnsa
doručka	doručak	Ncmsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
;	;	Z
restoran	restoran	Ncmsan
,	,	Z
blagovaonicu	blagovaonica	Ncfsa
,	,	Z
točionik	točionik	Ncmsan
ili	ili	Cc
omogućeno	omogućiti	Agpnsay
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
doručka	doručak	Ncmsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
u	u	Sl
predhodno	predhodno	Agpmply
kategoriziranim	kategorizirati	Agpmply
objektima	objekt	Ncmpl
ugostitelja	ugostitelj	Ncmpg
ili	ili	Cc
drugih	drugi	Mlompg
ugostitelja	ugostitelj	Ncmpg
.	.	Z

3.	3.	Mdo
zajednički	zajednički	Agpmsny
sanitarni	sanitaran	Agpmsny
čvor	čvor	Ncmsn
;	;	Z
uz	uz	Sa
sadržaje	sadržaj	Ncmpa
za	za	Sa
prijem	prijem	Ncmsan
gosta	gost	Ncmsg
i	i	Cc
usluživanje	usluživanje	Ncnsa
doručka	doručak	Ncmsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
,	,	Z

4.	4.	Mdo
objekte	objekt	Ncmpa
za	za	Sa
smještaj	smještaj	Ncmsan
,	,	Z
