izvršenoj	izvršen	Agpfsly
dostavi	dostava	Ncfsl
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
011	011	Mdc
-	-	Z
02/16	02/16	Mdc
-	-	Z
05/03	05/03	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
326	326	Mdc
-	-	Z
01	01	Mdc
-	-	Z
550	550	Mdc
-	-	Z
552	552	Mdc
-	-	Z
16	16	Mdc
-	-	Z
1	1	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
17.	17.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Upravnog	upravan	Agpnsgy
vijeća	vijeće	Ncnsg
Petar-Pierre	Petar-Pierra	Npfsg
Matek	Matek	Npfsg
,	,	Z
v.	v.	Y
r.	r.	Y

