Međunarodnom	međunarodni	Agpmsly
okviru	okvir	Ncmsl
za	za	Sa
unutarnju	unutarnji	Agpfsay
kontrolu	kontrola	Ncfsa
:	:	Z
kontrolno	kontrolan	Agpnsay
okruženje	okruženje	Ncnsa
,	,	Z
upravljanje	upravljanje	Ncnsn
rizicima	rizik	Ncmpi
,	,	Z
kontrolne	kontrolan	Agpfpny
aktivnosti	aktivnost	Ncfpn
,	,	Z
informacije	informacija	Ncfpa
i	i	Cc
komunikacija	komunikacija	Ncfsn
,	,	Z
praćenje	praćenje	Ncnsn
i	i	Cc
procjena	procjena	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Okvir	okvir	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
svaku	svaki	Pi-fsa
od	od	Sg
komponenti	komponenta	Ncfpg
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
razrađuje	razrađivati	Vmr3s
kroz	kroz	Sa
načela	načelo	Ncnpa
,	,	Z
metode	metoda	Ncfpa
i	i	Cc
postupke	postupak	Ncmpa
koji	koji	Pi-mpn
predstavljaju	predstavljati	Vmr3p
ključne	ključan	Agpmpay
zahtjeve	zahtjev	Ncmpa
unutarnjih	unutarnji	Agpfpgy
kontrola	kontrola	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sadržaj	sadržaj	Ncmsn
Okvira	Okvir	Npmsg
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Prilogu	Prilog	Npmsl
1	1	Mdc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
njegov	njegov	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

III	III	Mrc
.	.	Z

SVRHA	svrha	Ncfsn
PRIMJENE	primjena	Ncfsg
OKVIRA	okvir	Ncmpg
ZA	za	Sa
RAZVOJ	razvoj	Ncmsan
SUSTAVA	sustav	Ncmsg
UNUTARNJIH	unutarnji	Agpfpgy
KONTROLA	kontrola	Ncfpg

Članak	članak	Ncmsn
5.	5.	Mdo

Okvir	okvir	Ncmsn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
u	u	Sa
svrhu	svrha	Ncfsa
:	:	Z

a	a	Cc
)	)	Z
usmjeravanja	usmjeravanje	Ncnsg
i	i	Cc
kontroliranja	kontroliranje	Ncnsg
financijskih	financijski	Agpmpgy
učinaka	učinak	Ncmpg
poslovanja	poslovanje	Ncnsg
radi	radi	Sg
ostvarenja	ostvarenje	Ncnsg
poslovnih	poslovan	Agpmpgy
ciljeva	cilj	Ncmpg
i	i	Cc
korištenja	korištenje	Ncnsg
sredstava	sredstvo	Ncnpg
na	na	Sa
pravilan	pravilan	Agpmsann
,	,	Z
etičan	etičan	Agpmsnn
,	,	Z
ekonomičan	ekonomičan	Agpmsnn
,	,	Z
djelotvoran	djelotvoran	Agpmsnn
i	i	Cc
učinkovit	učinkovit	Agpmsann
način	način	Ncmsan

b	b	Npmsn
)	)	Z
osiguranja	osiguranje	Ncnsg
usklađenosti	usklađenost	Ncfsg
poslovanja	poslovanje	Ncnsg
sa	sa	Si
zakonima	zakon	Ncmpi
i	i	Cc
drugim	drugi	Mlompl
propisima	propis	Ncmpi
,	,	Z
planovima	plan	Ncmpi
,	,	Z
programima	program	Ncmpi
i	i	Cc
postupcima	postupak	Ncmpi

c	C	Npmsn
)	)	Z
zaštite	zaštita	Ncfsg
sredstava	sredstvo	Ncnpg
od	od	Sg
gubitaka	gubitak	Ncmpg
uzrokovanih	uzrokovati	Agpmpgy
lošim	loš	Agpnsiy
upravljanjem	upravljanje	Ncnsi
,	,	Z
neopravdanim	neopravdan	Agpnsiy
trošenjem	trošenje	Ncnsi
i	i	Cc
korištenjem	korištenje	Ncnsi
te	taj	Pd-fsg
zaštite	zaštita	Ncfsg
od	od	Sg
drugih	drugi	Mlompg
oblika	oblik	Ncmpg
nepravilnosti	nepravilnost	Ncfsg

d	d	Npmsn
)	)	Z
jačanja	jačanje	Ncnsg
odgovornosti	odgovornost	Ncfsg
za	za	Sa
uspješno	uspješan	Agpnsay
ostvarenje	ostvarenje	Ncnsa
poslovnih	poslovan	Agpmpgy
ciljeva	cilj	Ncmpg

e	e	I
)	)	Z
osiguranja	osiguranje	Ncnsg
pouzdanosti	pouzdanost	Ncfsg
i	i	Cc
sveobuhvatnosti	sveobuhvatnost	Ncfsg
financijskih	financijski	Agpmpgy
i	i	Cc
drugih	drugi	Mlompg
izvještaja	izvještaj	Ncmpg
.	.	Z

IV	IV	Mrc
.	.	Z

ODGOVORNOST	odgovornost	Ncfsa
ZA	za	Sa
PRIMJENU	primjena	Ncfsa
OKVIRA	okvir	Ncmpg
ZA	za	Sa
RAZVOJ	razvoj	Ncmsan
SUSTAVA	sustav	Ncmsg
UNUTARNJIH	unutarnji	Agpfpgy
KONTROLA	kontrola	Ncfpg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
institucije	institucija	Ncfsg
odgovorna	odgovoran	Agpfsny
je	biti	Var3s
za	za	Sa
primjenu	primjena	Ncfsa
načela	načelo	Ncnsg
,	,	Z
metoda	metoda	Ncfsn
i	i	Cc
postupaka	postupak	Ncmpg
navedenih	navesti	Appmpgy
u	u	Sl
Okviru	okvir	Ncmsl
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zakonima	zakon	Ncmpi
i	i	Cc
drugim	drugi	Mlompl
propisima	propis	Ncmpi
te	te	Cc
internim	interni	Agpmpiy
aktima	akt	Ncmpi
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
pojedina	pojedini	Agpnpay
područja	područje	Ncnpa
poslovanja	poslovanje	Ncnsg
institucije	institucija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odgovorna	odgovoran	Agpfsny
osoba	osoba	Ncfsn
institucije	institucija	Ncfsg
obvezna	obvezan	Agpfsny
je	biti	Var3s
osigurati	osigurati	Vmn
razvoj	razvoj	Ncmsan
dodatnih	dodatan	Agpfpgy
metoda	metoda	Ncfpg
i	i	Cc
postupaka	postupak	Ncmpg
za	za	Sa
primjenu	primjena	Ncfsa
Okvira	okvir	Ncmpg
sukladno	sukladno	Rgp
posebnostima	posebnost	Ncfpg
u	u	Sl
poslovanju	poslovanje	Ncnsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Rukovoditelji	rukovoditelj	Ncmpn
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
u	u	Sl
obvezi	obveza	Ncfsl
su	biti	Var3p
primjenjivati	primjenjivati	Vmn
Okvir	okvir	Ncmsan
te	te	Cc
razvijati	razvijati	Vmn
metode	metoda	Ncfpa
i	i	Cc
postupke	postupak	Ncmpa
za	za	Sa
primjenu	primjena	Ncfsa
Okvira	okvir	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
dodijeljenim	dodijeljen	Agpfpiy
ovlastima	ovlast	Ncfpi
i	i	Cc
