odnose	odnositi	Vmr3p
na	na	Sa
uredsko	uredski	Agpnsay
i	i	Cc
arhivsko	arhivski	Agpnsay
poslovanje	poslovanje	Ncnsa
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
primitka	primitak	Ncmsg
i	i	Cc
otpreme	otprema	Ncfsg
pismena	pismen	Agpfsny
;	;	Z
poslove	posao	Ncmpa
klasifikacije	klasifikacija	Ncfsg
i	i	Cc
urudžbiranja	urudžbiranje	Ncnsg
pismena	pismena	Ncnsg
,	,	Z
akata	akt	Ncmpg
i	i	Cc
predmeta	predmet	Ncmpg
te	te	Cc
evidentiranja	evidentiranje	Ncnsg
istih	isti	Agpfpgy
u	u	Sa
odgovarajuće	odgovarajući	Agpmpay
upisnike	upisnik	Ncmpa
uredskog	uredski	Agpnsgy
poslovanja	poslovanje	Ncnsg
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
čuvanja	čuvanje	Ncnsg
i	i	Cc
izlučivanja	izlučivanje	Ncnsg
pismena	pismen	Agpfsny
te	te	Cc
drugih	drugi	Mlompg
dokumenata	dokument	Ncmpg
,	,	Z
pohranjuje	pohranjivati	Vmr3s
arhivsko	arhivski	Agpnsny
gradivo	gradivo	Ncnsn
do	do	Sg
izlučivanja	izlučivanje	Ncnsg
ili	ili	Cc
predaje	predaja	Ncfsg
Hrvatskom	Hrvatska	Npfsi
državnom	državni	Agpmsly
arhivu	arhiv	Ncmsl
;	;	Z
vodi	voditi	Vmr3s
evidenciju	evidencija	Ncfsa
pečata	pečat	Ncmpg
,	,	Z
žigova	žig	Ncmpg
i	i	Cc
štambilja	štambilj	Ncmpg
sukladno	sukladno	Rgp
propisima	propis	Ncmpi
o	o	Sl
uredskom	uredski	Agpnsly
poslovanju	poslovanje	Ncnsl
;	;	Z
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
prikupljanja	prikupljanje	Ncnsg
i	i	Cc
evidentiranja	evidentiranje	Ncnsg
potreba	potreba	Ncfpg
za	za	Si
uredskim	uredski	Agpmsiy
materijalom	materijal	Ncmsi
;	;	Z
skrbi	skrbiti	Vmr3s
o	o	Sl
knjižnici	knjižnica	Ncfsl
Ureda	ured	Ncmsg
i	i	Cc
nabavi	nabava	Ncfsl
stručne	stručan	Agpfsgy
literature	literatura	Ncfsg
za	za	Sa
potrebe	potreba	Ncfpa
Ureda	ured	Ncmsg
;	;	Z
kontinuirano	kontinuirano	Rgp
prati	pratiti	Vmr3s
pozitivne	pozitivan	Agpmpay
propise	propis	Ncmpa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
rada	rad	Ncmsg
te	te	Cc
obavlja	obavljati	Vmr3s
druge	drugi	Mlompa
poslove	posao	Ncmpa
po	po	Sl
nalogu	nalog	Ncmsl
glavnog	glavni	Agpmsgy
tajnika	tajnik	Ncmsg
i	i	Cc
predstojnika	predstojnik	Ncmpg
Ureda	ured	Ncmsg
.	.	Z

Služba	služba	Ncfsn
za	za	Sa
materijalno-financijske	materijalno-financijski	Agpmpay
poslove	posao	Ncmpa

Članak	članak	Ncmsn
22.	22.	Mdo

Služba	služba	Ncfsn
za	za	Sa
materijalno-financijske	materijalno-financijski	Agpmpay
poslove	posao	Ncmpa
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
planiranja	planiranje	Ncnsg
i	i	Cc
organizacije	organizacija	Ncfsg
,	,	Z
financijskih	financijski	Agpfpgy
