provedeno	provesti	Appnsny
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Spis	spis	Ncmsn
predmeta	predmet	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
arhivirati	arhivirati	Vmn
tek	tek	Rgp
nakon	nakon	Cs
što	što	Cs
se	sebe	Px--sa
od	od	Sg
ovlaštenog	ovlašten	Agpmsgy
službenika	službenik	Ncmsg
financijsko-materijalnog	financijsko-materijalan	Agpnsgy
poslovanja	poslovanje	Ncnsg
pribavi	pribaviti	Vmr3s
kartica	kartica	Ncfsn
predmeta	predmet	Ncmsg
iz	iz	Sg
koje	koji	Pi-fsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
u	u	Sl
sudskom	sudski	Agpmsly
predmetu	predmet	Ncmsl
nema	nemati	Vmr3s
neraspoređenih	neraspoređen	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Novčana	novčan	Agpnpny
sredstva	sredstvo	Ncnpn
koja	koji	Pi-npn
nisu	biti	Var3p
u	u	Sl
cijelosti	cijelost	Ncfsl
utrošena	utrošiti	Appfsny
u	u	Sl
pojedinom	pojedini	Agpmsly
sudskom	sudski	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
a	a	Cc
čiji	čiji	Pi-msn
bi	biti	Vaa3s
povrat	povrat	Ncmsn
iziskivao	iziskivati	Vmp-sm
veće	velik	Agpmpay
troškove	trošak	Ncmpa
od	od	Sg
iznosa	iznos	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
treba	trebati	Vmr3s
vratiti	vratiti	Vmn
uplatitelju	uplatitelj	Ncmsd
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
naloga	nalog	Ncmsg
suca	sudac	Ncmsg
odnosno	odnosno	Rgp
sudskog	sudski	Agpmsgy
savjetnika	savjetnik	Ncmsg
uplatit	uplatiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sa
korist	korist	Ncfsa
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
prije	prije	Sg
arhiviranja	arhiviranje	Ncnsg
spisa	spis	Ncmsg
predmeta	predmet	Ncmsg
na	na	Sa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
svaki	svaki	Pi-msan
sudski	sudski	Agpmsayn
predmet	predmet	Ncmsan
sud	sud	Ncmsn
u	u	Sl
elektronskom	elektronski	Agpmsly
obliku	oblik	Ncmsl
vodi	voditi	Vmr3s
knjigovodstvenu	knjigovodstven	Agpfsay
karticu	kartica	Ncfsa
,	,	Z
u	u	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
evidentiraju	evidentirati	Vmr3p
sve	sav	Agpfpny
