sadržavati	sadržavati	Vmn
odredbe	odredba	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

Stavkom	stavak	Ncmsi
5.	5.	Mdo
navedenog	naveden	Agpmsgy
članka	članak	Ncmsg
Zakona	zakon	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
pretplatnik	pretplatnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
raskid	raskid	Ncmsan
pretplatničkog	pretplatnički	Agpmsgy
ugovora	ugovor	Ncmsg
u	u	Sl
bilo	bilo	Qo
kojem	koji	Pi-msl
trenutku	trenutak	Ncmsl
.	.	Z

Pretplatničkim	pretplatnički	Agpmsiy
ugovorom	ugovor	Ncmsi
može	moći	Vmr3s
se	sebe	Px--sa
utvrditi	utvrditi	Vmn
da	da	Cs
pretplatnik	pretplatnik	Ncmsn
,	,	Z
koji	koji	Pi-msn
raskine	raskinuti	Vmr3s
ugovor	ugovor	Ncmsan
prije	prije	Sg
isteka	istek	Ncmsg
razdoblja	razdoblje	Ncnsg
obveznog	obvezan	Agpnsgy
trajanja	trajanje	Ncnsg
ugovora	ugovor	Ncmsg
,	,	Z
mora	morati	Vmr3s
platiti	platiti	Vmn
mjesečnu	mjesečan	Agpfsay
naknadu	naknada	Ncfsa
za	za	Sa
ostatak	ostatak	Ncmsan
razdoblja	razdoblje	Ncnsg
obveznog	obvezan	Agpnsgy
trajanja	trajanje	Ncnsg
ugovora	ugovor	Ncmsg
,	,	Z
ili	ili	Cc
naknadu	naknada	Ncfsa
u	u	Sl
visini	visina	Ncfsl
popusta	popust	Ncmsg
na	na	Sa
proizvode	proizvod	Ncmpa
i	i	Cc
usluge	usluga	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
ostvario	ostvariti	Vmp-sm
ako	ako	Cs
je	biti	Var3s
plaćanje	plaćanje	Ncnsn
te	taj	Pd-fsg
naknade	naknada	Ncfsg
povoljnije	povoljno	Rgc
za	za	Sa
pretplatnika	pretplatnik	Ncmsay
,	,	Z
osim	osim	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
42.	42.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Stavkom	stavak	Ncmsi
6.	6.	Mdo
navedenog	naveden	Agpmsgy
članka	članak	Ncmsg
Zakona	zakon	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
u	u	Sl
slučaju	slučaj	Ncmsl
kada	kada	Cs
operator	operator	Ncmsn
javnih	javan	Agpfpgy
komunikacijskih	komunikacijski	Agpfpgy
usluga	usluga	Ncfpg
nije	biti	Var3s
u	u	Sl
mogućnosti	mogućnost	Ncfsl
ispuniti	ispuniti	Vmn
ugovornu	ugovoran	Agpfsay
obvezu	obveza	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
općim	opći	Agpmpiy
uvjetima	uvjet	Ncmpi
poslovanja	poslovanje	Ncnsg
,	,	Z
pretplatnik	pretplatnik	Ncmsn
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
raskid	raskid	Ncmsan
pretplatničkog	pretplatnički	Agpmsgy
