te	te	Cc
se	sebe	Px--sa
sigurnosni	sigurnosni	Agpmpny
rizici	rizik	Ncmpn
mogu	moći	Vmr3p
isključiti	isključiti	Vmn
.	.	Z

Iznimno	izniman	Agpnsny
,	,	Z
izloženost	izloženost	Ncfsn
može	moći	Vmr3s
prekoračiti	prekoračiti	Vmn
:	:	Z

a	a	Cc
)	)	Z
niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
za	za	Sa
električna	električan	Agpnpay
polja	polje	Ncnpa
navedena	naveden	Agpfsny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z

Tablici	tablica	Ncfsl
B1	ba	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
opravdano	opravdati	Appnsny
praksom	praksa	Ncfsi
ili	ili	Cc
procesom	proces	Ncmsi
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
nisu	biti	Var3p
prekoračene	prekoračiti	Appfpny
granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z

Tablica	tablica	Ncfsn
A3	A3	Xf
;	;	Z
ili	ili	Cc

1.	1.	Mdo
nisu	biti	Var3p
prekoračene	prekoračiti	Appfpny
granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z
,	,	Z
tablici	tablica	Ncfsl
A2	A2	Xf
;	;	Z

2.	2.	Mdo
spriječeno	spriječiti	Appnsny
je	biti	Var3s
prekomjerno	prekomjeran	Agpnsny
pražnjenje	pražnjenje	Ncnsn
iskrom	iskra	Ncfsi
i	i	Cc
dodirne	dodirni	Agpfsgy
struje	struja	Ncfsg
navedeno	navesti	Appnsny
u	u	Sl
Prilogu	Prilog	Npmsl
II	ii	Ncfsl
,	,	Z
tablici	tablica	Ncfsl
B3	i	Agpfsiy
primjenom	primjena	Ncfsi
zaštitnih	zaštitni	Agpfpgy
mjera	mjera	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc

3.	3.	Mdo
radnici	radnik	Ncmpn
su	biti	Var3p
obaviješteni	obavijestiti	Appmpny
o	o	Sl
situacijama	situacija	Ncfpl
iz	iz	Sg
točke	točka	Ncfsg
(	(	Z
f	f	X
)	)	Z
članka	članak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

b	b	Qr
)	)	Z
niske	nizak	Agpfsgy
vrijednosti	vrijednost	Ncfsg
upozorenja	upozorenje	Ncnsg
za	za	Sa
magnetska	magnetski	Agpnpay
polja	polje	Ncnpa
navedena	navesti	Appfsny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z

Tablici	tablica	Ncfsl
B2	ba	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
opravdano	opravdati	Appnsny
praksom	praksa	Ncfsi
ili	ili	Cc
procesom	proces	Ncmsi
,	,	Z
uključujući	uključivati	Rr
u	u	Sl
glavi	glava	Ncfsl
i	i	Cc
trupu	trup	Ncmsl
,	,	Z
tijekom	tijekom	Sg
smjene	smjena	Ncfsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
nisu	biti	Var3p
prekoračene	prekoračiti	Appfpny
granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z

Tablici	tablica	Ncfsl
A3	A3	Xf
;	;	Z
ili	ili	Cc

1.	1.	Mdo
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
prekoračene	prekoračiti	Appfpny
su	biti	Var3p
samo	samo	Rgp
privremeno	privremeno	Rgp
;	;	Z

2.	2.	Mdo
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z

Tablici	tablica	Ncfsl
A2	ti	Appmpny
nisu	biti	Var3p
prekoračene	prekoračiti	Appfpny
;	;	Z

3.	3.	Mdo
poduzete	poduzet	Agpfpny
su	biti	Var3p
mjere	mjera	Ncfpn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
6.	6.	Mdo
stavku	stavak	Ncmsl
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ako	ako	Cs
postoje	postojati	Vmr3p
kratkotrajni	kratkotrajan	Agpmpny
simptomi	simptom	Ncmpn
iz	iz	Sg
točke	točka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
stavka	stavka	Ncfsn
9.	9.	Mdo
toga	toga	Ncfsn
članka	članak	Ncmsg
;	;	Z
i	i	Cc

4.	4.	Mdo
radnici	radnik	Ncmpn
su	biti	Var3p
obaviješteni	obavijestiti	Appmpny
o	o	Sl
situacijama	situacija	Ncfpl
iz	iz	Sg
točke	točka	Ncfsg
(	(	Z
f	f	X
)	)	Z
članka	članak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Neovisno	neovisan	Agpnsny
o	o	Sl
stavcima	stavak	Ncmpl
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
izloženost	izloženost	Ncfsn
može	moći	Vmr3s
prekoračiti	prekoračiti	Vmn
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z
,	,	Z
tablici	tablica	Ncfsl
A1	A1	Y
tijekom	tijekom	Sg
smjene	smjena	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
opravdano	opravdati	Appnsny
praksom	praksa	Ncfsi
ili	ili	Cc
procesom	proces	Ncmsi
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
:	:	Z

1.	1.	Mdo
vrijednosti	vrijednost	Ncfsg
su	biti	Var3p
prekoračene	prekoračiti	Appfpny
samo	samo	Rgp
privremeno	privremen	Agpnsay
;	;	Z

2.	2.	Mdo
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
navedene	navesti	Appfpny
u	u	Sl
Prilogu	prilog	Ncmsl
II	ii	Mrc
.	.	Z
tablici	tablica	Ncfsl
A1	A1	Ncfpn
nisu	biti	Var3p
prekoračene	prekoračiti	Appfpny
;	;	Z

3.	3.	Mdo
poduzete	poduzeti	Appfpny
su	biti	Var3p
posebne	poseban	Agpfpny
mjere	mjera	Ncfpn
zaštite	zaštita	Ncfsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
6.	6.	Mdo
stavku	stavak	Ncmsl
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

4.	4.	Mdo
poduzete	poduzet	Agpfpny
su	biti	Var3p
mjere	mjera	Ncfpn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
6.	6.	Mdo
stavku	stavak	Ncmsl
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ako	ako	Cs
postoje	postojati	Vmr3p
kratkotrajni	kratkotrajan	Agpmpny
simptomi	simptom	Ncmpn
iz	iz	Sg
točke	točka	Ncfsg
(	(	Z
b	b	Npmsn
)	)	Z
tog	taj	Pd-msg
stavka	stavak	Ncmsg
;	;	Z
i	i	Cc

5.	5.	Mdo
radnici	radnik	Ncmpn
su	biti	Var3p
obaviješteni	obavijestiti	Appmpny
o	o	Sl
situacijama	situacija	Ncfpl
iz	iz	Sg
točke	točka	Ncfsg
(	(	Z
f	f	X
)	)	Z
članka	članak	Ncmsg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

(	(	Z
b	b	X
)	)	Z
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
osjetila	osjetilo	Ncnpa
(	(	Z
Prilog	prilog	Ncmsan
II	ii	Mro
.	.	Z
,	,	Z
tablica	tablica	Ncfpg
A3	A3	Pi-fpn
i	i	Cc
Prilog	prilog	Ncmsn
III	III	Mro
.	.	Z
,	,	Z
tablica	tablica	Ncfsn
A2	A2	Xf
)	)	Z
tijekom	tijekom	Sg
smjene	smjena	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
opravdano	opravdati	Appnsny
praksom	praksa	Ncfsi
ili	ili	Cc
procesom	proces	Ncmsi
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
:	:	Z

1.	1.	Mdo
vrijednosti	vrijednost	Ncfsg
su	biti	Var3p
prekoračene	prekoračiti	Appfpny
samo	samo	Rgp
privremeno	privremen	Agpnsay
;	;	Z

2.	2.	Mdo
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
(	(	Z
Prilog	prilog	Ncmsn
II	ii	Mro
.	.	Z
tablica	tablica	Ncfsn
A2	A2	Xf
i	i	Cc
Prilog	prilog	Ncmsn
III	III	Mro
.	.	Z
,	,	Z
tablice	tablica	Ncfpn
A1	A1	Xf
i	i	Cc
A3	aa	Ncfpn
)	)	Z
nisu	biti	Var3p
prekoračene	prekoračiti	Appfpny
;	;	Z

3.	3.	Mdo
poduzete	poduzet	Agpfpny
su	biti	Var3p
mjere	mjera	Ncfpn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
6.	6.	Mdo
stavku	stavak	Ncmsl
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ako	ako	Cs
postoje	postojati	Vmr3p
kratkotrajni	kratkotrajan	Agpmpny
simptomi	simptom	Ncmpn
iz	iz	Sg
točke	točka	Ncfsg
(	(	Z
a	a	Cc
)	)	Z
tog	taj	Pd-msg
stavka	stavak	Ncmsg
;	;	Z
i	i	Cc

4.	4.	Mdo
radnici	radnik	Ncmpn
su	biti	Var3p
obaviješteni	obavijestiti	Appmpny
o	o	Sl
okolnostima	okolnost	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
točke	točka	Ncfsg
(	(	Z
f	f	X
)	)	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

POGLAVLJE	poglavlje	Ncnsn
2.	2.	Mdo
