vodeći	vodeći	Agpmsny
računa	račun	Ncmpg
o	o	Sl
njihovoj	njihov	Agpfsly
tajnosti	tajnost	Ncfsl
.	.	Z

Svaki	svaki	Pi-msn
od	od	Sg
radnika	radnik	Ncmpg
na	na	Sa
vlastiti	vlastit	Agpmsayn
zahtjev	zahtjev	Ncmsan
ima	imati	Vmr3s
pravo	pravo	Ncnsa
pristupa	pristup	Ncmsg
svojoj	svoj	Px-fsl
osobnoj	osoban	Agpfsly
zdravstvenoj	zdravstven	Agpfsly
dokumentaciji	dokumentacija	Ncfsl
.	.	Z

Ako	ako	Cs
radnik	radnik	Ncmsn
prijavi	prijaviti	Vmr3s
bilo	bilo	Qo
koji	koji	Pi-msan
neželjeni	neželjen	Agpmsayn
ili	ili	Cc
neočekivani	neočekivan	Agpmsayn
učinak	učinak	Ncmsan
ili	ili	Cc
,	,	Z
u	u	Sl
svakom	svaki	Pi-msl
slučaju	slučaj	Ncmsl
kada	kada	Rgp
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
izloženost	izloženost	Ncfsn
iznad	iznad	Sg
graničnih	graničan	Agpfpgy
vrijednosti	vrijednost	Ncfpg
izloženosti	izloženost	Ncfsg
,	,	Z
poslodavac	poslodavac	Ncmsn
tom	taj	Pd-msl
radniku	radnik	Ncmsl
mora	morati	Vmr3s
osigurati	osigurati	Vmn
odgovarajući	odgovarajući	Agpmsayn
liječnički	liječnički	Agpmsayn
pregled	pregled	Ncmsan
ili	ili	Cc
individualni	individualan	Agpmsayn
zdravstveni	zdravstven	Agpmsayn
nadzor	nadzor	Ncmsan
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
i	i	Cc
dobroj	dobar	Agpfsly
praksi	praksa	Ncfsl
.	.	Z

Pregledi	pregled	Ncmpn
ili	ili	Cc
nadzor	nadzor	Ncmsan
iz	iz	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
osiguravaju	osiguravati	Vmr3p
se	sebe	Px--sa
u	u	Sa
vrijeme	vrijeme	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
odabrao	odabrati	Vmp-sm
radnik	radnik	Ncmsn
i	i	Cc
koji	koji	Pi-msan
za	za	Sa
pregled	pregled	Ncmsan
ili	ili	Cc
nadzorne	nadzorni	Agpfsgy
snosi	snositi	Vmr3s
nikakve	nikakav	Pi-mpa
troškove	trošak	Ncmpa
.	.	Z

Odstupanje	odstupanje	Ncnsn

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
članka	članak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
ali	ali	Cc
uz	uz	Sa
primjenu	primjena	Ncfsa
članka	članak	Ncmsg
6.	6.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
sljedeće	sljedeći	Agpfsgy
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
izloženost	izloženost	Ncfsn
može	moći	Vmr3s
prekoračiti	prekoračiti	Vmn
granične	graničan	Agpfpay
vrijednosti	vrijednost	Ncfpa
izloženosti	izloženost	Ncfsg
ako	ako	Cs
je	biti	Var3s
povezana	povezati	Appfsny
s	sa	Si
postavljanjem	postavljanje	Ncnsi
,	,	Z
uporabom	uporaba	Ncfsi
,	,	Z
razvojem	razvoj	Ncmsi
ili	ili	Cc
istraživanjima	istraživanje	Ncnpl
opreme	oprema	Ncfsg
za	za	Sa
snimanje	snimanje	Ncnsa
uporabom	uporaba	Ncfsi
magnetske	magnetski	Agpfsgy
rezonance	rezonanca	Ncfsg
(	(	Z
MRI	MRI	Npmsn
)	)	Z
za	za	Sa
pacijente	pacijent	Ncmpa
u	u	Sl
zdravstvenom	zdravstven	Agpmsly
sektoru	sektor	Ncmsl
,	,	Z
pod	pod	Si
uvjetima	uvjet	Ncmpi
da	da	Cs
su	biti	Var3p
ispunjeni	ispuniti	Appmpny
sljedeći	sljedeći	Agpmpny
uvjeti	uvjet	Ncmpn
:	:	Z

1.	1.	Mdo
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
provedena	provesti	Appfsny
sukladno	sukladno	Rgp
članku	članak	Ncmsd
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dokazala	dokazati	Vmp-sf
je	biti	Var3s
da	da	Cs
su	biti	Var3p
granične	graničan	Agpfpny
vrijednosti	vrijednost	Ncfpn
izloženosti	izloženost	Ncfsg
prekoračene	prekoračiti	Appfpny
;	;	Z

2.	2.	Mdo
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
razvoj	razvoj	Ncmsan
tehnologije	tehnologija	Ncfsg
,	,	Z
primijenjene	primijeniti	Appfpny
su	biti	Var3p
sve	sav	Agpfpny
tehničke	tehnički	Agpfpny
i	i	Cc
/	/	Z
ili	ili	Cc
organizacijske	organizacijski	Agpfsgy
mjere	mjera	Ncfsg
;	;	Z

3.	3.	Mdo
okolnosti	okolnost	Ncfsg
u	u	Sl
potpunosti	potpunost	Ncfsl
opravdavaju	opravdavati	Vmr3p
prekoračene	prekoračiti	Appfsgy
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
;	;	Z

4.	4.	Mdo
u	u	Sa
obzir	obzir	Ncmsan
su	biti	Var3p
uzeta	uzeti	Appnpny
obilježja	obilježje	Ncnpn
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
,	,	Z
radne	radni	Agpfsgy
opreme	oprema	Ncfsg
ili	ili	Cc
radne	radni	Agpfsgy
prakse	praksa	Ncfsg
;	;	Z
i	i	Cc

5.	5.	Mdo
poslodavac	poslodavac	Ncmsn
dokazuje	dokazivati	Vmr3s
da	da	Cs
su	biti	Var3p
radnici	radnik	Ncmpn
još	još	Rgp
uvijek	uvijek	Rgp
zaštićeni	zaštititi	Appmpny
od	od	Sg
štetnih	štetan	Agpmpgy
učinaka	učinak	Ncmpg
na	na	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnosnih	sigurnosni	Agpmpgy
rizika	rizik	Ncmpg
,	,	Z
jer	jer	Cs
je	biti	Var3s
osigurano	osigurati	Agpnsny
poštivanje	poštivanje	Ncnsn
uputa	uputa	Ncfpg
za	za	Sa
sigurnu	siguran	Agpfsay
uporabu	uporaba	Ncfsa
koje	koji	Pi-fpn
osiguravaju	osiguravati	Vmr3p
proizvođači	proizvođač	Ncmpn
sukladno	sukladno	Rgp
posebnim	poseban	Agpmpdy
propisima	propis	Ncmpd
kojima	koji	Pi-mpi
su	biti	Var3p
uređeni	urediti	Appmpny
medicinski	medicinski	Agpmpny
proizvodi	proizvod	Ncmpn
;	;	Z

(	(	Z
b	b	X
)	)	Z
na	na	Sa
osoblje	osoblje	Ncnsa
koje	koji	Pi-nsn
radi	raditi	Vmr3s
u	u	Sl
operativnim	operativan	Agpmply
vojnim	vojni	Agpmply
objektima	objekt	Ncmpl
ili	ili	Cc
je	biti	Var3s
uključeno	uključiti	Appnsny
u	u	Sa
vojne	vojni	Agpfpay
aktivnosti	aktivnost	Ncfpa
,	,	Z
uključujući	uključivati	Rr
zajedničke	zajednički	Agpfpay
međunarodne	međunarodni	Agpfpay
vojne	vojni	Agpfpny
vježbe	vježba	Ncfpn
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
posebni	poseban	Agpmpny
propisi	propis	Ncmpn
kojima	koji	Pi-mpd
je	biti	Var3s
uređeno	uređen	Agpnsny
područje	područje	Ncnsn
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
i	i	Cc
posebni	poseban	Agpmpny
propisi	propis	Ncmpn
kojima	koji	Pi-mpi
su	biti	Var3p
uređeni	urediti	Appmpny
poslovi	posao	Ncmpn
