II	ii	Mrc
.	.	Z
izreke	izreka	Ncfpn
rješenja	rješenje	Ncnsg
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
članku	članak	Ncmsl
29.	29.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

B	b	I
)	)	Z
PONOVNA	ponovan	Agpfsny
POVREDA	povreda	Ncfsn
ČLANKA	članak	Ncmsg
8.	8.	Mdo
KONVENCIJE	konvencija	Ncfsg

16.	16.	Mdo

U	u	Sl
dosadašnjem	dosadašnji	Agpmsly
tijeku	tijek	Ncmsl
ustavnosudskog	ustavnosudski	Agpmsgy
postupka	postupak	Ncmsg
utvrđeno	utvrditi	Appnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
tražio	tražiti	Vmp-sm
obnovu	obnova	Ncfsa
pravomoćno	pravomoćno	Rgp
okončanog	okončati	Appmsgy
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
presude	presuda	Ncfsg
Dragojević	Dragojević	Npfsg
protiv	protiv	Sg
Hrvatske	Hrvatska	Npfsg
(	(	Z
2015.	2015.	Mdo
)	)	Z
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
utvrđena	utvrditi	Appfsny
povreda	povreda	Ncfsn
članka	članak	Ncmsg
8.	8.	Mdo
Konvencije	konvencija	Ncfsg
.	.	Z

Zbog	zbog	Sg
toga	taj	Pd-nsg
se	sebe	Px--sa
po	po	Sl
naravi	narav	Ncfsl
stvari	stvar	Ncfsg
i	i	Cc
sukladno	sukladno	Rgp
praksi	praksa	Ncfsd
ESLJP-a	ESLJP	Npmsg
navedenoj	navesti	Appfsly
u	u	Sl
poglavlju	poglavlje	Ncnsl
V.	V.	Mro
obrazloženja	obrazloženje	Ncnsg
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
,	,	Z
u	u	Sl
ovom	ovaj	Pd-msl
ustavnosudskom	ustavnosudski	Agpmsly
postupku	postupak	Ncmsl
postavlja	postavljati	Vmr3s
i	i	Cc
pitanje	pitanje	Ncnsa
je	biti	Var3s
li	li	Qq
podnositelju	podnositelj	Ncmsd
odbijanjem	odbijanje	Ncnsi
zahtjeva	zahtjev	Ncmpg
za	za	Sa
obnovu	obnova	Ncfsa
postupka	postupak	Ncmsg
ponovno	ponovno	Rgp
povrijeđeno	povrijeđen	Agpnsny
pravo	pravo	Ncnsn
zajamčeno	zajamčiti	Appnsny
člankom	članak	Ncmsi
8.	8.	Mdo
Konvencije	konvencija	Ncfsg
,	,	Z
koji	koji	Pi-msn
u	u	Sl
mjerodavnom	mjerodavan	Agpmsly
dijelu	dio	Ncmsl
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Članak	članak	Ncmsn
8.	8.	Mdo

1.	1.	Mdo
Svatko	svatko	Pi3m-n
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
poštovanje	poštovanje	Ncnsa
svoga	svoj	Px-msg
privatnog	privatan	Agpmsgy
i	i	Cc
obiteljskog	obiteljski	Agpmsgy
života	život	Ncmsg
...	...	Z
i	i	Cc
dopisivanja	dopisivanje	Ncnsg
.	.	Z

2.	2.	Mdo
Javna	javan	Agpfsny
vlast	vlast	Ncfsn
se	sebe	Px--sa
neće	htjeti	Var3s
miješati	miješati	Vmn
u	u	Sa
ostvarivanje	ostvarivanje	Ncnsa
tog	taj	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
osim	osim	Cs
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zakonom	zakon	Ncmsi
i	i	Cc
ako	ako	Cs
je	biti	Var3s
u	u	Sl
demokratskom	demokratski	Agpnsly
društvu	društvo	Ncnsl
nužno	nužno	Rgp
radi	radi	Sg
interesa	interes	Ncmsg
državne	državni	Agpfsgy
sigurnosti	sigurnost	Ncfsg
,	,	Z
javnog	javan	Agpmsgy
reda	red	Ncmsg
i	i	Cc
mira	mir	Ncmsg
,	,	Z
...	...	Z
te	te	Cc
radi	radi	Sg
sprječavanja	sprječavanje	Ncnsg
nereda	nered	Ncmpg
ili	ili	Cc
zločina	zločin	Ncmsg
,	,	Z
radi	radi	Sg
zaštite	zaštita	Ncfsg
zdravlja	zdravlje	Ncnsg
ili	ili	Cc
morala	moral	Ncmsg
ili	ili	Cc
radi	radi	Sg
zaštite	zaštita	Ncfsg
prava	prav	Agpfsny
i	i	Cc
sloboda	sloboda	Ncfsn
drugih	drugi	Mlompg
.	.	Z
«	«	Z

Ukoliko	ukoliko	Cs
bi	biti	Vaa3s
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrdio	utvrditi	Vmp-sm
da	da	Cs
je	biti	Var3s
odbijanje	odbijanje	Ncnsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
obnovu	obnova	Ncfsa
postupka	postupak	Ncmsg
bilo	biti	Vap-sn
arbitrarno	arbitrarno	Rgp
ili	ili	Cc
previše	previše	Rgp
formalističko	formalistički	Agpnsny
,	,	Z
morao	morati	Vmp-sm
bi	biti	Vaa3s
usvojiti	usvojiti	Vmn
ustavnu	ustavan	Agpfsay
tužbu	tužba	Ncfsa
i	i	Cc
naložiti	naložiti	Vmn
provedbu	provedba	Ncfsa
novog	nov	Agpmsgy
postupka	postupak	Ncmsg
radi	radi	Sg
izvršenja	izvršenje	Ncnsg
presude	presuda	Ncfsg
ESLJP-a	ESLJP	Npmsg
.	.	Z

To	taj	Pd-nsn
bi	biti	Vaa3s
značilo	značiti	Vmp-sn
da	da	Cs
povreda	povreda	Ncfsn
nekog	neki	Pi-msg
materijalnog	materijalan	Agpnsgy
konvencijskog	konvencijski	Agpnsgy
prava	pravo	Ncnsg
koju	koji	Pi-fsa
je	biti	Var3s
prethodno	prethodno	Rgp
utvrdio	utvrditi	Vmp-sm
ESLJP	ESLJP	Npmsn
i	i	Cc
dalje	daleko	Rgc
postoji	postojati	Vmr3s
jer	jer	Cs
nadležni	nadležan	Agpmsny
sud	sud	Ncmsn
nije	biti	Var3s
ispunio	ispuniti	Vmp-sm
svoju	svoj	Px-fsa
pozitivnu	pozitivan	Agpfsay
obvezu	obveza	Ncfsa
u	u	Sl
izvršenju	izvršenje	Ncnsl
presuda	presuda	Ncfpg
ESLJP-a	ESLJP	Npmsg
,	,	Z
to	taj	Pd-nsn
jest	biti	Var3s
nije	biti	Var3s
podnositelju	podnositelj	Ncmsd
osigurao	osigurati	Vmp-sm
obnovu	obnova	Ncfsa
/	/	Z
ponavljanje	ponavljanje	Ncnsa
postupka	postupak	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
bi	biti	Vaa3s
se	sebe	Px--sa
utvrđena	utvrditi	Appfsny
povreda	povreda	Ncfsn
materijalnog	materijalan	Agpnsgy
prava	pravo	Ncnsg
mogla	moći	Vmp-sf
ispraviti	ispraviti	Vmn
.	.	Z

17.	17.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
je	biti	Var3s
ovaj	ovaj	Pd-msn
predmet	predmet	Ncmsn
povezan	povezan	Agpmsnn
s	sa	Si
postupkom	postupak	Ncmsi
izvršenja	izvršenje	Ncnsg
presuda	presuda	Ncfpg
ESLJP-a	ESLJP-a	Npfsg
Dragojević	Dragojević	Npfsg
protiv	protiv	Sg
Hrvatske	Hrvatska	Npfsg
(	(	Z
2015.	2015.	Mdo
)	)	Z
.	.	Z

Za	za	Sa
razliku	razlika	Ncfsa
od	od	Sg
predmeta	predmet	Ncmsg
broj	broj	Ncmsn
:	:	Z
U-III-334	U-III-334	Mds
/	/	Z
2013	2013	Mdc
u	u	Sa
kome	koma	Ncfpa
se	sebe	Px--sa
pitanje	pitanje	Ncnsn
oko	oko	Sg
kojega	koji	Ncmsg
je	biti	Var3s
nastao	nastati	Vmp-sm
spor	spor	Ncmsan
iscrpljivalo	iscrpljivati	Vmp-sn
isključivo	isključivo	Rgp
u	u	Sl
načinu	način	Ncmsl
na	na	Sa
koji	koji	Pi-msan
su	biti	Var3p
nadležni	nadležan	Agpmpny
domaći	domaći	Agpmpny
sudovi	sud	Ncmpn
protumačili	protumačiti	Vmp-pm
i	i	Cc
primijenili	primijeniti	Vmp-pm
domaće	domaći	Agpnsay
pravo	pravo	Ncnsa
vezano	vezan	Agpnsay
uz	uz	Sa
rok	rok	Ncmsan
za	za	Sa
podnošenje	podnošenje	Ncnsa
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izmjenu	izmjena	Ncfsa
kaznene	kazneni	Agpfsgy
presude	presuda	Ncfsg
,	,	Z
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
riječ	riječ	Ncfsn
o	o	Sl
slučaju	slučaj	Ncmsl
u	u	Sl
kome	koma	Ncfsl
su	biti	Var3p
sudovi	sud	Ncmpn
meritorno	meritorno	Rgp
razmotrili	razmotriti	Vmp-pm
zahtjev	zahtjev	Ncmsan
podnositelja	podnositelj	Ncmpg
za	za	Sa
izmjenu	izmjena	Ncfsa
kaznene	kazneni	Agpfsgy
presude	presuda	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
presude	presuda	Ncfsg
ESLJP-a	ESLJP	Npmsg
,	,	Z
te	te	Cc
taj	taj	Pd-msan
zahtjev	zahtjev	Ncmsan
odbili	odbiti	Vmp-pm
.	.	Z

18.	18.	Mdo

Prvostupanjski	prvostupanjski	Agpmsny
je	biti	Var3s
sud	sud	Ncmsn
,	,	Z
obrazlažući	obrazlagati	Rr
svoje	svoj	Px-nsa
utvrđenje	utvrđenje	Ncnsa
o	o	Sl
neosnovanosti	neosnovanost	Ncfsl
podnesenog	podnesen	Agpmsgy
zahtjeva	zahtjev	Ncmsg
,	,	Z
utvrdio	utvrditi	Vmp-sm
da	da	Cs
se	sebe	Px--sa
pravomoćna	pravomoćan	Agpfsny
presuda	presuda	Ncfsn
kojom	koji	Pi-fsi
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
proglašen	proglasiti	Appmsnn
krivim	kriv	Agpmsiy
zbog	zbog	Sg
počinjenja	počinjenje	Ncnsg
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
iz	iz	Sg
članka	članak	Ncmsg
173.	173.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
i	i	Cc
članka	članak	Ncmsg
279.	279.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
KZ-a	KZ	Npmsg
,	,	Z
ne	ne	Qz
temelji	temeljiti	Vmr3s
samo	samo	Rgp
na	na	Sl
dokazima	dokaz	Ncmpl
koji	koji	Pi-mpn
su	biti	Var3p
pribavljeni	pribaviti	Appmpny
uporabom	uporaba	Ncfsi
tajnih	tajan	Agpmpgy
prislušnih	prislušni	Agpmpgy
uređaja	uređaj	Ncmpg
,	,	Z
već	već	Rgp
i	i	Qo
na	na	Sl
iskazima	iskaz	Ncmpl
svjedoka	svjedok	Ncmpg
i	i	Cc
drugih	drugi	Mlompg
suoptuženika	suoptuženik	Ncmpg
te	te	Cc
činjenicama	činjenica	Ncfpi
proizašlim	proizašao	Agpfpiy
iz	iz	Sg
pregledanih	pregledan	Agpfpgy
isprava	isprava	Ncfpg
.	.	Z

18.1.	18.1.	Mdo

Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
,	,	Z
osim	osim	Sg
toga	taj	Pd-nsg
,	,	Z
utvrdio	utvrditi	Vmp-sm
da	da	Cs
presuda	presuda	Ncfsn
ESLJP-a	ESLJP	Npmsg
u	u	Sl
predmetu	predmet	Ncmsl
Dragojević	Dragojević	Npfsg
protiv	protiv	Sg
Hrvatske	Hrvatska	Npfsg
predstavlja	predstavljati	Vmr3s
novi	nov	Agpmsayn
dokaz	dokaz	Ncmsan
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
501.	501.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ZKP-a	zkp-	Ncmsg
/	/	Z
08	08	Mdc
,	,	Z
no	no	Cc
taj	taj	Pd-msn
novi	nov	Agpmsny
dokaz	dokaz	Ncmsn
nije	biti	Var3s
prikladan	prikladan	Agpmsnn
da	da	Cs
dovede	dovesti	Vmr3s
do	do	Sg
obnove	obnova	Ncfsg
kaznenog	kazneni	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

Naime	naime	Qo
,	,	Z
u	u	Sl
tom	taj	Pd-msl
predmetu	predmet	Ncmsl
je	biti	Var3s
»	»	Z
utvrđeno	utvrditi	Appnsny
da	da	Cs
je	biti	Var3s
u	u	Sl
postupku	postupak	Ncmsl
čija	čiji	Pi-fsn
se	sebe	Px--sa
obnova	obnova	Ncfsn
sada	sada	Rgp
traži	tražiti	Vmr3s
došlo	doći	Vmp-sn
do	do	Sg
povrede	povreda	Ncfsg
članka	članak	Ncmsg
8.	8.	Mdo
Konvencije	konvencija	Ncfsg
,	,	Z
jer	jer	Cs
,	,	Z
kako	kako	Cs
se	sebe	Px--sa
to	taj	Pd-nsn
navodi	navoditi	Vmr3s
u	u	Sl
presudi	presuda	Ncfsl
Europskog	europski	Agpmsgy
suda	sud	Ncmsg
za	za	Sa
ljudska	ljudski	Agpnpay
prava	pravo	Ncnpa
,	,	Z
postupak	postupak	Ncmsn
za	za	Sa
nalaganje	nalaganje	Ncnsa
i	i	Cc
nadziranje	nadziranje	Ncnsa
provođenja	provođenje	Ncnsg
mjera	mjera	Ncfpg
prisluškivanja	prisluškivanje	Ncnsg
osuđenikovog	osuđenikov	Aspmsgy
telefona	telefon	Ncmsg
nije	biti	Var3s
bio	biti	Vap-sm
u	u	Sl
potpunosti	potpunost	Ncfsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
pretpostavkama	pretpostavka	Ncfpl
zakonitosti	zakonitost	Ncfsg
niti	niti	Cc
je	biti	Var3s
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
ograničio	ograničiti	Vmp-sm
miješanje	miješanje	Ncnsa
u	u	Sa
pravo	pravo	Ncnsa
podnositelja	podnositelj	Ncmpg
na	na	Sa
poštivanje	poštivanje	Ncnsa
njegovog	njegov	Ps3msg
privatnog	privatan	Agpmsgy
života	život	Ncmsg
i	i	Cc
dopisivanja	dopisivanje	Ncnsg
na	na	Sa
ono	on	Pp3nsa
