60	60	Mdc
01.07.2016	01.07.2016	Mdo
Odluka	odluka	Ncfsn
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
broj	broj	Ncmsn
:	:	Z
U-III-412	U-III-412	Mds
/	/	Z
2016.	2016.	Mdo
od	od	Sg
3.	3.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo

USTAVNI	ustavan	Agpmsny
SUD	sud	Ncmsn
REPUBLIKE	republika	Ncfsg
HRVATSKE	hrvatski	Agpfsgy

1525	1525	Mdc

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
u	u	Sl
sastavu	sastav	Ncmsl
Jasna	Jasna	Npfsn
Omejec	Omejec	Npfsn
,	,	Z
predsjednica	predsjednica	Ncfsn
,	,	Z
te	te	Cc
suci	sudac	Ncmpn
Marko	Marko	Npmsn
Babić	Babić	Npmsn
,	,	Z
Snježana	Snježana	Npfsn
Bagić	Bagić	Npfsn
,	,	Z
Slavica	Slavica	Npmsn
Banić	Banić	Npmsn
,	,	Z
Mario	Mario	Npmsn
Jelušić	Jelušić	Npmsn
,	,	Z
Antun	Antun	Npmsn
Palarić	Palarić	Npmsn
,	,	Z
Duška	Duška	Npfsn
Šarin	Šarin	Npfsn
i	i	Cc
Miroslav	Miroslav	Npmsn
Šeparović	Šeparović	Npmsn
,	,	Z
u	u	Sl
postupku	postupak	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
ustavnom	ustavan	Agpfsiy
tužbom	tužba	Ncfsi
pokrenuo	pokrenuti	Vmp-sm
Boris	Boris	Npmsn
Miletić	Miletić	Npmsn
iz	iz	Sg
Pule	Pula	Npfsg
,	,	Z
kojeg	koji	Pi-msay
zastupa	zastupati	Vmr3s
Goran	Goran	Npmsn
Veljović	Veljović	Npmsn
,	,	Z
odvjetnik	odvjetnik	Ncmsn
iz	iz	Sg
Zajedničkog	zajednički	Agpmsgy
odvjetničkog	odvjetnički	Agpmsgy
ureda	ured	Ncmsg
Goran	Goran	Npmsn
Veljović	Veljović	Npmsn
,	,	Z
Siniša	Siniša	Npmsn
Borštner	Borštner	Npmsn
,	,	Z
Denis	Denis	Npmsn
Jelenković	Jelenković	Npmsn
,	,	Z
Merima	Merima	Npfsn
