ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Postupak	postupak	Ncmsn
objave	objava	Ncfsg
poziva	pozivati	Vmr3s
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
uputi	uputiti	Vmr3s
za	za	Sa
objavu	objava	Ncfsa
poziva	poziv	Ncmpg
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
koja	koji	Pi-fsn
se	sebe	Px--sa
objavljuje	objavljivati	Vmr3s
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
za	za	Sa
plaćanja	plaćanje	Ncnpa
prije	prije	Sg
objave	objava	Ncfsg
Natječaja	natječaj	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
u	u	Sl
pozivu	poziv	Ncmsl
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
definira	definirati	Vmr3s
rok	rok	Ncmsan
za	za	Sa
dostavu	dostava	Ncfsa
ponuda	ponuda	Ncfpg
,	,	Z
koji	koji	Pi-msn
iznosi	iznositi	Vmr3s
najmanje	malo	Rgs
14	14	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
poziva	pozivati	Vmr3s
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
izvršiti	izvršiti	Vmn
odabir	odabir	Ncmsn
ponude	ponuda	Ncfsg
sukladno	sukladno	Rgp
kriterijima	kriterij	Ncmpd
odabira	odabir	Ncmsg
ponude	ponuda	Ncfsg
koje	koji	Pi-fpa
je	biti	Var3s
obvezan	obvezan	Agpmsnn
navesti	navesti	Vmn
u	u	Sl
pozivu	poziv	Ncmsl
za	za	Sa
prikupljanje	prikupljanje	Ncnsa
ponuda	ponuda	Ncfpg
