signalizacije	signalizacija	Ncfpn
postavljaju	postavljati	Vmr3p
se	sebe	Px--sa
u	u	Sl
blizini	blizina	Ncfsl
turističke	turistički	Agpfsgy
znamenitosti	znamenitost	Ncfsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
odnose	odnositi	Vmr3p
,	,	Z
na	na	Sl
zadnjem	zadnji	Agpnsly
raskrižju	raskrižje	Ncnsl
javne	javan	Agpfsgy
ceste	cesta	Ncfsg
s	sa	Si
pristupnom	pristupni	Agpfsiy
cestom	cesta	Ncfsi
koja	koji	Pi-fsn
vodi	voditi	Vmr3s
do	do	Sg
naznačenog	naznačen	Agpnsgy
odredišta	odredište	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
kulturne	kulturan	Agpmpay
,	,	Z
prirodne	prirodan	Agpfpay
,	,	Z
povijesne	povijesni	Agpfsgy
i	i	Cc
turističke	turistički	Agpfsgy
znamenitosti	znamenitost	Ncfsg
od	od	Sg
osobitog	osobit	Agpmsgy
značaja	značaj	Ncmsg
,	,	Z
znakovi	znak	Ncmpn
se	sebe	Px--sa
mogu	moći	Vmr3p
postavljati	postavljati	Vmn
od	od	Sg
najbližeg	blizak	Agpnsgy
važnog	važan	Agpnsgy
raskrižja	raskrižje	Ncnsg
na	na	Sl
autocesti	autocesta	Ncfsl
,	,	Z
državnoj	državni	Agpfsly
ili	ili	Cc
županijskoj	županijski	Agpfsly
cesti	cesta	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
»	»	Z
Znak	znak	Ncmsn
turističko-tematska	turističko-tematski	Agpfsny
cesta	cesta	Ncfsn
«	«	Z
(	(	Z
14	14	Mdc
)	)	Z
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
na	na	Sl
početku	početak	Ncmsl
turističko-tematske	turističko-tematski	Agpfsgy
ceste	cesta	Ncfsg
(	(	Z
obalna	obalni	Agpfsny
,	,	Z
panoramska	panoramski	Agpfsny
,	,	Z
planinska	planinski	Agpfsny
,	,	Z
vinska	vinski	Agpfsny
,	,	Z
cesta	cesta	Ncfsn
sira	sir	Ncmsg
i	i	Cc
slično	sličan	Agpnsay
)	)	Z
.	.	Z

Članak	članak	Ncmsn
36.	36.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ispred	ispred	Sg
raskrižja	raskrižje	Ncnsg
od	od	Sg
kojeg	koji	Pi-nsg
se	sebe	Px--sa
odvaja	odvajati	Vmr3s
cesta	cesta	Ncfsn
koja	koji	Pi-fsn
vodi	voditi	Vmr3s
prema	prema	Sl
turističkoj	turistički	Agpfsly
znamenitosti	znamenitost	Ncfsl
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
,	,	Z
u	u	Sl
pravilu	pravilo	Ncnsl
,	,	Z
samo	samo	Rgp
jedna	jedan	Mlcfsn
obavijesna	obavijestan	Agpfsny
ploča	ploča	Ncfsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obavijesna	obavijestan	Agpfsny
ploča	ploča	Ncfsn
za	za	Sa
slučaj	slučaj	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
:	:	Z

1.	1.	Mdo
na	na	Sl
autocestama	autocesta	Ncfpl
250	250	Mdc
m	m	Y
do	do	Sg
1500	1500	Mdc
m	m	Y
prije	prije	Sg
prvog	prvi	Mlomsg
najavnog	najavni	Agpmsgy
znaka	znak	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
čvorište	čvorište	Ncnsa
,	,	Z

2.	2.	Mdo
na	na	Sl
državnim	državni	Agpfply
cestama	cesta	Ncfpl
