djelatnosti	djelatnost	Ncfpa
.	.	Z

Provjera	provjera	Ncfsn
kompetentnosti	kompetentnost	Ncfsg

Članak	članak	Ncmsn
7.	7.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
postupku	postupak	Ncmsl
priznavanja	priznavanje	Ncnsg
inozemne	inozeman	Agpfsgy
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
,	,	Z
neovisno	neovisan	Agpnsny
radi	raditi	Vmr3s
li	li	Cs
se	sebe	Px--sa
o	o	Sl
državljaninu	državljanin	Ncmsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ili	ili	Cc
o	o	Sl
državljaninu	državljanin	Ncmsl
države	država	Ncfsg
članice	članica	Ncfsg
ili	ili	Cc
treće	treći	Mlonsn
zemlje	zemlja	Ncfsg
,	,	Z
ocjenjuju	ocjenjivati	Vmr3p
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
program	program	Ncmsan
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
uvjeti	uvjet	Ncmpn
za	za	Sa
obrazovanje	obrazovanje	Ncnsa
u	u	Sl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsl
ili	ili	Cc
trećoj	treći	Mlofsl
zemlji	zemlja	Ncfsl
gdje	gdje	Cs
je	biti	Var3s
kandidat	kandidat	Ncmsn
stekao	steći	Vmp-sm
inozemnu	inozeman	Agpfsay
stručnu	stručan	Agpfsay
kvalifikaciju	kvalifikacija	Ncfsa

b	b	Npmsn
)	)	Z
trajanje	trajanje	Ncnsn
postupka	postupak	Ncmsg
obrazovanja	obrazovanje	Ncnsg

c	C	Npmsn
)	)	Z
pravo	pravo	Ncnsa
na	na	Sl
temelju	temelj	Ncmsl
kojeg	koji	Pi-msg
se	sebe	Px--sa
izdaje	izdavati	Vmr3s
potvrda	potvrda	Ncfsn
kompetentnosti	kompetentnost	Ncfsg
ili	ili	Cc
dokaz	dokaz	Ncmsn
o	o	Sl
stručnoj	stručan	Agpfsly
kvalifikaciji	kvalifikacija	Ncfsl
u	u	Sl
državi	država	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
ista	isti	Agpfsny
stečena	steći	Appfsny
i	i	Cc

d	d	Qr
)	)	Z
druge	drugi	Mlofpn
okolnosti	okolnost	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
od	od	Sg
važnosti	važnost	Ncfsg
za	za	Sa
postupak	postupak	Ncmsan
priznavanja	priznavanje	Ncnsg
inozemne	inozeman	Agpfsgy
stručne	stručan	Agpfsgy
kvalifikacije	kvalifikacija	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kandidat	kandidat	Ncmsn
,	,	Z
neovisno	neovisan	Agpnsny
je	biti	Var3s
li	li	Qq
