nadležnosti	nadležnost	Ncfpa
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
druge	drugi	Mlofpn
jurisdikcije	jurisdikcija	Ncfsg
te	te	Cc
se	sebe	Px--sa
iz	iz	Sg
tih	taj	Pd-mpg
razloga	razlog	Ncmpg
smatra	smatrati	Vmr3s
financijskom	financijski	Agpfsiy
institucijom	institucija	Ncfsi
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
druge	drugi	Mlofpn
jurisdikcije	jurisdikcija	Ncfsg
ako	ako	Cs
je	biti	Var3s
:	:	Z

1.	1.	Mdo
osnovana	osnovati	Appfsny
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zakonima	zakon	Ncmpi
države	država	Ncfsg
članice	članica	Ncfsg
i	i	Cc
druge	drugi	Mlofpn
jurisdikcije	jurisdikcija	Ncfpn
,	,	Z

2.	2.	Mdo
mjesto	mjesto	Ncnsa
njezine	njezin	Agpfsgy
uprave	uprava	Ncfsg
(	(	Z
uključujući	uključivati	Rr
mjesto	mjesto	Ncnsa
stvarne	stvaran	Agpfsgy
uprave	uprava	Ncfsg
)	)	Z
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
ili	ili	Cc

3.	3.	Mdo
podliježe	podlijegati	Vmr3s
financijskom	financijski	Agpmsdy
nadzoru	nadzor	Ncmsd
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kada	kada	Cs
je	biti	Var3s
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
(	(	Z
osim	osim	Sg
trusta	trust	Ncmsg
)	)	Z
rezident	rezident	Ncmsan
u	u	Sa
dvije	dva	Mlcf-a
i	i	Cc
više	mnogo	Rgc
država	država	Ncfpg
članica	članica	Ncfpg
i	i	Cc
drugih	drugi	Mlofpg
jurisdikcija	jurisdikcija	Ncfpg
,	,	Z
ta	taj	Pd-fsn
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
podlijegat	podlijegati	Vmn
će	htjeti	Var3s
obvezama	obveza	Ncfpi
izvješćivanja	izvješćivanje	Ncnsg
i	i	Cc
dubinske	dubinski	Agpfsgy
analize	analiza	Ncfsg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
ima	imati	Vmr3s
financijski	financijski	Agpmsayn
račun	račun	Ncmsan
/	/	Z
financijske	financijski	Agpmpay
račune	račun	Ncmpa
.	.	Z

8.10.	8.10.	Mdo

Vođenje	vođenje	Ncnsn
računa	račun	Ncmsg

Članak	članak	Ncmsn
93.	93.	Mdo

Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
vodi	voditi	Vmr3s
račun	račun	Ncmsan
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

1.	1.	Mdo
skrbničkog	skrbnički	Agpmsgy
računa	račun	Ncmsg
,	,	Z
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
koja	koji	Pi-fsn
ima	imati	Vmr3s
skrbništvo	skrbništvo	Ncnsa
nad	nad	Si
imovinom	imovina	Ncfsi
na	na	Sl
računu	račun	Ncmsl
(	(	Z
što	što	Pi3n-n
uključuje	uključivati	Vmr3s
financijsku	financijski	Agpfsay
instituciju	institucija	Ncfsa
koja	koji	Pi-fsn
drži	držati	Vmr3s
imovinu	imovina	Ncfsa
pod	pod	Si
svojim	svoj	Agpnsiy
imenom	ime	Ncnsi
,	,	Z
ali	ali	Cc
za	za	Sa
imatelja	imatelj	Ncmsay
računa	račun	Ncmsg
u	u	Sl
takvoj	takav	Pd-fsl
instituciji	institucija	Ncfsl
)	)	Z
,	,	Z

2.	2.	Mdo
depozitnih	depozitni	Agpmpgy
računa	račun	Ncmpg
,	,	Z
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
dužna	dužan	Agpfsny
izvršavati	izvršavati	Vmn
plaćanja	plaćanje	Ncnpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
računom	račun	Ncmsi
(	(	Z
što	što	Pi3n-n
ne	ne	Qz
uključuje	uključivati	Vmr3s
zastupnika	zastupnik	Ncmpg
financijske	financijski	Agpfsgy
institucije	institucija	Ncfsg
neovisno	neovisan	Agpnsny
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
li	li	Qq
takav	takav	Pd-msn
zastupnik	zastupnik	Ncmsn
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
)	)	Z
,	,	Z

3.	3.	Mdo
vlasničkog	vlasnički	Agpmsgy
ili	ili	Cc
dužničkog	dužnički	Agpmsgy
udjela	udjel	Ncmsg
u	u	Sl
financijskoj	financijski	Agpfsly
instituciji	institucija	Ncfsl
koji	koji	Pi-msn
čini	činiti	Vmr3s
financijski	financijski	Agpmsayn
račun	račun	Ncmsan
,	,	Z
ta	taj	Pd-fsn
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
,	,	Z

4.	4.	Mdo
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
ili	ili	Cc
ugovora	ugovor	Ncmsg
o	o	Sl
rentnom	rentni	Agpnsly
osiguranju	osiguranje	Ncnsl
uz	uz	Sa
mogućnost	mogućnost	Ncfsa
isplate	isplata	Ncfsg
otkupne	otkupni	Agpfsgy
vrijednosti	vrijednost	Ncfsg
police	polica	Ncfsg
,	,	Z
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
dužna	dužan	Agpfsny
izvršavati	izvršavati	Vmn
plaćanja	plaćanje	Ncnpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
ugovorom	ugovor	Ncmsi
.	.	Z

8.11.	8.11.	Mdo

Trustovi	trust	Ncmpn

Članak	članak	Ncmsn
94.	94.	Mdo

Subjekt	subjekt	Ncmsn
kao	kao	Cs
što	što	Cs
je	biti	Var3s
partnerstvo	partnerstvo	Ncnsn
,	,	Z
partnerstvo	partnerstvo	Ncnsn
s	sa	Si
ograničenom	ograničiti	Agpfsiy
odgovornošću	odgovornost	Ncfsi
ili	ili	Cc
sličan	sličan	Agpmsann
pravni	pravni	Agpmsayn
aranžman	aranžman	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
rezident	rezident	Ncmsn
u	u	Sa
svrhu	svrha	Ncfsa
oporezivanja	oporezivanje	Ncnsg
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
78.	78.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
rezidentom	rezidento	Ncmsg
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
mjesto	mjesto	Ncnsa
njegove	njegov	Ps3fsg
stvarne	stvaran	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

U	u	Sa
tu	taj	Pd-fsa
svrhu	svrha	Ncfsa
,	,	Z
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
ili	ili	Cc
