druge	drugi	Mlofsg
jurisdikcije	jurisdikcija	Ncfsg
ako	ako	Cs
:	:	Z

1.	1.	Mdo
podaci	podatak	Ncmpn
o	o	Sl
imatelju	imatelj	Ncmsl
računa	račun	Ncmsg
sadrže	sadržati	Vmr3p
podatak	podatak	Ncmsan
o	o	Sl
sadašnjoj	sadašnji	Agpfsly
adresi	adresa	Ncfsl
ili	ili	Cc
adresi	adresa	Ncfsl
prebivališta	prebivalište	Ncnsg
u	u	Sl
toj	taj	Pd-fsl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z
jedan	jedan	Mlcmsn
ili	ili	Cc
više	mnogo	Rgc
telefonskih	telefonski	Agpmpgy
brojeva	broj	Ncmpg
u	u	Sl
toj	taj	Pd-fsl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
(	(	Z
a	a	Cc
ne	ne	Qz
sadrže	sadržati	Vmr3p
telefonski	telefonski	Agpmsayn
broj	broj	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
)	)	Z
ili	ili	Cc
trajni	trajan	Agpmsny
nalog	nalog	Ncmsn
(	(	Z
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
financijske	financijski	Agpmpay
račune	račun	Ncmpa
osim	osim	Sg
depozitnih	depozitni	Agpmpgy
računa	račun	Ncmpg
)	)	Z
za	za	Sa
prijenos	prijenos	Ncmsan
sredstava	sredstvo	Ncnpg
koji	koji	Pi-msn
se	sebe	Px--sa
vodi	voditi	Vmr3s
u	u	Sl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z
a	a	Cc
izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
ishodila	ishoditi	Vmp-sf
je	biti	Var3s
ili	ili	Cc
prethodno	prethodno	Rgp
provjerila	provjeriti	Vmp-sf
i	i	Cc
u	u	Sl
evidenciji	evidencija	Ncfsl
raspolaže	raspolagati	Vmr3s
s	sa	Si
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
izjavom	izjava	Ncfsi
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
imatelja	imatelj	Ncmsg
računa	račun	Ncmsg
u	u	Sl
državi	država	Ncfsl
(	(	Z
-	-	Z
ama	ama	Ncfsn
)	)	Z
članici	članica	Ncfsl
(	(	Z
-	-	Z
ama	ama	Ncfsn
)	)	Z
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
(	(	Z
-	-	Z
ma	ma	Qo
)	)	Z
koja	koji	Pi-fsn
(	(	Z
-	-	Z
e	e	I
)	)	Z
ne	ne	Qz
uključuje	uključivati	Vmr3s
(	(	Z
-	-	Z
u	u	Sl
)	)	Z
tu	taj	Pd-fsa
državu	država	Ncfsa
članicu	članica	Ncfsa
i	i	Cc
drugu	drugi	Mlofsa
jurisdikciju	jurisdikcija	Ncfsa
i	i	Cc

(	(	Z
b	b	Npmsn
)	)	Z
dokumentiranom	dokumentiran	Agpmsly
dokazu	dokaz	Ncmsl
na	na	Sl
osnovi	osnova	Ncfsl
kojeg	koji	Pi-nsg
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
ima	imati	Vmr3s
status	status	Ncmsan
osobe	osoba	Ncfsg
o	o	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
ne	ne	Qz
izvješćuje	izvješćivati	Vmr3s
,	,	Z

2.	2.	Mdo
podaci	podatak	Ncmpn
o	o	Sl
imatelju	imatelj	Ncmsl
računa	račun	Ncmsg
sadrže	sadržati	Vmr3p
važeću	važeći	Agpfsay
punomoć	punomoć	Ncfsa
ili	ili	Cc
ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
potpisivanje	potpisivanje	Ncnsa
dodijeljeno	dodijeliti	Appnsny
osobi	osoba	Ncfsd
koja	koji	Pi-fsn
ima	imati	Vmr3s
adresu	adresa	Ncfsa
u	u	Sl
toj	taj	Pd-fsl
državi	država	Ncfsl
članici	članica	Ncfsl
i	i	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
,	,	Z
a	a	Cc
izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
ishodila	ishoditi	Vmp-sf
je	biti	Var3s
ili	ili	Cc
prethodno	prethodno	Rgp
provjerila	provjeriti	Vmp-sf
i	i	Cc
u	u	Sl
evidenciji	evidencija	Ncfsl
raspolaže	raspolagati	Vmr3s
s	sa	Si
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
izjavom	izjava	Ncfsi
o	o	Sl
rezidentnosti	rezidentnost	Ncfsl
imatelja	imatelj	Ncmsg
računa	račun	Ncmsg
u	u	Sl
državi	država	Ncfsl
(	(	Z
-	-	Z
ama	ama	Ncfsn
)	)	Z
članici	članica	Ncfsl
(	(	Z
-	-	Z
ama	ama	Ncfsn
)	)	Z
ili	ili	Cc
drugoj	drugi	Mlofsl
jurisdikciji	jurisdikcija	Ncfsl
(	(	Z
-	-	Z
ma	ma	Qo
)	)	Z
koja	koji	Pi-fsn
(	(	Z
-	-	Z
e	e	I
)	)	Z
ne	ne	Qz
uključuje	uključivati	Vmr3s
(	(	Z
-	-	Z
u	u	Sl
)	)	Z
tu	taj	Pd-fsa
državu	država	Ncfsa
članicu	članica	Ncfsa
i	i	Cc
drugu	drugi	Mlofsa
jurisdikciju	jurisdikcija	Ncfsa
ili	ili	Cc

(	(	Z
b	b	Cc
)	)	Z
dokumentiranim	dokumentiran	Agpmsiy
dokazom	dokaz	Ncmsi
na	na	Sl
osnovi	osnova	Ncfsl
kojeg	koji	Pi-nsg
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
imatelj	imatelj	Ncmsn
računa	račun	Ncmsg
ima	imati	Vmr3s
status	status	Ncmsan
osobe	osoba	Ncfsg
o	o	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
ne	ne	Qz
izvješćuje	izvješćivati	Vmr3s
.	.	Z

2.2.	2.2.	Mdo

Napredni	napredan	Agpmpny
postupci	postupak	Ncmpn
utvrđivanja	utvrđivanje	Ncnsg
računa	račun	Ncmsg
velike	velik	Agpfsgy
vrijednosti	vrijednost	Ncfsg

2.2.1.	2.2.1.	Mdo

Pretraživanje	pretraživanje	Ncnsn
elektroničkih	elektronički	Agpfpgy
baza	baza	Ncfpg
podataka	podatak	Ncmpg

Članak	članak	Ncmsn
20.	20.	Mdo

U	u	Sl
slučaju	slučaj	Ncmsl
računa	račun	Ncmsg
velike	velik	Agpfsgy
vrijednosti	vrijednost	Ncfsg
,	,	Z
iz	iz	Sg
članka	članak	Ncmsg
74.	74.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
provjeravati	provjeravati	Vmn
svoje	svoj	Px-mpa
podatke	podatak	Ncmpa
,	,	Z
za	za	Sa
svaku	svaki	Pi-fsa
od	od	Sg
indicija	indicija	Ncfpg
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

2.2.2.	2.2.2.	Mdo

Pretraživanje	pretraživanje	Ncnsn
evidencija	evidencija	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
vode	voditi	Vmr3p
na	na	Sl
papiru	papir	Ncmsl

Članak	članak	Ncmsn
21.	21.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pretraživanje	pretraživanje	Ncnsn
evidencija	evidencija	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
vode	voditi	Vmr3p
na	na	Sl
papiru	papir	Ncmsl
nije	biti	Var3s
potrebno	potreban	Agpnsny
daljnje	daljnji	Agpnsny
provoditi	provoditi	Vmn
ako	ako	Cs
podaci	podatak	Ncmpn
izvještajnih	izvještajni	Agpfpgy
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
,	,	Z
koje	koji	Pi-nsn
je	biti	Var3s
moguće	moguć	Agpnsny
elektronički	elektronički	Agpmsny
pretražiti	pretražiti	Vmn
,	,	Z
sadrže	sadržati	Vmr3p
polja	polje	Ncnpn
i	i	Cc
obuhvaćaju	obuhvaćati	Vmr3p
sve	sav	Agpfpay
informacije	informacija	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
22.	22.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
elektroničke	elektronički	Agpfsgy
baze	baza	Ncfsg
podataka	podatak	Ncmpg
ne	ne	Qz
obuhvaćaju	obuhvaćati	Vmr3p
sve	sav	Agpfpay
informacije	informacija	Ncfpa
iz	iz	Sg
članka	članak	Ncmsg
22.	22.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
obvezne	obvezan	Agpfpny
su	biti	Var3p
za	za	Sa
račune	račun	Ncmpa
velike	velik	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izvršiti	izvršiti	Vmn
provjeru	provjera	Ncfsa
i	i	Cc
trenutne	trenutan	Agpfsgy
glavne	glavni	Agpfsgy
datoteke	datoteka	Ncfsg
stranaka	stranka	Ncfpg
,	,	Z
a	a	Cc
ako	ako	Cs
podaci	podatak	Ncmpn
u	u	Sl
tim	taj	Pd-fpl
datotekama	datoteka	Ncfpl
nisu	biti	Var3p
obuhvaćeni	obuhvatiti	Appmpny
,	,	Z
tada	tada	Rgp
su	biti	Var3p
obvezne	obvezan	Agpfpny
za	za	Sa
svaku	svaki	Pi-fsa
indiciju	indicija	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
provjeriti	provjeriti	Vmn
sljedeće	sljedeći	Agpfpay
isprave	isprava	Ncfpa
povezane	povezan	Agpfpay
s	sa	Si
računom	račun	Ncmsi
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
su	biti	Var3p
izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
prikupile	prikupiti	Vmp-pf
u	u	Sa
posljednjih	posljednji	Agpfpgy
pet	pet	Mlc
godina	godina	Ncfpg
:	:	Z

1.	1.	Mdo
najnoviji	nov	Agsmsny
prikupljeni	prikupiti	Appmpny
dokumentirani	dokumentiran	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
računu	račun	Ncmsl
,	,	Z

2.	2.	Mdo
najnoviji	nov	Agsmsny
ugovor	ugovor	Ncmsn
ili	ili	Cc
isprave	isprava	Ncfpa
o	o	Sl
otvaranju	otvaranje	Ncnsl
računa	račun	Ncmsg
,	,	Z

3.	3.	Mdo
najnoviju	nov	Agsfsay
dokumentaciju	dokumentacija	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
izvještajna	izvještajni	Agpfsny
financijska	financijski	Agpfsny
institucija	institucija	Ncfsn
prikupila	prikupiti	Vmp-sf
na	na	Sl
temelju	temelj	Ncmsl
propisa	propis	Ncmpg
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
područje	područje	Ncnsa
sprječavanja	sprječavanje	Ncnsg
pranja	pranje	Ncnsg
novca	novac	Ncmsg
i	i	Cc
financiranja	financiranje	Ncnsg
terorizma	terorizam	Ncmsg
ili	ili	Cc
na	na	Sl
temelju	temelj	Ncmsl
drugih	drugi	Mlompg
propisa	propis	Ncmpg
,	,	Z

4.	4.	Mdo
važeću	važeći	Agpfsay
punomoć	punomoć	Ncfsa
ili	ili	Cc
ovlaštenje	ovlaštenje	Ncnsa
za	za	Sa
potpisivanje	potpisivanje	Ncnsa
i	i	Cc

5.	5.	Mdo
važeći	važeći	Agpmsayn
trajni	trajan	Agpmsayn
nalog	nalog	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
sredstava	sredstvo	Ncnpg
(	(	Z
osim	osim	Rgp
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
depozitni	depozitni	Agpmsayn
račun	račun	Ncmsan
)	)	Z
.	.	Z

2.2.3.	2.2.3.	Mdo

Izuzeci	izuzetak	Ncmpn
od	od	Sg
pretraživanja	pretraživanje	Ncnsg
evidencija	evidencija	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
vode	voditi	Vmr3p
na	na	Sl
papiru	papir	Ncmsl

Članak	članak	Ncmsn
22.	22.	Mdo

Izvještajne	izvještajni	Agpfpny
financijske	financijski	Agpfpny
institucije	institucija	Ncfpn
nisu	biti	Var3p
obvezne	obvezan	Agpfpny
