težim	težiti	Vmr1s
od	od	Sg
uobičajenih	uobičajen	Agpmpgy
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
zahtijevaju	zahtijevati	Vmr3p
posebne	poseban	Agpmpay
psihofizičke	psihofizički	Agpmpay
napore	napor	Ncmpa
radnika	radnik	Ncmpg
,	,	Z

–	i	Agpfpay
naknade	naknada	Ncfpa
za	za	Sa
pogonsku	pogonski	Agpfsay
pripravnost	pripravnost	Ncfsa
.	.	Z

Radniku	radnik	Ncmsd
poslodavac	poslodavac	Ncmsn
može	moći	Vmr3s
isplatiti	isplatiti	Vmn
i	i	Qo
posebni	poseban	Agpmsny
stimulacijski	stimulacijski	Agpmsny
dodatak	dodatak	Ncmsn
na	na	Sa
plaću	plaća	Ncfsa
.	.	Z

Članak	članak	Ncmsn
63.	63.	Mdo

Sredstva	sredstvo	Ncnpn
za	za	Sa
plaće	plaća	Ncfpa
i	i	Cc
druga	drugi	Mlonpa
primanja	primanje	Ncnpa
radnika	radnik	Ncmpg
poslodavac	poslodavac	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
prioritetno	prioritetno	Rgp
osigurati	osigurati	Vmn
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
potrebnim	potreban	Agpnply
sredstvima	sredstvo	Ncnpl
za	za	Sa
obavljanje	obavljanje	Ncnsa
djelatnosti	djelatnost	Ncfsg
poslodavca	poslodavac	Ncmsg
.	.	Z

Plaća	plaća	Ncfsn
iz	iz	Sg
članka	članak	Ncmsg
61.	61.	Mdo
ovog	ovaj	Pd-msg
Kolektivnog	kolektivan	Agpmsgy
ugovora	ugovor	Ncmsg
isplatit	isplatiti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
radniku	radnik	Ncmsd
i	i	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
kad	kad	Cs
poslodavac	poslodavac	Ncmsn
ostvaruje	ostvarivati	Vmr3s
poslovni	poslovan	Agpmsayn
gubitak	gubitak	Ncmsan
.	.	Z

Osnovna	osnovan	Agpfsny
plaća	plaća	Ncfsn

Članak	članak	Ncmsn
64.	64.	Mdo

Osnovna	osnovan	Agpfsny
plaća	plaća	Ncfsn
radnika	radnik	Ncmpg
za	za	Sa
