svaki	svaki	Pi-msan
pojedinačni	pojedinačan	Agpmsayn
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
vlasnika	vlasnik	Ncmpg
upisuje	upisivati	Vmr3s
određenu	određen	Agpfsay
oznaku	oznaka	Ncfsa
valute	valuta	Ncfsg
ili	ili	Cc
otvara	otvarati	Vmr3s
jedinstveni	jedinstven	Agpmsayn
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
vlasnika	vlasnik	Ncmpg
na	na	Sa
koji	koji	Pi-msan
se	sebe	Px--sa
mogu	moći	Vmr3p
evidentirati	evidentirati	Vmn
novčana	novčan	Agpnpay
sredstva	sredstvo	Ncnpa
u	u	Sa
više	mnogo	Rgc
različitih	različit	Agpfpgy
valuta	valuta	Ncfpg
(	(	Z
s	sa	Si
oznakom	oznaka	Ncfsi
»	»	Z
MVR	MVR	Npmsan
«	«	Z
)	)	Z
.	.	Z

Točka	točka	Ncfsn
15.	15.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
15.	15.	Mdo

Oznaka	oznaka	Ncfsn
transakcijskog	transakcijski	Agpmsgy
računa	račun	Ncmsg
prema	prema	Sl
broju	broj	Ncmsl
poslovnih	poslovan	Agpmpgy
subjekata	subjekt	Ncmpg
ili	ili	Cc
prema	prema	Sl
broju	broj	Ncmsl
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
zajednički	zajednički	Rgp
obavljaju	obavljati	Vmr3p
gospodarsku	gospodarski	Agpfsay
djelatnost	djelatnost	Ncfsa
ili	ili	Cc
slobodno	slobodan	Agpnsay
zanimanje	zanimanje	Ncnsa
(	(	Z
1	1	Mdc
znak	znak	Ncmsn
)	)	Z

Upisuje	upisivati	Vmr3s
se	sebe	Px--sa
:	:	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
1	1	Mdc
«	«	Z
za	za	Sa
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
otvoren	otvoriti	Appmsnn
na	na	Sa
ime	ime	Ncnsa
jednog	jedan	Mlcmsg
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
odnosno	odnosno	Rgp
za	za	Sa
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
stečajne	stečajni	Agpfsgy
mase	masa	Ncfsg
,	,	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
2	2	Mdc
«	«	Z
za	za	Sa
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
otvoren	otvoriti	Appmsnn
na	na	Sa
ime	ime	Ncnsa
više	mnogo	Rgc
poslovnih	poslovan	Agpmpgy
subjekata	subjekt	Ncmpg
i	i	Cc
za	za	Sa
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
poslovnog	poslovan	Agpmsgy
subjekta	subjekt	Ncmsg
kod	kod	Sg
kojeg	koji	Pi-msg
više	mnogo	Rgc
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
zajednički	zajednički	Rgp
obavlja	obavljati	Vmr3s
gospodarsku	gospodarski	Agpfsay
djelatnost	djelatnost	Ncfsa
ili	ili	Cc
slobodno	slobodan	Agpnsay
zanimanje	zanimanje	Ncnsa
.	.	Z
«	«	Z
.	.	Z

Točka	točka	Ncfsn
19.	19.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
19.	19.	Mdo

Oznaka	oznaka	Ncfsn
transakcijskog	transakcijski	Agpmsgy
računa	račun	Ncmsg
dužnika	dužnik	Ncmpg
u	u	Sl
stečaju	stečaj	Ncmsl
(	(	Z
1	1	Mdc
znak	znak	Ncmsn
)	)	Z

Upisuje	upisivati	Vmr3s
se	sebe	Px--sa
:	:	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
0	0	Mdc
«	«	Z
za	za	Sa
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
dužnika	dužnik	Ncmpg
nad	nad	Si
kojim	koji	Pi-msi
nije	biti	Var3s
otvoren	otvoriti	Appmsnn
stečajni	stečajni	Agpmsny
postupak	postupak	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
račun	račun	Ncmsan
koji	koji	Pi-msn
je	biti	Var3s
kod	kod	Sg
obveznika	obveznik	Ncmpg
otvoren	otvoriti	Appmsnn
prije	prije	Sg
otvaranja	otvaranje	Ncnsg
stečajnog	stečajni	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
za	za	Sa
račun	račun	Ncmsan
stečajne	stečajni	Agpfsgy
mase	masa	Ncfsg
,	,	Z

–		Agpfpgy
oznaka	oznaka	Ncfpg
»	»	Z
1	1	Mdc
«	«	Z
za	za	Sa
transakcijski	transakcijski	Agpmsayn
račun	račun	Ncmsan
dužnika	dužnik	Ncmpg
u	u	Sl
stečaju	stečaj	Ncmsl
.	.	Z
«	«	Z
.	.	Z

Točka	točka	Ncfsn
21.	21.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
21.	21.	Mdo

Transakcijski	transakcijski	Agpmsny
račun	račun	Ncmsn
slijednik	slijednik	Ncmsn
(	(	Z
21	21	Mdc
znak	znak	Ncmsn
)	)	Z

Obveznik	obveznik	Ncmsn
prilikom	prilikom	Sg
zatvaranja	zatvaranje	Ncnsg
transakcijskog	transakcijski	Agpmsgy
računa	račun	Ncmsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
upisuje	upisivati	Vmr3s
podatak	podatak	Ncmsan
o	o	Sl
transakcijskom	transakcijski	Agpmsly
računu	račun	Ncmsl
slijedniku	slijednik	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
otvoren	otvoriti	Appmsnn
kod	kod	Sg
istog	isti	Agpmsgy
obveznika	obveznik	Ncmsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
transakcijski	transakcijski	Agpmsny
račun	račun	Ncmsn
slijednik	slijednik	Ncmsn
otvara	otvarati	Vmr3s
zbog	zbog	Sg
promjene	promjena	Ncfsg
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
je	biti	Var3s
vlasnik	vlasnik	Ncmsn
računa	račun	Ncmsg
slijednika	slijednik	Ncmpg
i	i	Cc
računa	račun	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
zatvara	zatvarati	Vmr3s
ista	isti	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
odnosno	odnosno	Rgp
vlasnik	vlasnik	Ncmsn
računa	račun	Ncmsg
slijednika	slijednik	Ncmpg
je	biti	Var3s
pravni	pravni	Agpmsny
slijednik	slijednik	Ncmsn
vlasniku	vlasnik	Ncmsl
računa	račun	Ncmsg
koji	koji	Pi-msn
se	sebe	Px--sa
zatvara	zatvarati	Vmr3s
zbog	zbog	Sg
statusne	statusni	Agpfsgy
promjene	promjena	Ncfsg
.	.	Z

Navedeni	naveden	Agpmsny
podatak	podatak	Ncmsn
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
u	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
broja	broj	Ncmsg
transakcijskog	transakcijski	Agpmsgy
računa	račun	Ncmsg
vlasnika	vlasnik	Ncmpg
zbog	zbog	Sg
statusne	statusni	Agpfsgy
promjene	promjena	Ncfsg
podjele	podjela	Ncfsg
,	,	Z
pripajanja	pripajanje	Ncnsg
ili	ili	Cc
spajanja	spajanje	Ncnsg
obveznika	obveznik	Ncmpg
dostave	dostava	Ncfsg
podataka	podatak	Ncmpg
,	,	Z
ako	ako	Cs
je	biti	Var3s
transakcijski	transakcijski	Agpmsny
račun	račun	Ncmsn
slijednik	slijednik	Ncmsn
otvoren	otvoriti	Appmsnn
kod	kod	Sg
istog	isti	Agpmsgy
obveznika	obveznik	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
2.	2.	Mdo

U	u	Sl
članku	članak	Ncmsl
4.	4.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
točka	točka	Ncfsn
3.	3.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
3.	3.	Mdo
Ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
građanina	građanin	Ncmsg
(	(	Z
do	do	Sg
114	114	Mdc
znakova	znak	Ncmpg
)	)	Z

Upisuje	upisivati	Vmr3s
se	sebe	Agpnsay
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsn
građanina	građanin	Ncmsg
iz	iz	Sg
osobnog	osoban	Agpmsgy
identifikacijskog	identifikacijski	Agpmsgy
dokumenta	dokument	Ncmsg
ili	ili	Cc
drugog	drugi	Mlomsg
jednakovrijednog	jednakovrijedan	Agpmsgy
dokumenta	dokument	Ncmsg
.	.	Z

Banka	banka	Ncfsn
u	u	Sl
nazivu	naziv	Ncmsl
transakcijskog	transakcijski	Agpmsgy
računa	račun	Ncmsg
građana	građanin	Ncmpg
prvo	prvo	Rgp
upisuje	upisivati	Vmr3s
ime	ime	Ncnsa
,	,	Z
a	a	Cc
zatim	zatim	Agpnsay
prezime	prezime	Ncnsa
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
transakcijski	transakcijski	Agpmsny
račun	račun	Ncmsn
otvara	otvarati	Vmr3s
kao	kao	Cs
račun	račun	Ncmsan
specifične	specifičan	Agpfsgy
namjene	namjena	Ncfsg
,	,	Z
u	u	Sa
naziv	naziv	Ncmsan
transakcijskog	transakcijski	Agpmsgy
računa	račun	Ncmsg
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
i	i	Cc
namjena	namjena	Ncfsn
novčanih	novčan	Agpnpgy
sredstava	sredstvo	Ncnpg
.	.	Z

Ako	ako	Cs
se	sebe	Px--sa
transakcijski	transakcijski	Agpmsny
račun	račun	Ncmsn
otvara	otvarati	Vmr3s
kao	kao	Cs
račun	račun	Ncmsan
zajedničke	zajednički	Agpfsgy
pričuve	pričuva	Ncfsg
,	,	Z
u	u	Sa
naziv	naziv	Ncmsan
transakcijskog	transakcijski	Agpmsgy
računa	račun	Ncmsg
uz	uz	Sa
namjenu	namjena	Ncfsa
novčanih	novčan	Agpnpgy
sredstava	sredstvo	Ncnpg
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
i	i	Qo
adresa	adresa	Ncfsn
stambene	stambeni	Agpfsgy
zgrade	zgrada	Ncfsg
na	na	Sa
