stupnju	stupanj	Ncmsl
hitnosti	hitnost	Ncfsg
pacijenti	pacijent	Ncmpn
razvrstavaju	razvrstavati	Vmr3p
u	u	Sa
pet	pet	Mlc
trijažnih	trijažan	Agpfpgy
kategorija	kategorija	Ncfpg
,	,	Z
sukladno	sukladno	Rgp
Australsko-azijskoj	australsko-azijski	Agpfsly
ljestvici	ljestvica	Ncfsl
trijaže	trijaža	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Trijaža	Trijaža	Npmsn
u	u	Sl
Objedinjenom	objediniti	Agpmsly
hitnom	hitan	Agpmsly
bolničkom	bolnički	Agpmsly
prijamu	prijam	Ncmsl
provodi	provoditi	Vmr3s
se	sebe	Px--sa
temeljem	temelj	Ncmsi
trijažnog	trijažan	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
a	a	Cc
provodi	provoditi	Vmr3s
je	biti	Var3s
medicinska	medicinski	Agpfsny
sestra	sestra	Ncfsn
sa	sa	Si
završenom	završen	Agpfsiy
edukacijom	edukacija	Ncfsi
iz	iz	Sg
trijaže	trijaža	Ncfsg
prema	prema	Sl
programu	program	Ncmsl
kojeg	koji	Pi-msg
donosi	donositi	Vmr3s
Hrvatski	hrvatski	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
hitnu	hitan	Agpfsay
medicinu	medicina	Ncfsa
.	.	Z

Članak	članak	Ncmsn
18.	18.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
prostoru	prostor	Ncmsl
za	za	Sa
zbrinjavanje	zbrinjavanje	Ncnsa
akutnih	akutan	Agpmpgy
pacijenata	pacijent	Ncmpg
Objedinjenog	objediniti	Appnsgy
hitnog	hitan	Agpmsgy
bolničkog	bolnički	Agpmsgy
prijama	prijam	Ncmsg
zbrinjavaju	zbrinjavati	Vmr3p
se	sebe	Px--sa
životno	životno	Rgp
ugroženi	ugroziti	Appmpny
pacijenti	pacijent	Ncmpn
koji	koji	Pi-mpn
zahtijevaju	zahtijevati	Vmr3p
stalni	stalan	Agpmsayn
nadzor	nadzor	Ncmsan
i	i	Cc
praćenje	praćenje	Ncnsa
najdulje	dugo	Rgs
8	8	Mdc
sati	sat	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
prostoru	prostor	Ncmsl
za	za	Sa
zbrinjavanje	zbrinjavanje	Ncnsa
subakutnih	subakutan	Agpmpgy
pacijenata	pacijent	Ncmpg
Objedinjenog	objediniti	Agpmsgy
hitnog	hitan	Agpmsgy
bolničkog	bolnički	Agpmsgy
prijama	prijam	Ncmsg
zbrinjavaju	zbrinjavati	Vmr3p
se	sebe	Px--sa
hitni	hitan	Agpmpny
pacijenti	pacijent	Ncmpn
čije	čiji	Pi-nsn
stanje	stanje	Ncnsn
zahtijeva	zahtijevati	Vmr3s
nadzor	nadzor	Ncmsan
i	i	Cc
praćenje	praćenje	Ncnsa
najdulje	dugo	Rgs
24	24	Mdc
sata	sat	Ncmsg
.	.	Z

IV	IV	Mrc
.	.	Z

DOKUMENTACIJA	dokumentacija	Ncfsn

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
O	o	Sl
radu	rad	Ncmsl
prijavno	prijavno	Rgp
dojavne	dojavni	Agpfsgy
jedinice	jedinica	Ncfsg
i	i	Cc
timova	tim	Ncmpg
izvanbolničke	izvanbolnički	Agpfsgy
hitne	hitan	Agpfsgy
medicine	medicina	Ncfsg
vodi	voditi	Vmr3s
se	sebe	Px--sa
evidencija	evidencija	Ncfsn
na	na	Sl
obrascima	obrazac	Ncmpl
tiskanim	tiskati	Appmply
u	u	Sl
prilogu	prilog	Ncmsl
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
njegov	njegov	Ps3msan
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

–	–	Agpmsny
Prilog	prilog	Ncmsn
1.	1.	Mdo
Obrazac	obrazac	Ncmsn
za	za	Sa
prijam	prijam	Ncmsan
poziva	poziv	Ncmpg
,	,	Z

–	–	Agpmsny
Prilog	prilog	Ncmsn
2.	2.	Mdo
Obrazac	obrazac	Ncmsan
o	o	Sl
kretanju	kretanje	Ncnsl
timova	tim	Ncmpg
na	na	Sl
terenu	teren	Ncmsl
,	,	Z

–	–	Agpmsny
Prilog	prilog	Ncmsn
3.	3.	Mdo
Obrazac	obrazac	Ncmsn
za	za	Sa
primopredaju	primopredaja	Ncfsa
cestovnog	cestovan	Agpnsgy
vozila	vozilo	Ncnsg
hitne	hitan	Agpfsgy
medicine	medicina	Ncfsg
i	i	Cc
medicinske	medicinski	Agpfsgy
opreme	oprema	Ncfsg
,	,	Z

–	–	Agpmsny
Prilog	prilog	Ncmsn
