distribuirana	distribuirati	Appfsny
putem	put	Sg
telekomunikacijskih	telekomunikacijski	Agpnpgy
sredstava	sredstvo	Ncnpg
,	,	Z
a	a	Cc
sadrži	sadržati	Vmr3s
informacije	informacija	Ncfpa
o	o	Sl
kojima	koji	Pi-fpl
zrakoplovno	zrakoplovan	Agpnsny
osoblje	osoblje	Ncnsn
nužno	nužan	Agpnsny
mora	morati	Vmr3s
biti	biti	Van
pravovremeno	pravovremeno	Rgp
obaviješteno	obavijestiti	Appnsny

–	–	Agpmsny
PAR	par	Ncmsn
(	(	Z
Precision	Precision	Xf
Approach	Approach	Xf
Radar	radar	Ncmsn
)	)	Z
–	–	Agpmsny
radarski	radarski	Agpmsny
sustav	sustav	Ncmsn
za	za	Sa
precizno	precizan	Agpnsay
prilaženje	prilaženje	Ncnsa
na	na	Sa
slijetanje	slijetanje	Ncnsa

–	–	Npmsn
RVSM	RVSM	Npmsn
(	(	Z
Reduced	Reduced	Xf
Vertical	Vertical	Xf
Separation	Separation	Xf
Minimum	minimum	Ncmsan
)	)	Z
–	–	Z
smanjeni	smanjiti	Agpmsayn
minimum	minimum	Ncmsan
vertikalnog	vertikalan	Agpmsgy

razdvajanja	razdvajanje	Ncnsg
od	od	Sg
i	i	Cc
uključujući	uključivati	Rr
FL	FL	Npmsan
290	290	Mdc
do	do	Sg
i	i	Cc
uključujući	uključivati	Rr
FL	FL	Npmsan
410	410	Mdc

–	–	Npmsn
SSR	SSR	Npmsn
(	(	Z
Secondary	Secondary	Xf
Surveillance	Surveillance	Xf
Radar	radar	Ncmsn
)	)	Z
–	–	Agpmsny
sekundarni	sekundaran	Agpmsny
radar	radar	Ncmsn

–	–	Npmsn
VFR	VFR	Npmsn
(	(	Z
Visual	Visual	Xf
Flight	Flight	Xf
Rules	Rules	Npmsn
)	)	Z
–	–	Z
pravila	pravilo	Ncnpg
za	za	Sa
vizualno	vizualan	Agpnsay
letenje	letenje	Ncnsa

–	–	Npmsn
VMC	VMC	Npmsn
(	(	Z
Visual	Visual	Npmsn
Meteorological	Meteorological	Npmsn
Conditions	Conditions	Npmsn
)	)	Z
–	–	Z
vizualni	vizualan	Agpmpny
meteorološki	meteorološki	Agpmpny
uvjeti	uvjet	Ncmpn

–	–	Npmsn
ZMiN	ZMiN	Npmsn
–	–	Z
zračno	zračan	Agpnsny
motrenje	motrenje	Ncnsn
i	i	Cc
navođenje	navođenje	Ncnsa
.	.	Z

Vojni	vojni	Agpmsny
zbornik	zbornik	Ncmsn
zrakoplovnih	zrakoplovan	Agpfpgy
informacija	informacija	Ncfpg

Članak	članak	Ncmsn
4.	4.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vojni	vojni	Agpmsny
zbornik	zbornik	Ncmsn
zrakoplovnih	zrakoplovan	Agpfpgy
informacija	informacija	Ncfpg
(	(	Z
MilAIP	MilAIP	Npmsn
–	–	Z
Military	Military	Xf
Aeronautical	Aeronautical	Xf
Information	Information	Xf
Publication	Publication	Xf
)	)	Z
je	biti	Var3s
zbirka	zbirka	Ncfsn
propisa	propis	Ncmpg
,	,	Z
informacija	informacija	Ncfpg
i	i	Cc
podataka	podatak	Ncmpg
bitnih	bitan	Agpmpgy
za	za	Sa
sigurnost	sigurnost	Ncfsa
vojnog	vojni	Agpmsgy
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Informacije	informacija	Ncfpa
i	i	Cc
podatke	podatak	Ncmpa
bitne	bitan	Agpfpny
za	za	Sa
sigurnost	sigurnost	Ncfsa
vojnog	vojni	Agpmsgy
zračnog	zračan	Agpmsgy
prometa	promet	Ncmsg
Ministarstvo	ministarstvo	Ncnsn
obrane	obrana	Ncfsg
dostavlja	dostavljati	Vmr3s
