regulira	regulirati	Vmr3s
provedbu	provedba	Ncfsa
vrste	vrsta	Ncfsg
letačke	letački	Agpfsgy
pripravnosti	pripravnost	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Vrijeme	vrijeme	Ncnsn
aktivne	aktivan	Agpfsgy
letačke	letački	Agpfsgy
pripravnosti	pripravnost	Ncfsg
može	moći	Vmr3s
trajati	trajati	Vmn
najviše	mnogo	Rgs
14	14	Mdc
sati	sat	Ncmpg
kontinuirano	kontinuiran	Agpnsny
za	za	Sa
sve	sav	Agpfpay
vrste	vrsta	Ncfpa
pripravnosti	pripravnost	Ncfsg
,	,	Z
osim	osim	Cs
za	za	Sa
Dežurni	dežuran	Agpmsayn
borbeni	borben	Agpmsayn
dvojac	dvojac	Ncmsan
(	(	Z
DBD	DBD	Npmsn
)	)	Z
.	.	Z

Trajanje	trajanje	Ncnsn
aktivne	aktivan	Agpfsgy
letačke	letački	Agpfsgy
pripravnosti	pripravnost	Ncfsg
dulje	dugo	Rgc
od	od	Sg
14	14	Mdc
sati	sat	Ncmpg
kontinuirano	kontinuirati	Appnsny
dopušteno	dopustiti	Appnsny
je	biti	Var3s
kada	kada	Cs
je	biti	Var3s
to	taj	Pd-nsn
nužno	nužan	Agpnsny
za	za	Sa
dovršenje	dovršenje	Ncnsa
započete	započeti	Agpfsgy
letačke	letački	Agpfsgy
zadaće	zadaća	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Najdulje	dug	Agsnsny
dopušteno	dopustiti	Appnsny
trajanje	trajanje	Ncnsn
aktivne	aktivan	Agpfsgy
ili	ili	Cc
pasivne	pasivan	Agpfsgy
letačke	letački	Agpfsgy
pripravnosti	pripravnost	Ncfsg
posade	posada	Ncfsg
je	biti	Var3s
sedam	sedam	Mlc
dana	dan	Ncmpg
uzastopno	uzastopno	Rgp
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Nakon	nakon	Sg
svake	svaki	Pi-fsg
aktivne	aktivan	Agpfsgy
letačke	letački	Agpfsgy
pripravnosti	pripravnost	Ncfsg
posadi	posaditi	Vmr3s
mora	morati	Vmr3s
biti	biti	Van
omogućeno	omogućiti	Appnsny
neprekinuto	neprekinuto	Rgp
deset	deset	Mlc
sati	sat	Ncmpg
odmora	odmor	Ncmsg
za	za	Sa
vrijeme	vrijeme	Ncnsa
kojeg	koji	Pi-msay
je	biti	Var3s
posada	posada	Ncfsn
slobodna	slobodan	Agpfsny
od	od	Sg
svih	sav	Agpfpgy
dužnosti	dužnost	Ncfpg
i	i	Cc
dežurstava	dežurstvo	Ncnpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Nakon	nakon	Sg
sedmodnevne	sedmodnevan	Agpfsgy
aktivne	aktivan	Agpfsgy
letačke	letački	Agpfsgy
pripravnosti	pripravnost	Ncfsg
,	,	Z
posadi	posada	Ncfsl
mora	morati	Vmr3s
biti	biti	Van
osigurano	osigurati	Appnsny
najmanje	malo	Rgs
48	48	Mdc
sati	sat	Ncmpg
odmora	odmor	Ncmsg
prije	prije	Sg
početka	početak	Ncmsg
sljedeće	sljedeći	Agpfsgy
letačke	letački	Agpfsgy
pripravnosti	pripravnost	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
aktivna	aktivan	Agpfsny
letačka	letački	Agpfsny
pripravnost	pripravnost	Ncfsn
može	moći	Vmr3s
se	sebe	Px--sa
produljiti	produljiti	Vmn
za	za	Sa
najviše	mnogo	Rgs
24	24	Mdc
sata	sat	Ncmsg
zbog	zbog	Sg
nepredviđenih	nepredviđen	Agpmpgy
(	(	Z
izvanrednih	izvanredan	Agpmpgy
)	)	Z
okolnosti	okolnost	Ncfsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Posadi	posada	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
u	u	Sa
sedam	sedam	Mlc
uzastopnih	uzastopni	Agpmpgy
dana	dan	Ncmpg
provela	provesti	Vmp-sf
jedan	jedan	Mlcmsan
ili	ili	Cc
više	mnogo	Rgc
dana	dan	Ncmpg
u	u	Sl
pasivnoj	pasivan	Agpfsly
pripravnosti	pripravnost	Ncfsl
,	,	Z
po	po	Sl
isteku	istek	Ncmsl
sedam	sedam	Mlc
dana	dan	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
osigurano	osigurati	Appnsny
24	24	Mdc
sata	sat	Ncmsg
odmora	odmor	Ncmsg
.	.	Z

Ukupno	ukupan	Agpnsny
vrijeme	vrijeme	Ncnsn
leta	let	Ncmsg

Članak	članak	Ncmsn
178.	178.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ukupno	ukupan	Agpnsny
vrijeme	vrijeme	Ncnsn
leta	let	Ncmsg
člana	član	Ncmsg
posade	posada	Ncfsg
vojnog	vojni	Agpmsgy
zrakoplova	zrakoplov	Ncmsg
tijekom	tijekom	Sg
provedbe	provedba	Ncfsg
letačkih	letački	Agpfpgy
zadaća	zadaća	Ncfpg
iznosi	iznositi	Vmr3s
sedam	sedam	Mlc
sati	sat	Ncmpg
tijekom	tijekom	Sg
24	24	Mdc
sata	sat	Ncmsg
,	,	Z
49	49	Mdc
sati	sat	Ncmpg
u	u	Sa
sedam	sedam	Mlc
uzastopnih	uzastopni	Agpmpgy
dana	dan	Ncmpg
,	,	Z
120	120	Mdc
sati	sat	Ncmpg
u	u	Sa
30	30	Mdc
uzastopnih	uzastopni	Agpmpgy
dana	dan	Ncmpg
i	i	Cc
300	300	Mdc
sati	sat	Ncmpg
u	u	Sa
90	90	Mdc
uzastopnih	uzastopni	Agpmpgy
dana	dan	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
ukupno	ukupan	Agpnsay
vrijeme	vrijeme	Ncnsa
leta	let	Ncmsg
člana	član	Ncmsg
posade	posada	Ncfsg
borbenih	borben	Agpmpgy
aviona	avion	Ncmpg
tijekom	tijekom	Sg
provedbe	provedba	Ncfsg
letačkih	letački	Agpfpgy
zadaća	zadaća	Ncfpg
iznosi	iznositi	Vmr3s
75	75	Mdc
sati	sat	Ncmpg
u	u	Sa
30	30	Mdc
