ovaj	ovaj	Pd-msn
Sud	sud	Ncmsn
je	biti	Var3s
utvrdio	utvrditi	Vmp-sm
da	da	Cs
je	biti	Var3s
tužbeni	tužbeni	Agpmsny
zahtjev	zahtjev	Ncmsn
tužitelja	tužitelj	Ncmpg
osnovan	osnovati	Appmsnn
.	.	Z

Naime	naime	Qo
,	,	Z
odredbom	odredba	Ncfsi
članka	članak	Ncmsg
98.	98.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
broj	broj	Ncmsn
47/09	47/09	Mds
,	,	Z
u	u	Sl
nastavku	nastavak	Ncmsl
teksta	tekst	Ncmsg
ZUP	ZU	Npmsl
)	)	Z
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
obrazloženje	obrazloženje	Ncnsn
sadržava	sadržavati	Vmr3s
kratko	kratak	Agpnsay
izlaganje	izlaganje	Ncnsa
zahtjeva	zahtjev	Ncmpg
stranke	stranka	Ncfsg
,	,	Z
utvrđeno	utvrditi	Agpnsny
činjenično	činjeničan	Agpnsny
stanje	stanje	Ncnsn
,	,	Z
razloge	razlog	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
bili	biti	Vap-pm
odlučujući	odlučujući	Agpmpny
pri	pri	Sl
ocjeni	ocjena	Ncfsl
pojedinih	pojedini	Agpmpgy
dokaza	dokaz	Ncmpg
,	,	Z
razloge	razlog	Ncmpa
zbog	zbog	Sg
kojih	koji	Pi-mpg
nije	biti	Var3s
usvojen	usvojiti	Appmsnn
koji	koji	Pi-msn
od	od	Sg
zahtjeva	zahtjev	Ncmpg
stranaka	stranka	Ncfpg
,	,	Z
razloge	razlog	Ncmpa
donošenja	donošenje	Ncnsg
zaključaka	zaključak	Ncmpg
u	u	Sl
tijeku	tijek	Ncmsl
postupka	postupak	Ncmsg
te	te	Cc
propisi	propis	Ncmpn
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
je	biti	Var3s
riješena	riješiti	Appfsny
upravna	upravan	Agpfsny
stvar	stvar	Ncfsn
.	.	Z

Uvidom	uvid	Ncmsi
u	u	Sa
osporavanu	osporavati	Agpfsay
Odluku	odluka	Ncfsa
tuženika	tuženik	Ncmpg
od	od	Sg
11.	11.	Mdo
lipnja	lipanj	Ncmsg
2014.	2014.	Mdo
razvidno	razvidan	Agpnsny
je	biti	Var3s
da	da	Cs
ista	isti	Agpfsny
ne	ne	Qz
sadrži	sadržati	Vmr3s
valjano	valjan	Agpnsay
obrazloženje	obrazloženje	Ncnsa
jer	jer	Cs
ne	ne	Qz
sadrži	sadržati	Vmr3s
razloge	razlog	Ncmpa
o	o	Sl
odlučnim	odlučan	Agpfply
