unutrašnjim	unutrašnji	Agpfpiy
morskim	morski	Agpfpiy
vodama	voda	Ncfpi
i	i	Cc
teritorijalnom	teritorijalan	Agpnsly
moru	more	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ili	ili	Cc
birači	birač	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
smješteni	smjestiti	Appmpny
u	u	Sl
ustanovama	ustanova	Ncfpl
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
ili	ili	Cc
birači	birač	Ncmpn
lišeni	lišiti	Appmpny
slobode	sloboda	Ncfsg
pripadnici	pripadnik	Ncmpn
te	taj	Pd-fsg
nacionalne	nacionalan	Agpfsgy
manjine	manjina	Ncfsg
,	,	Z

–	–	Z
OZ-58	OZ-58	Mdc
–	–	Z
Zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
za	za	Sa
izbor	izbor	Ncmsan
zastupnica	zastupnica	Ncfpg
/	/	Z
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
na	na	Sl
biračkom	birački	Agpnsly
mjestu	mjesto	Ncnsl
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
za	za	Sa
liste	lista	Ncfpa
XI	xi	Mrc
.	.	Z
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
,	,	Z

–	i	Agpnsny
OZ-58RH	oz-58rh	Ncnsn
–	–	Z
Zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
za	za	Sa
izbor	izbor	Ncmsan
zastupnica	zastupnica	Ncfpg
/	/	Z
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
za	za	Sa
liste	lista	Ncfpa
XI	xi	Mrc
.	.	Z
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
na	na	Sl
biračkom	birački	Agpnsly
mjestu	mjesto	Ncnsl
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z

–	–	Z
OZ-59	OZ-59	Mdc
–	–	Z
Zapisnik	zapisnik	Ncmsn
o	o	Sl
radu	rad	Ncmsl
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
za	za	Sa
izbor	izbor	Ncmsan
zastupnica	zastupnica	Ncfpg
/	/	Z
zastupnika	zastupnik	Ncmpg
u	u	Sa
Hrvatski	hrvatski	Agpmsayn
sabor	sabor	Ncmsan
na	na	Sl
biračkom	birački	Agpnsly
mjestu	mjesto	Ncnsl
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
za	za	Sa
liste	lista	Ncfpa
I.	I.	Mro
–	–	Z
X.	X.	Y
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
,	,	Z

–	–	Z
OZ-60	OZ-60	Mdc
–	–	Z
Zapisnik	zapisnik	Ncmsn
o	o	Sl
