administrativne	administrativan	Agpfpny
greške	greška	Ncfpn
,	,	Z
podliježu	podlijegati	Vmr3p
povratu	povrat	Ncmsl
sredstava	sredstvo	Ncnpg
u	u	Sa
državni	državni	Agpmsayn
proračun	proračun	Ncmsan
.	.	Z

Neutrošena	neutrošen	Agpfsny
financijska	financijski	Agpfsny
sredstava	sredstvo	Ncfsn
,	,	Z
kao	kao	Cs
i	i	Cc
nenamjenski	nenamjenski	Rgp
utrošena	utrošiti	Appnpny
sredstva	sredstvo	Ncnpn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ove	ovaj	Pd-fsg
točke	točka	Ncfsg
,	,	Z
jedinice	jedinica	Ncfsg
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
i	i	Cc
Grad	grad	Ncmsn
Zagreb	Zagreb	Npmsn
dužni	dužan	Agpmpny
su	biti	Var3p
odmah	odmah	Rgp
,	,	Z
a	a	Cc
najkasnije	kasno	Rgs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
,	,	Z
vratiti	vratiti	Vmn
na	na	Sa
račun	račun	Ncmsan
Državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
HR	HR	Npfsg
1210010051863000160	1210010051863000160	Mdc
,	,	Z
model	model	Ncmsn
i	i	Cc
poziv	poziv	Ncmsan
na	na	Sa
broj	broj	Ncmsan
povrata	povrat	Ncmpg
33	33	Mdc
-	-	Z
363147	363147	Mdc
-	-	Z
5800379-RKDP	5800379-rkdi	Agpfpay
jedinice	jedinica	Ncfpa
područne	područni	Agpfsgy
(	(	Z
regionalne	regionalan	Agpfsgy
)	)	Z
samouprave	samouprava	Ncfsg
ili	ili	Cc
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
.	.	Z

IX	IX	Mrc
.	.	Z

Za	za	Sa
provedbu	provedba	Ncfsa
ove	ovaj	Pd-fsg
Odluke	odluka	Ncfsg
zadužuje	zaduživati	Vmr3s
se	sebe	Px--sa
Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
.	.	Z

X.	X.	Y

Ova	ovaj	Pd-fsn
Odluka	odluka	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/16	03/16	Mdc
-	-	Z
04/246	04/246	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
50301	50301	Mdc
-	-	Z
04/12	04/12	Mdc
-	-	Z
16	16	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
19.	19.	Mdo
kolovoza	kolovoz	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Tihomir	Tihomir	Npmsn
Orešković	Orešković	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

