poništilo	poništiti	Vmp-sn
lokacijsku	lokacijski	Agpfsay
dozvolu	dozvola	Ncfsa
24.	24.	Mdo
svibnja	svibanj	Ncmsg
2010.	2010.	Mdo
jer	jer	Cs
je	biti	Var3s
utvrđeno	utvrditi	Appnsny
da	da	Cs
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
člankom	članak	Ncmsi
49.	49.	Mdo

Prostornog	prostoran	Agpmsgy
plana	plan	Ncmsg
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ističe	isticati	Vmr3s
da	da	Cs
eventualne	eventualan	Agpfpny
pogreške	pogreška	Ncfpn
i	i	Cc
propusti	propust	Ncmpn
državnih	državni	Agpnpgy
tijela	tijelo	Ncnpg
ne	ne	Qz
mogu	moći	Vmr3p
ići	ići	Vmn
na	na	Sa
štetu	šteta	Ncfsa
stranaka	stranka	Ncfpg
,	,	Z
imajući	imati	Rr
u	u	Sl
vidu	vid	Ncmsl
da	da	Cs
su	biti	Var3p
stranke	stranka	Ncfpn
s	sa	Si
pouzdanjem	pouzdanje	Ncnsi
u	u	Sl
provedeni	provesti	Ncfsl
prvi	prvi	Mlomsan
inspekcijski	inspekcijski	Agpmsayn
postupak	postupak	Ncmsan
i	i	Cc
pravomoćnu	pravomoćan	Agpfsay
lokacijsku	lokacijski	Agpfsay
dozvolu	dozvola	Ncfsa
bile	biti	Vap-pf
uvjerenja	uvjerenje	Ncnsg
da	da	Cs
se	sebe	Px--sa
njihova	njihov	Ps3fsn
situacija	situacija	Ncfsn
neće	htjeti	Var3s
promijeniti	promijeniti	Vmn
,	,	Z
odnosno	odnosno	Rgp
,	,	Z
da	da	Cs
mogu	moći	Vmr3p
bez	bez	Sg
zapreke	zapreka	Ncfsg
dovršiti	dovršiti	Vmn
gradnju	gradnja	Ncfsa
.	.	Z

9.	9.	Mdo
Slijedom	slijed	Ncmsi
navedenog	naveden	Agpmsgy
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
su	biti	Var3p
osporenom	osporiti	Agpfsiy
odlukom	odluka	Ncfsi
Visokog	visok	Agpmsgy
upravnog	upravan	Agpmsgy
suda	sud	Ncmsg
podnositeljima	podnositelj	Ncmpd
,	,	Z
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
,	,	Z
povrijeđena	povrijediti	Appnpny
prava	pravo	Ncnpn
iz	iz	Sg
članka	članak	Ncmsg
29.	29.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Ustava	ustav	Ncmsg
.	.	Z

10.	10.	Mdo

Na	na	Sl
temelju	temelj	Ncmsl
članaka	članak	Ncmpg
73.	73.	Mdo
i	i	Cc
76.	76.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
odlučeno	odlučiti	Appnsny
je	biti	Var3s
kao	kao	Cs
u	u	Sl
izreci	izreka	Ncfsl
.	.	Z

11.	11.	Mdo

Objava	objava	Ncfsn
odluke	odluka	Ncfsg
(	(	Z
točka	točka	Ncfsn
IV	IV	Mrc
.	.	Z
izreke	izreka	Ncfpn
)	)	Z
temelji	temeljiti	Vmr3s
se	sebe	Px--sa
na	na	Sl
članku	članak	Ncmsl
29.	29.	Mdo

Ustavnog	ustavan	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

Broj	broj	Ncmsn
:	:	Z
U-III-3488	U-III-3488	X
/	/	Z
2013	2013	Mdc
Zagreb	Zagreb	Npmsn
,	,	Z
30.	30.	Mdo
lipnja	lipanj	Ncmsg
2016.	2016.	Mdo

USTAVNI	ustavan	Agpmsny
SUD	sud	Ncmsn
REPUBLIKE	republika	Ncfsg
HRVATSKE	hrvatski	Agpfsgy

Predsjednica	predsjednica	Ncfsn
Vijeća	vijeće	Ncnsg
Ingrid	Ingrid	Npmsn
Antičević	Antičević	Npmsn
Marinović	Marinović	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

