posljednjih	posljednji	Agpfpgy
5	5	Mdc
godina	godina	Ncfpg
.	.	Z

Bodovanje	bodovanje	Ncnsn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
za	za	Sa
više	mnogo	Rgc
od	od	Sg
3	3	Mdc
godine	godina	Ncfsg
u	u	Sl
Upisniku	upisnik	Ncmsl
o	o	Sl
izdanim	izdan	Agpfply
povlasticama	povlastica	Ncfpl
za	za	Sa
akvakulturu	akvakultura	Ncfsa
dobiva	dobivati	Vmr3s
3	3	Mdc
boda	bod	Ncmsg
,	,	Z
za	za	Sa
2	2	Mdc
-	-	Z
3	3	Mdc
godine	godina	Ncfsg
u	u	Sl
Upisniku	upisnik	Ncmsl
2	2	Mdc
boda	bod	Ncmsg
,	,	Z
a	a	Cc
za	za	Sa
manje	malo	Rgc
od	od	Sg
2	2	Mdc
godine	godina	Ncfsg
1	1	Mdc
bod	bod	Ncmsan
.	.	Z

Podatke	podatak	Ncmpa
o	o	Sl
navedenom	naveden	Agpnsly
Agencija	agencija	Ncfsn
za	za	Sa
poljoprivredno	poljoprivredni	Agpnsay
zemljište	zemljište	Ncnsa
pribavit	pribaviti	Vmn
će	htjeti	Var3s
od	od	Sg
Ministarstva	ministarstvo	Ncnsg
poljoprivrede	poljoprivreda	Ncfsg
.	.	Z

7.	7.	Mdo
Sastavnica	sastavnica	Ncfsn
–	–	Z
Mehanizacija	mehanizacija	Ncfsn
za	za	Sa
korištenje	korištenje	Ncnsa
i	i	Cc
održavanje	održavanje	Ncnsa
ribnjaka	ribnjak	Ncmpg
i	i	Cc
specijalizirano	specijaliziran	Agpnsny
vozilo	vozilo	Ncnsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
ribe	riba	Ncfsg

Vrednuje	vrednovati	Vmr3s
se	sebe	Px--sa
raspolaganje	raspolaganje	Ncnsn
mehanizacijom	mehanizacija	Ncfsi
za	za	Sa
korištenje	korištenje	Ncnsa
i	i	Cc
održavanje	održavanje	Ncnsa
ribnjaka	ribnjak	Ncmpg
te	te	Cc
specijaliziranim	specijaliziran	Agpnply
vozilima	vozilo	Ncnpl
za	za	Sa
prijevoz	prijevoz	Ncmsan
ribe	riba	Ncfsg
bitnima	bitan	Agpmpdy
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
(	(	Z
bager	bager	Ncmsan
/	/	Z
buldožer	buldožer	Ncmsan
/	/	Z
traktor	traktor	Ncmsan
,	,	Z
odnosno	odnosno	Rgp
specijalizirano	specijaliziran	Agpnsny
vozilo	vozilo	Ncnsn
za	za	Sa
prijevoz	prijevoz	Ncmsan
ribe	riba	Ncfsg
)	)	Z
.	.	Z

Za	za	Sa
specijalizirano	specijaliziran	Agpnsay
vozilo	vozilo	Ncnsa
kriterij	kriterij	Ncmsn
se	sebe	Px--sa
dokazuje	dokazivati	Vmr3s
preslikom	preslika	Ncfsi
prometne	prometan	Agpfsgy
dozvole	dozvola	Ncfsg
koja	koji	Pi-fsn
glasi	glasiti	Vmr3s
na	na	Sa
ponuditelja	ponuditelj	Ncmsay
,	,	Z
a	a	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
najma	najam	Ncmsg
vozila	vozilo	Ncnsg
preslikom	preslika	Ncfsi
ugovora	ugovor	Ncmsg
o	o	Sl
najmu	najam	Ncmsl
sa	sa	Si
subjektom	subjekt	Ncmsi
na	na	Sa
kojega	koji	Pi-msay
glasi	glasiti	Vmr3s
prometna	prometan	Agpfsny
dozvola	dozvola	Ncfsn
.	.	Z

Vlasništvo	vlasništvo	Ncnsn
ili	ili	Cc
najam	najam	Ncmsn
mehanizacije	mehanizacija	Ncfsg
(	(	Z
bager	bager	Ncmsn
,	,	Z
buldožer	buldožer	Ncmsn
,	,	Z
traktor	traktor	Ncmsn
)	)	Z
dokazuje	dokazivati	Vmr3s
se	sebe	Px--sa
preslikom	preslika	Ncfsi
odgovarajuće	odgovarajući	Agpfsgy
dokumentacije	dokumentacija	Ncfsg
(	(	Z
račun	račun	Ncmsan
,	,	Z
ugovor	ugovor	Ncmsn
o	o	Sl
najmu	najam	Ncmsl
)	)	Z
.	.	Z

Bodovanje	bodovanje	Ncnsn
se	sebe	Px--sa
obavlja	obavljati	Vmr3s
na	na	Sa
način	način	Ncmsan
da	da	Cs
