svojstvena	svojstven	Agpfsny
svim	sav	Agpfpiy
komponentama	komponenta	Ncfpi
cjevovoda	cjevovod	Ncmpg
,	,	Z
osim	osim	Sg
onih	onaj	Pd-mpg
označenih	označiti	Ncmpg
vanjskim	vanjski	Agpmsiy
promjerom	promjer	Ncmsi
ili	ili	Cc
veličinom	veličina	Ncfsi
navoja	navoj	Ncmsg
;	;	Z
to	taj	Pd-nsn
je	biti	Var3s
prikladan	prikladan	Agpmsnn
cijeli	cijel	Agpmsny
broj	broj	Ncmsn
koji	koji	Pi-msn
služi	služiti	Vmr3s
kao	kao	Cs
nazivna	nazivni	Agpfsny
veličina	veličina	Ncfsn
i	i	Cc
približan	približan	Agpmsnn
je	biti	Var3s
stvarnoj	stvaran	Agpfsly
dimenziji	dimenzija	Ncfsl
;	;	Z
nazivni	nazivni	Agpmsny
promjer	promjer	Ncmsn
označuje	označivati	Vmr3s
se	sebe	Px--sa
oznakom	oznaka	Ncfsi
DN	dn	Ncmsn
nakon	nakon	Sg
koje	koji	Pi-fsg
slijedi	slijediti	Vmr3s
broj	broj	Ncmsn
;	;	Z

–	–	I
»	»	Z
fluidi	fluid	Ncmpn
«	«	Z
znači	značiti	Vmr3s
plinovi	plin	Ncmpn
,	,	Z
kapljevine	kapljevina	Ncfpn
i	i	Cc
pare	para	Ncfsg
u	u	Sl
čistom	čist	Agpnsly
stanju	stanje	Ncnsl
kao	kao	Cs
i	i	Qo
njihove	njihov	Ps3fsg
mješavine	mješavina	Ncfsg
;	;	Z
fluidi	fluid	Ncmpn
mogu	moći	Vmr3p
sadržavati	sadržavati	Vmn
suspenziju	suspenzija	Ncfsa
krutih	krut	Agpfpgy
tvari	tvar	Ncfpg
;	;	Z

–	–	Z
»	»	Z
nerastavljivi	nerastavljiv	Agpmpny
spojevi	spoj	Ncmpn
«	«	Z
znači	značiti	Vmr3s
spojevi	spoj	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
mogu	moći	Vmr3p
rastaviti	rastaviti	Vmn
samo	samo	Rgp
razaranjem	razaranje	Ncnsi
;	;	Z

–	i	Agpnsny
»	»	Z
europsko	europski	Agpnsay
odobrenje	odobrenje	Ncnsa
za	za	Sa
materijale	materijal	Ncmpa
«	«	Z
znači	značiti	Vmr3s
tehnički	tehnički	Agpmsayn
dokument	dokument	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
su	biti	Var3p
opisana	opisati	Appnpny
svojstva	svojstvo	Ncnpn
materijala	materijal	Ncmsg
namijenjenog	namijeniti	Appmsgy
za	za	Sa
trajnu	trajan	Agpfsay
uporabu	uporaba	Ncfsa
u	u	Sl
proizvodnji	proizvodnja	Ncfsl
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
nije	biti	Var3s
obuhvaćen	obuhvatiti	Appmsnn
nijednom	nijedan	Agpfsiy
usklađenom	uskladiti	Agpfsiy
normom	norma	Ncfsi
;	;	Z

–	–	Z
»	»	Z
stavljanje	stavljanje	Ncnsa
na	na	Sa
raspolaganje	raspolaganje	Ncnsa
na	na	Sl
tržištu	tržište	Ncnsl
«	«	Z
znači	značiti	Vmr3s
svaka	svaki	Pi-fsn
isporuka	isporuka	Ncfsn
tlačne	tlačni	Agpfsgy
opreme	oprema	Ncfsg
ili	ili	Cc
sklopova	sklop	Ncmpg
za	za	Sa
distribuciju	distribucija	Ncfsa
