dispečiranje	dispečiranje	Ncnsn

2.	2.	Mdo
opisati	opisati	Vmn
značaj	značaj	Ncmsan
zvijezde	zvijezda	Ncfsg
života	život	Ncmsg

3.	3.	Mdo
nabrojati	nabrojati	Vmn
osnovne	osnovan	Agpmpay
zadatke	zadatak	Ncmpa
medicinske	medicinski	Agpfsgy
prijavno-dojavne	prijavno-dojavan	Agpfsgy
jedinice	jedinica	Ncfsg

4.	4.	Mdo
poznavati	poznavati	Vmn
područja	područje	Ncnpa
djelovanja	djelovanje	Ncnsg
medicinske	medicinski	Agpfsgy
prijavno-dojavne	prijavno-dojavan	Agpfsgy
jedinice	jedinica	Ncfsg

5.	5.	Mdo
objasniti	objasniti	Vmn
utjecaj	utjecaj	Ncmsan
medicinske	medicinski	Agpfsgy
prijavno-dojavne	prijavno-dojavan	Agpfsgy
jedinice	jedinica	Ncfsg
na	na	Sa
preživljavanje	preživljavanje	Ncnsa

6.	6.	Mdo
objasniti	objasniti	Vmn
ulogu	uloga	Ncfsa
MPDJ	mpdj	Ncfpg
u	u	Sl
upravljanju	upravljanje	Ncnsl
sustavom	sustav	Ncmsi
HMS	HMS	Npmsn
i	i	Cc
drugih	drugi	Mlofpg
zdravstvenih	zdravstven	Agpfpgy
djelatnosti	djelatnost	Ncfpg

7.	7.	Mdo
opisati	opisati	Vmn
nadzor	nadzor	Ncmsan
stanja	stanje	Ncnsg
timova	tim	Ncmpg
HMS	HMS	Npmsn
.	.	Z

3.	3.	Mdo
OSNOVNI	osnovan	Agpmpny
RADNI	radni	Agpmpny
PROCESI	proces	Ncmpn
MEDICINSKE	medicinski	Agpfsgy
PRIJAVNO	prijavno	Rgp
-	-	Z
-	-	Z
DOJAVNE	dojavni	Agpfsgy
JEDINICE	jedinica	Ncfsg

Završetkom	završetak	Ncmsi
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
shvatiti	shvatiti	Vmn
pet	pet	Mlc
osnovnih	osnovan	Agpmpgy
radnih	radni	Agpmpgy
procesa	proces	Ncmpg
medicinske	medicinski	Agpfsgy
prijavno-dojavne	prijavno-dojavan	Agpfsgy
jedinice	jedinica	Ncfsg
.	.	Z

Znanja	znanje	Ncnpn

Na	na	Sl
kraju	kraj	Ncmsl
ove	ovaj	Pd-fsg
tematske	tematski	Agpfsgy
cjeline	cjelina	Ncfsg
polaznik	polaznik	Ncmsn
će	htjeti	Var3s
:	:	Z

1.	1.	Mdo
nabrojati	nabrojati	Vmn
osnovne	osnovan	Agpmpay
radne	radni	Agpmpay
procese	proces	Ncmpa
MPDJ	mpda	Ncfsg

2.	2.	Mdo
objasniti	objasniti	Vmn
proces	proces	Ncmsan
preuzimanja	preuzimanje	Ncnsg
poziva	pozivati	Vmr3s

3.	3.	Mdo
definirati	definirati	Vmn
proces	proces	Ncmsan
davanja	davanje	Ncnsg
osnovnih	osnovan	Agpfpgy
uputa	uputa	Ncfpg

4.	4.	Mdo
objasniti	objasniti	Vmn
proces	proces	Ncmsan
davanja	davanje	Ncnsg
uputa	uputa	Ncfpg
za	za	Sa
pružanje	pružanje	Ncnsa
prve	prvi	Agpfsgy
pomoći	pomoć	Ncfsg
preko	preko	Sg
telefona	telefon	Ncmsg

5.	5.	Mdo
opisati	opisati	Vmn
proces	proces	Ncmsan
pružanja	pružanje	Ncnsg
intervencija	intervencija	Ncfpg

6.	6.	Mdo
opisati	opisati	Vmn
proces	proces	Ncmsan
nadziranja	nadziranje	Ncnsg
stanja	stanje	Ncnsg
timova	tim	Ncmpg
.	.	Z

4.	4.	Mdo
OSNOVE	osnova	Ncfsg
KOMUNIKACIJE	komunikacija	Ncfsg
U	u	Sl
