upravljanim	upravljati	Appmpdy
uvjetima	uvjet	Ncmpd
utvrđenim	utvrditi	Appmply
u	u	Sl
Dodatku	dodatak	Ncmsl
II	ii	Mrc
.	.	Z
,	,	Z
između	između	Sg
stvarnog	stvaran	Agpmsgy
obujma	obujam	Ncmsg
i	i	Cc
nazivnog	nazivni	Agpmsgy
obujma	obujam	Ncmsg
Vn	Vn	Pi-fpn
moraju	morati	Vmr3p
biti	biti	Van
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
sljedećom	sljedeći	Agpfsiy
tablicom	tablica	Ncfsi
:	:	Z

Nazivni	nazivni	Agpmsny
obujam	obujam	Ncmsn
Vn	Vn	Y
u	u	Sl
mililitrima	mililitar	Ncmpl
Najveće	velik	Agsnsny
dopušteno	dopustiti	Appnsny
odstupanje	odstupanje	Ncnsn
u	u	Sa
%	%	Z
od	od	Sg
Vn	vn	Ncfpg
u	u	Sl
mililitrima	mililitar	Ncmpl
od	od	Sg
50	50	Mdc
do	do	Sg
100	100	Mdc
od	od	Sg
100	100	Mdc
do	do	Sg
200	200	Mdc
od	od	Sg
200	200	Mdc
do	do	Sg
300	300	Mdc
od	od	Sg
300	300	Mdc
do	do	Sg
500	500	Mdc
od	od	Sg
500	500	Mdc
do	do	Sg
1000	1000	Mdc
od	od	Sg
1000	1000	Mdc
do	do	Sg
5	5	Mdc
000	000	Mdc
–	–	Z
3	3	Mdc
–	–	Z
2	2	Mdc
–	–	Z
1	1	Mdc
3	3	Mdc
–	–	Z
6	6	Mdc
–	–	Z
10	10	Mdc
–	–	Z

Najveće	velik	Agsnsny
dopušteno	dopustiti	Appnsny
odstupanje	odstupanje	Ncnsn
vršnog	vršni	Agpmsgy
obujma	obujam	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
jednako	jednako	Rgp
najvećem	velik	Agsmsly
dopuštenom	dopustiti	Agpnsdy
odstupanju	odstupanje	Ncnsd
odgovarajućeg	odgovarajući	Agpmsgy
nazivnog	nazivni	Agpmsgy
obujma	obujam	Ncmsg
.	.	Z

Zabranjena	zabraniti	Appfsny
je	biti	Var3s
sustavna	sustavan	Agpfsny
uporaba	uporaba	Ncfsn
dopuštenih	dopustiti	Agpnpgy
odstupanja	odstupanje	Ncnpg
.	.	Z

4.	4.	Mdo
U	u	Sl
praksi	praksa	Ncfsl
se	sebe	Px--sa
stvarni	stvaran	Agpmsny
obujam	obujam	Ncmsn
boce	boca	Ncfsg
kao	kao	Cs
mjernog	mjerni	Agpmsgy
spremnika	spremnik	Ncmsg
mora	morati	Vmr3s
provjeriti	provjeriti	Vmn
određivanjem	određivanje	Ncnsi
količine	količina	Ncfsg
vode	voda	Ncfsg
na	na	Sa
20	20	Mdc
°	°	Z
C	C	X
koju	koji	Pi-fsa
boca	boca	Ncfsn
stvarno	stvarno	Rgp
sadržava	sadržavati	Vmr3s
kad	kad	Cs
je	biti	Var3s
napunjena	napuniti	Appfsny
do	do	Sg
razine	razina	Ncfsg
koja	koji	Pi-fsn
teoretski	teoretski	Rgp
odgovara	odgovarati	Vmr3s
nazivnom	nazivni	Agpmsly
obujmu	obujam	Ncmsl
.	.	Z

To	taj	Pd-nsn
se	sebe	Px--sa
također	također	Rgp
može	moći	Vmr3s
provjeriti	provjeriti	Vmn
neizravno	neizravno	Rgp
metodom	metoda	Ncfsi
istovrijedne	istovrijedan	Agpfsgy
točnosti	točnost	Ncfsg
.	.	Z

5.	5.	Mdo
Boce	boca	Ncfpn
kao	kao	Cs
mjerni	mjerni	Agpmpny
spremnici	spremnik	Ncmpn
moraju	morati	Vmr3p
imati	imati	Vmn
znak	znak	Ncmsan
proizvođača	proizvođač	Ncmsg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
.	.	Z

Znak	znak	Ncmsn
proizvođača	proizvođač	Ncmsg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
predlaže	predlagati	Vmr3s
proizvođač	proizvođač	Ncmsn
,	,	Z
a	a	Cc
odobrava	odobravati	Vmr3s
Državni	državni	Agpmsny
zavod	zavod	Ncmsn
za	za	Sa
mjeriteljstvo	mjeriteljstvo	Ncnsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
Zavod	zavod	Ncmsn
)	)	Z
na	na	Sl
temelju	temelj	Ncmsl
zahtjeva	zahtjev	Ncmpg
.	.	Z

Zahtjev	zahtjev	Ncmsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
:	:	Z

1.	1.	Mdo
opis	opis	Ncmsan
i	i	Cc
sliku	slika	Ncfsa
znaka	znak	Ncmsg
proizvođača	proizvođač	Ncmsg
,	,	Z

2.	2.	Mdo
izjavu	izjava	Ncfsa
o	o	Sl
izvornosti	izvornost	Ncfsl
znaka	znak	Ncmsg
,	,	Z

3.	3.	Mdo
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
o	o	Sl
mjernim	mjerni	Agpmply
spremnicima	spremnik	Ncmpl
i	i	Cc

4.	4.	Mdo
izjavu	izjava	Ncfsa
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
zahtjeva	zahtjev	Ncmpg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

Zavod	zavod	Ncmsn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
jednog	jedan	Mlcmsg
mjeseca	mjesec	Ncmsg
o	o	Sl
tome	taj	Pd-nsl
obavijestiti	obavijestiti	Vmn
mjerodavna	mjerodavan	Agpnpay
tijela	tijelo	Ncnpa
drugih	drugi	Agpfpgy
država	država	Ncfpg
članica	članica	Ncfpg
i	i	Cc
Europsku	europski	Agpfsay
komisiju	komisija	Ncfsa
.	.	Z

Ako	ako	Cs
postoji	postojati	Vmr3s
mogućnosti	mogućnost	Ncfpa
zamjene	zamjena	Ncfsg
predloženog	predložen	Agpmsgy
znaka	znak	Ncmsg
proizvođača	proizvođač	Ncmsg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
s	sa	Si
nekim	neki	Agpmsiy
odobrenim	odobren	Agpmsiy
znakom	znak	Ncmsi
proizvođača	proizvođač	Ncmsg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
,	,	Z
na	na	Sa
traženje	traženje	Ncnsa
Zavoda	zavod	Ncmsg
,	,	Z
zahtjevatelj	zahtjevatelj	Agpmpgy
znaka	znak	Ncmpg
proizvođača	proizvođač	Ncmpg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
treba	trebati	Vmr3s
:	:	Z

1.	1.	Mdo
promijeniti	promijeniti	Vmn
predloženi	predložen	Agpmsayn
znak	znak	Ncmsan
proizvođača	proizvođač	Ncmsg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
,	,	Z

2.	2.	Mdo
unijeti	unijeti	Vmn
dodatna	dodatan	Agpnpay
slova	slovo	Ncnpa
ili	ili	Cc
brojke	brojka	Ncfsg
u	u	Sa
predloženi	predložen	Agpmsayn
znak	znak	Ncmsan
proizvođača	proizvođač	Ncmsg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
.	.	Z

Proizvođač	proizvođač	Ncmsn
mora	morati	Vmr3s
sa	sa	Si
svojom	svoj	Agpfsiy
odgovornošću	odgovornost	Ncfsi
staviti	staviti	Vmn
znak	znak	Ncmsan
»	»	Z
з	з	X
«	«	Z
,	,	Z
(	(	Z
obrnuto	obrnuti	Agpnsny
slovo	slovo	Ncnsn
epsilon	epsilon	Ncmsn
)	)	Z
na	na	Sa
način	način	Ncmsan
kako	kako	Cs
je	biti	Var3s
uređeno	urediti	Appnsny
propisom	propis	Ncmsi
o	o	Sl
zajedničkim	zajednički	Agpfply
odredbama	odredba	Ncfpl
za	za	Sa
mjerila	mjerilo	Ncnpa
i	i	Cc
metodama	metoda	Ncfpd
mjeriteljskog	mjeriteljski	Agpmsgy
nadzora	nadzor	Ncmsg
,	,	Z
kojim	koji	Pi-msi
se	sebe	Px--sa
potvrđuje	potvrđivati	Vmr3s
da	da	Cs
određena	određen	Agpfsny
boca	boca	Ncfsn
zadovoljava	zadovoljavati	Vmr3s
zahtjeve	zahtjev	Ncmpa
navedenog	naveden	Agpmsgy
Pravilnika	pravilnik	Ncmsg
i	i	Cc
njegovih	njegov	Ps3mpg
Dodataka	dodatak	Ncmpg
.	.	Z

Znak	znak	Ncmsn
»	»	Z
з	i	Agpnsgy
«	«	Z
mora	morati	Vmr3s
imati	imati	Vmn
visinu	visina	Ncfsa
od	od	Sg
barem	barem	Rgp
3	3	Mdc
mm	mm	Y
.	.	Z

6.	6.	Mdo
Nadzor	nadzor	Ncmsn
nad	nad	Si
primjenom	primjena	Ncfsi
odredaba	odredba	Ncfpg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obavlja	obavljati	Vmr3s
Zavod	zavod	Ncmsn
ispitivanjem	ispitivanje	Ncnsi
boca	boca	Ncfpg
kao	kao	Cs
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
postupkom	postupak	Ncmsi
slučajnog	slučajan	Agpnsgy
uzorkovanja	uzorkovanje	Ncnsg
na	na	Sl
mjestu	mjesto	Ncnsl
proizvodnje	proizvodnja	Ncfsg
ili	ili	Cc
ako	ako	Cs
to	taj	Pd-nsn
nije	biti	Var3s
praktično	praktičan	Agpnsny
moguće	moguć	Agpnsny
u	u	Sl
prostorijama	prostorija	Ncfpl
uvoznika	uvoznik	Ncmsg
ili	ili	Cc
njegova	njegov	Ps3msg
zastupnika	zastupnik	Ncmsg
.	.	Z

Za	za	Sa
ispitivanje	ispitivanje	Ncnsa
boca	boca	Ncfpg
kao	kao	Cs
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
primjenjuje	primjenjivati	Vmr3s
se	sebe	Px--sa
postupak	postupak	Ncmsn
ispitivanja	ispitivanje	Ncnsg
utvrđen	utvrditi	Appmsnn
u	u	Sl
Dodatku	Dodatk	Npmsl
II	ii	Ncfsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

7.	7.	Mdo
Ovaj	ovaj	Pd-msn
Pravilnik	pravilnik	Ncmsn
unaprijed	unaprijed	Rgp
ne	ne	Qz
isključuje	isključivati	Vmr3s
nikakve	nikakav	Agpfpay
provjere	provjera	Ncfpa
koje	koji	Pi-fpn
može	moći	Vmr3s
provoditi	provoditi	Vmn
Zavod	zavod	Ncmsan
tijekom	tijekom	Sg
trgovine	trgovina	Ncfsg
.	.	Z

8.	8.	Mdo
Boca	boca	Ncfsn
kao	kao	Cs
mjerni	mjerni	Agpmsny
spremnik	spremnik	Ncmsn
mora	morati	Vmr3s
nositi	nositi	Vmn
sljedeće	sljedeći	Agpfpay
neizbrisive	neizbrisiv	Agpfpay
,	,	Z
lako	lako	Rgp
čitljive	čitljiv	Agpfpny
i	i	Cc
vidljive	vidljiv	Agpfsgy
oznake	oznaka	Ncfsg
:	:	Z

8.1	8.1	Mdc
na	na	Sl
svojoj	svoj	Px-fsl
bočnoj	bočni	Agpfsly
strani	strana	Ncfsl
,	,	Z
na	na	Sl
obrubu	obrub	Ncmsl
dna	dno	Ncnsg
ili	ili	Cc
na	na	Sl
samome	sam	Agpnsly
dnu	dno	Ncnsl
:	:	Z

8.1.1	8.1.1	Agpmsny
nazivni	nazivni	Agpmsny
obujam	obujam	Ncmsn
–	–	Z
u	u	Sl
mililitrima	mililitar	Ncmpl
,	,	Z
centilitrima	centilitr	Ncmpi
ili	ili	Cc
litrama	litra	Ncfpi
,	,	Z
brojkama	brojka	Ncfpl
visine	visina	Ncfsg
od	od	Sg
najmanje	malo	Rgs
6	6	Mdc
mm	mm	Y
,	,	Z
ako	ako	Cs
je	biti	Var3s
nazivni	nazivni	Agpmsny
obujam	obujam	Ncmsn
veći	velik	Agcmsny
do	do	Sg
100	100	Mdc
cl	c	Ncmpg
,	,	Z
visine	visina	Ncfsg
4	4	Mdc
mm	mm	Y
ako	ako	Cs
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
području	područje	Ncnsl
od	od	Sg
100	100	Mdc
cl	cl	Ncfpg
naniže	nanizati	Vmr3s
do	do	Sg
,	,	Z
ali	ali	Cc
ne	ne	Qz
uključivo	uključivo	Rgp
,	,	Z
20	20	Mdc
cl	c	Ncmpg
i	i	Cc
visine	visina	Ncfsg
3	3	Mdc
mm	mm	Y
ako	ako	Cs
nije	biti	Var3s
veća	velik	Agcfsny
od	od	Sg
20	20	Mdc
cl	c	Ncmpg
,	,	Z
izražen	izraziti	Appmsnn
u	u	Sl
mjernoj	mjerni	Agpfsly
jedinici	jedinica	Ncfsl
za	za	Sa
obujam	obujam	Ncmsan
ili	ili	Cc
znakom	znak	Ncmsi
mjerne	mjerni	Agpfsgy
jedinice	jedinica	Ncfsg
za	za	Sa
obujam	obujam	Ncmsan

8.1.2	8.1.2	Agpmsny
odobreni	odobren	Agpmsny
znak	znak	Ncmsn
proizvođača	proizvođač	Ncmsg
mjernih	mjerni	Agpmpgy
spremnika	spremnik	Ncmpg
propisan	propisati	Appmsnn
u	u	Sl
prvom	prvi	Mlomsl
stavku	stavak	Ncmsl
točke	točka	Ncfsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Dodatka	dodatak	Ncmsg
.	.	Z

8.1.3	8.1.3	Agpmsny
znak	znak	Ncmsn
propisan	propisati	Appmsnn
u	u	Sl
šestom	šesti	Mlomsl
i	i	Cc
sedmom	sedmi	Mlomsl
stavku	stavak	Ncmsl
točke	točka	Ncfsg
