učinkovitost	učinkovitost	Ncfsn
obveznih	obvezan	Agpmpgy
uređaja	uređaj	Ncmpg
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa
.	.	Z

(	(	Z
23	23	Mdc
)	)	Z
Najmanje	malo	Rgs
jedan	jedan	Mlcmsn
bočni	bočni	Agpmsny
katadiopter	katadiopter	Ncmsn
mora	morati	Vmr3s
biti	biti	Van
postavljen	postaviti	Appmsnn
na	na	Sa
srednju	srednji	Agpfsay
trećinu	trećina	Ncfsa
vozila	vozilo	Ncnsg
,	,	Z
s	sa	Si
tim	taj	Pd-nsi
da	da	Cs
bočni	bočni	Agpmsny
katadiopter	katadiopter	Ncmsn
najbliži	blizak	Agsmsny
prednjoj	prednji	Agpfsdy
stani	Stane	Ncfsd
vozila	vozilo	Ncnpg
nije	biti	Var3s
udaljen	udaljiti	Appmsnn
više	mnogo	Rgc
od	od	Sg
3	3	Mdc
m	m	Y
od	od	Sg
prednje	prednji	Agpfsgy
strane	strana	Ncfsg
vozila	vozilo	Ncnsg
,	,	Z
a	a	Cc
kod	kod	Sg
priključnih	priključni	Agpnpgy
vozila	vozilo	Ncnpg
prilikom	prilikom	Sg
mjerenja	mjerenje	Ncnsg
te	taj	Pd-fsg
udaljenosti	udaljenost	Ncfsg
mora	morati	Vmr3s
se	sebe	Px--sa
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
duljina	duljina	Ncfpg
ruda	rudo	Ncnsg
.	.	Z

(	(	Z
24	24	Mdc
)	)	Z
Udaljenost	udaljenost	Ncfsn
između	između	Sg
dva	dva	Mlc
susjedna	susjedni	Agpmsgn
katadioptera	katadiopter	Ncmsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veća	velik	Agcfsny
od	od	Sg
3	3	Mdc
m	m	Y
,	,	Z
osim	osim	Rgp
za	za	Sa
vozila	vozilo	Ncnpa
kategorije	kategorija	Ncfpa
M1	M1	Pi-fpa
i	i	Cc
N1	ni	Agpnsny
.	.	Z

(	(	Z
25	25	Mdc
)	)	Z
Ako	ako	Cs
konstrukcija	konstrukcija	Ncfsn
vozila	vozilo	Ncnpg
ne	ne	Qz
omogućuje	omogućivati	Vmr3s
propisanu	propisati	Agpfsay
udaljenost	udaljenost	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
24.	24.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
između	između	Sg
dva	dva	Mlc
susjedna	susjedni	Agpmsgn
katadioptera	katadiopter	Ncmsg
,	,	Z
udaljenost	udaljenost	Ncfsn
se	sebe	Px--sa
može	moći	Vmr3s
povećati	povećati	Vmn
na	na	Sa
4	4	Mdc
m.	m.	Y
Udaljenost	udaljenost	Ncfsn
između	između	Sg
krajnjeg	krajnji	Agpmsgy
stražnjeg	stražnji	Agpmsgy
bočnog	bočni	Agpmsgy
katadioptera	katadiopter	Ncmsg
i	i	Cc
stražnje	stražnji	Agpfsgy
strane	strana	Ncfsg
vozila	vozilo	Ncnsg
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
veća	velik	Agcfsny
od	od	Sg
1	1	Mdc
m.	m.	Y

(	(	Z
26	26	Mdc
)	)	Z
Rubovi	rub	Ncmpn
prividne	prividan	Agpfsgy
površine	površina	Ncfsg
ne	ne	Qz
smiju	smjeti	Vmr3p
biti	biti	Van
udaljeni	udaljiti	Appmpny
manje	malo	Rgc
od	od	Sg
250	250	Mdc
mm	mm	Y
i	i	Cc
ne	ne	Qz
više	mnogo	Rgc
od	od	Sg
900	900	Mdc
mm	mm	Y
iznad	iznad	Sg
tla	tlo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
1500	1500	Mdc
mm	mm	Y
ako	ako	Cs
oblik	oblik	Ncmsn
nadogradnje	nadogradnja	Ncfsg
onemogućuje	onemogućivati	Vmr3s
smještaj	smještaj	Ncmsan
unutar	unutar	Sg
900	900	Mdc
mm	mm	Y
.	.	Z

(	(	Z
27	27	Mdc
)	)	Z
Osvjetljavajuća	osvjetljavajući	Agpfsny
površina	površina	Ncfsn
katadioptera	katadiopter	Ncmpg
može	moći	Vmr3s
imati	imati	Vmn
zajedničke	zajednički	Agpmpay
dijelove	dio	Ncmpa
s	sa	Si
prividnom	prividan	Agpfsiy
površinom	površina	Ncfsi
bilo	bilo	Qo
kojeg	koji	Pi-msg
drugog	drugi	Mlomsg
bočnog	bočni	Agpnsgy
svjetla	svjetlo	Ncnsg
.	.	Z

(	(	Z
28	28	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
na	na	Sa
vojna	vojni	Agpnpay
