nepromjenljiva	nepromjenljiv	Agpmsgn
intenziteta	intenzitet	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osim	osim	Sg
uređaja	uređaj	Ncmpg
za	za	Sa
davanje	davanje	Ncnsa
zvučnih	zvučan	Agpmpgy
znakova	znak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
na	na	Sl
određenim	određen	Agpmply
motornim	motoran	Agpmply
vozilima	vozilo	Ncmpl
medicinske	medicinski	Agpfsgy
službe	služba	Ncfsg
,	,	Z
vatrogasne	vatrogasan	Agpfsgy
službe	služba	Ncfsg
,	,	Z
ministarstva	ministarstvo	Ncnsg
nadležnog	nadležan	Agpnsgy
za	za	Sa
unutarnje	unutarnji	Agpmpay
poslove	posao	Ncmpa
,	,	Z
oružanih	oružan	Agpfpgy
snaga	snaga	Ncfpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
odnosno	odnosno	Rgp
na	na	Sa
vozila	vozilo	Ncnpa
pod	pod	Si
pratnjom	pratnja	Ncfsi
i	i	Cc
vozila	vozilo	Ncnpg
s	sa	Si
pravom	prav	Agpfsiy
prednosti	prednost	Ncfsi
prolaza	prolaz	Ncmpg
utvrđena	utvrditi	Appfsny
zakonom	zakon	Ncmsi
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
sigurnost	sigurnost	Ncfsn
prometa	promet	Ncmsg
na	na	Sl
cestama	cesta	Ncfpl
,	,	Z
može	moći	Vmr3s
biti	biti	Van
ugrađen	ugraditi	Appmsnn
i	i	Cc
izveden	izvesti	Appmsnn
i	i	Cc
poseban	poseban	Agpmsann
uređaj	uređaj	Ncmsan
za	za	Sa
davanje	davanje	Ncnsa
znakova	znak	Ncmpg
od	od	Sg
niza	niz	Ncmsg
izmjeničnih	izmjeničan	Agpmpgy
zvukova	zvuk	Ncmpg
dviju	dva	Mlcf-g
različitih	različit	Agpfpgy
frekvencija	frekvencija	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Komanda	komanda	Ncfsn
uređaja	uređaj	Ncmpg
za	za	Sa
davanje	davanje	Ncnsa
zvučnih	zvučan	Agpmpgy
znakova	znak	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
postavljena	postaviti	Appfsny
tako	tako	Cs
da	da	Cs
je	biti	Var3s
pristupačna	pristupačan	Agpfsny
vozaču	vozač	Ncfsn
za	za	Sa
vrijeme	vrijeme	Ncnsa
vožnje	vožnja	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
davanje	davanje	Ncnsa
zvučnih	zvučan	Agpmpgy
znakova	znak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
konstruiran	konstruirati	Appmsnn
tako	tako	Cs
da	da	Cs
se	sebe	Px--sa
njegovim	njegov	Vmr3s
uključenjem	uključenje	Ncnsi
istodobno	istodobno	Rgp
uključuje	uključivati	Vmr3s
rotacijska	rotacijski	Agpfsny
ili	ili	Cc
treptava	treptav	Agpnpay
svjetla	svjetlo	Ncnpa
na	na	Sl
vozilima	vozilo	Ncnpl
iz	iz	Sg
članka	članak	Ncmsg
42.	42.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
80.	80.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ostali	ostali	Agpmpny
kontrolni	kontrolan	Agpmpny
uređaji	uređaj	Ncmpn
na	na	Sl
vozilima	vozilo	Ncnpl
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
su	biti	Var3p
:	:	Z

a	a	Cc
)	)	Z
pokazivač	pokazivač	Ncmsn
raspoloživog	raspoloživ	Agpmsgy
tlaka	tlak	Ncmsg
pneumatičkog	pneumatički	Agpmsgy
uređaja	uređaj	Ncmsg
radne	radni	Agpfsgy
kočnice	kočnica	Ncfsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
taj	taj	Pd-msn
uređaj	uređaj	Ncmsn
stalno	stalno	Rgp
pod	pod	Si
tlakom	tlak	Ncmsi
kojim	koji	Pi-msi
moraju	morati	Vmr3p
biti	biti	Van
opremljena	opremiti	Appnpny
vozila	vozilo	Ncnsg
kategorija	kategorija	Ncfsn
M2	ma	Ncfsg
,	,	Z
M3	mi	Agpnsny
,	,	Z
N2	N	Npmsl
i	i	Cc
N3	N3	X

b	b	Npmsn
)	)	Z
standardiziran	standardizirati	Appmsnn
priključak	priključak	Ncmsn
za	za	Sa
kontrolu	kontrola	Ncfsa
tlaka	tlak	Ncmsg
kočne	kočni	Agpfsgy
instalacije	instalacija	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
na	na	Sl
spremniku	spremnik	Ncmsl
energije	energija	Ncfsg
,	,	Z
kočnim	kočni	Agpmply
cilindrima	cilindar	Ncmpl
kao	kao	Cs
i	i	Qo
na	na	Sl
svim	sav	Agpmply
uređajima	uređaj	Ncmpl
na	na	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
tlak	tlak	Ncmsn
unutar	unutar	Sg
kočne	kočni	Agpfsgy
instalacije	instalacija	Ncfsg
transformira	transformirati	Vmr3s
sukladno	sukladno	Rgp
Direktivi	direktiva	Ncfsl
71/320	71/320	Mdc
/	/	Z
EEC	EEC	Npmsn
,	,	Z
na	na	Sl
svim	sav	Agpnply
vozilima	vozilo	Ncnpl
opremljenim	opremiti	Appmply
zračnom	zračan	Agpfsiy
ili	ili	Cc
zračno	zračno	Rgp
hidrauličnom	hidrauličan	Agpfsiy
kočnom	kočni	Agpfsiy
instalacijom	instalacija	Ncfsi
,	,	Z
a	a	Cc
koja	koji	Pi-fsn
su	biti	Var3p
prvi	prvi	Mlomsan
put	put	Rgp
registrirana	registrirati	Appfsny
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
nakon	nakon	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
1984.	1984.	Mdo
godine	godina	Ncfsg

c	C	Npmsn
)	)	Z
svjetlosni	svjetlosni	Agpmsny
znak	znak	Ncmsn
za	za	Sa
kontrolu	kontrola	Ncfsa
zatvorenosti	zatvorenost	Ncfsg
vrata	vrat	Ncmsg
i	i	Cc
uređaj	uređaj	Ncmsan
za	za	Sa
