opremljena	opremiti	Appfsny
osvjetljenim	osvjetljen	Agpmsiy
brzinomjerom	brzinomjer	Ncmsi
s	sa	Si
putomjerom	putomjera	Ncfsi
.	.	Z

Članak	članak	Ncmsn
134.	134.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
davanje	davanje	Ncnsa
zvučnih	zvučan	Agpmpgy
znakova	znak	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
ugrađen	ugraditi	Appmsnn
i	i	Cc
izveden	izvesti	Appmsnn
kao	kao	Cs
najmanje	malo	Rgs
jedan	jedan	Mlcmsn
uređaj	uređaj	Ncmsn
tako	tako	Cs
da	da	Cs
daje	davati	Vmr3s
jednolične	jednoličan	Agpmpay
zvukove	zvuk	Ncmpa
nepromjenljiva	nepromjenljiv	Agpmsgn
intenziteta	intenzitet	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prekidač	prekidač	Ncmsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
uređaja	uređaj	Ncmpg
za	za	Sa
davanje	davanje	Ncnsa
zvučnih	zvučan	Agpmpgy
znakova	znak	Ncmpg
mora	morati	Vmr3s
biti	biti	Van
postavljen	postaviti	Appmsnn
tako	tako	Cs
da	da	Cs
je	biti	Var3s
pristupačan	pristupačan	Agpmsnn
vozaču	vozač	Ncmsd
za	za	Sa
vrijeme	vrijeme	Ncnsa
vožnje	vožnja	Ncfsg
.	.	Z

10.	10.	Mdo

Uređaj	uređaj	Ncmsn
za	za	Sa
spajanje	spajanje	Ncnsa
vučnog	vučni	Agpmsgy
i	i	Cc
priključnog	priključni	Agpnsgy
vozila	vozilo	Ncnsg

Članak	članak	Ncmsn
135.	135.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uređaj	uređaj	Ncmsn
za	za	Sa
spajanje	spajanje	Ncnsa
vučnog	vučni	Agpmsgy
i	i	Cc
priključnog	priključni	Agpnsgy
vozila	vozilo	Ncnsg
,	,	Z
osim	osim	Cs
za	za	Sa
vozila	vozilo	Ncnpa
kategorije	kategorija	Ncfpa
L4	i	Agpnsgy
,	,	Z
mora	morati	Vmr3s
biti	biti	Van
postavljen	postaviti	Appmsnn
u	u	Sl
uzdužnoj	uzdužan	Agpfsly
simetričnoj	simetričan	Agpfsly
vertikalnoj	vertikalan	Agpfsly
ravnini	ravnina	Ncfsl
vozila	vozilo	Ncnpg
i	i	Cc
izveden	izvesti	Appmsnn
tako	tako	Cs
da	da	Cs
omogućuje	omogućivati	Vmr3s
pokretljivost	pokretljivost	Ncfsa
uređaja	uređaj	Ncmpg
u	u	Sl
svim	sav	Agpmply
smjerovima	smjer	Ncmpl
