najviše	mnogo	Rgs
dvije	dva	Mlcf-n
prikolice	prikolica	Ncfsg
uz	uz	Sa
uvjet	uvjet	Ncmsan
da	da	Cs
su	biti	Var3p
na	na	Sl
prikolicama	prikolica	Ncfpl
kočeni	kočiti	Appmpny
svi	sav	Agpmpny
kotači	kotač	Ncmpn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Prikolica	prikolica	Ncfsn
ne	ne	Qz
mora	morati	Vmr3s
imati	imati	Vmn
radnu	radni	Agpfsay
kočnicu	kočnica	Ncfsa
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
joj	on	Pp3fsd
:	:	Z

–	–	Z
najveća	velik	Agsfsny
brzina	brzina	Ncfsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y

–	–	Pp3npn
najveća	velik	Agsfsny
dopuštena	dopustiti	Appfsny
masa	masa	Ncfsn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
3,50	3,50	Mdc
t	t	X

–	i	Agpfsny
masa	masa	Ncfsn
vučnog	vučni	Agpmsgy
traktora	traktor	Ncmsg
je	biti	Var3s
dva	dva	Mlc
puta	puta	Rgp
veća	velik	Agcfsny
od	od	Sg
zbroja	zbroj	Ncmsg
mase	masa	Ncfsg
prikolice	prikolica	Ncfsg
i	i	Cc
mase	masa	Ncfsg
tereta	teret	Ncmsg
koji	koji	Pi-msn
trenutno	trenutno	Rgp
prevozi	prevoziti	Vmr3s
.	.	Z

3.	3.	Mdo
Uređaji	uređaj	Ncmpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa

Članak	članak	Ncmsn
145.	145.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uređaji	uređaj	Ncmpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa
na	na	Sl
vozilima	vozilo	Ncnpl
kategorije	kategorija	Ncfsg
T	T	X
i	i	Cc
R	a	Ncfpn
moraju	morati	Vmr3p
biti	biti	Van
odobreni	odobriti	Appmpny
,	,	Z
te	te	Cc
ugrađeni	ugraditi	Appmpny
sukladno	sukladno	Rgp
Direktivi	direktiva	Ncfsd
78/933	78/933	Mdc
/	/	Z
EEC	EEC	Npmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Vozila	vozilo	Ncnsg
za	za	Sa
čije	čiji	Pi-mpa
uređaje	uređaj	Ncmpa
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa
nisu	biti	Var3p
bili	biti	Vap-pm
propisani	propisati	Appmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
odobravanje	odobravanje	Ncnsa
u	u	Sa
vrijeme	vrijeme	Ncnsa
njihovog	njihov	Ps3nsg
puštanja	puštanje	Ncnsg
u	u	Sa
promet	promet	Ncmsan
ili	ili	Cc
proizvodnje	proizvodnja	Ncfsg
,	,	Z
moraju	morati	Vmr3p
udovoljiti	udovoljiti	Vmn
uvjetima	uvjet	Ncmpd
koji	koji	Pi-mpn
su	biti	Var3p
propisani	propisati	Appmpny
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Članak	članak	Ncmsn
146.	146.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uređaji	uređaj	Ncmpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa
na	na	Sl
traktorima	traktor	Ncmpl
i	i	Cc
prikolicama	prikolica	Ncfpl
,	,	Z
sukladno	sukladno	Rgp
ovom	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
su	biti	Var3p
:	:	Z

1	1	Mdc
)	)	Z
dugo	dugo	Rgp
glavno	glavni	Agpnsny
svjetlo	svjetlo	Ncnsn

2	2	Mdc
)	)	Z
kratko	kratak	Agpnsny
glavno	glavni	Agpnsny
svjetlo	svjetlo	Ncnsn

3	3	Mdc
)	)	Z
prednje	prednji	Agpfsgy
svjetla	svjetlo	Ncnsg
za	za	Sa
maglu	magla	Ncfsa

4	4	Mdc
)	)	Z
svjetlo	svjetlo	Ncnsa
za	za	Sa
vožnju	vožnja	Ncfsa
unatrag	unatrag	Rgp

5	5	Mdc
)	)	Z
pokazivači	pokazivač	Ncmpn
smjera	smjer	Ncmsg

6	6	Mdc
)	)	Z
upozoravajući	upozoravajući	Agpmsny
signal	signal	Ncmsn
opasnosti	opasnost	Ncfsg

7	7	Mdc
)	)	Z
kočno	kočni	Agpnsay
svjetlo	svjetlo	Ncnsa

8	8	Mdc
)	)	Z
svjetlo	svjetlo	Ncnsa
stražnje	stražnji	Agpfsgy
registracijske	registracijski	Agpfsgy
pločice	pločica	Ncfsg

9	9	Mdc
)	)	Z
prednje	prednji	Agpnsny
pozicijsko	pozicijski	Agpnsny
svjetlo	svjetlo	Ncnsn

10	10	Mdc
)	)	Z
stražnje	stražnji	Agpnsny
pozicijsko	pozicijski	Agpnsny
svjetlo	svjetlo	Ncnsn

11	11	Mdc
)	)	Z
stražnje	stražnji	Agpnsay
svjetlo	svjetlo	Ncnsa
za	za	Sa
maglu	magla	Ncfsa

12	12	Mdc
)	)	Z
parkirno	parkirni	Agpnsny
svjetlo	svjetlo	Ncnsn

13	13	Mdc
)	)	Z
gabaritno	gabaritan	Agpnsay
svjetlo	svjetlo	Ncnsa

14	14	Mdc
)	)	Z
stražnji	stražnji	Agpmsny
netrokutasti	netrokutast	Agpmsny
katadiopter	katadiopter	Ncmsn

15	15	Mdc
)	)	Z
stražnji	stražnji	Agpmsny
trokutasti	trokutast	Agpmsny
katadiopter	katadiopter	Ncmsn

16	16	Mdc
)	)	Z
prednji	prednji	Agpmsny
netrokutasti	netrokutast	Agpmsny
katadiopter	katadiopter	Ncmsn

17	17	Mdc
)	)	Z
svjetla	svjetlo	Ncnsg
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
mjesta	mjesto	Ncnsg
na	na	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
izvode	izvoditi	Vmr3p
radovi	rad	Ncmpn

18	18	Mdc
)	)	Z
pokretno	pokretan	Agpnsay
svjetlo	svjetlo	Ncnsa

19	19	Mdc
)	)	Z
uređaji	uređaj	Ncmpn
za	za	Sa
davanje	davanje	Ncnsa
posebnih	poseban	Agpmpgy
svjetlosnih	svjetlosni	Agpmpgy
znakova	znak	Ncmpg

20	20	Mdc
)	)	Z
dodatna	dodatan	Agpnpny
svjetla	svjetlo	Ncnpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
ceste	cesta	Ncfsg

21	21	Mdc
)	)	Z
ostale	ostali	Agpfpay
retroreflektirajuće	retroreflektirajući	Agpfpay
ploče	ploča	Ncfpa
i	i	Cc
odsjevni	odsjevan	Agpmpny
signali	signal	Ncmpn
i	i	Cc
sl.	sl.	Y

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sl
traktorima	traktor	Ncmpl
i	i	Cc
prikolicama	prikolica	Ncfpl
,	,	Z
osim	osim	Sg
uređaja	uređaj	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
iznimno	iznimno	Rgp
se	sebe	Px--sa
mogu	moći	Vmr3p
postaviti	postaviti	Vmn
bočni	bočni	Agpmsayn
netrokutasti	netrokutast	Agpmsayn
katadiopteri	katadiopter	Ncmpn
,	,	Z
bočna	bočni	Agpnpny
svjetla	svjetlo	Ncnpn
za	za	Sa
označavanje	označavanje	Ncnsa
,	,	Z
dnevno	dnevni	Agpnsay
svjetlo	svjetlo	Ncnsa
,	,	Z
svjetlo	svjetlo	Ncnsa
za	za	Sa
skretanje	skretanje	Ncnsa
,	,	Z
retroreflektirajuće	retroreflektirajući	Agpfsgy
trake	traka	Ncfsg
za	za	Sa
označavanje	označavanje	Ncnsa
konture	kontura	Ncfsg
vozila	vozilo	Ncnsg
i	i	Cc
ostali	ostali	Agpmpny
uređaji	uređaj	Ncmpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
homologacijskim	homologacijski	Agpmpiy
zahtjevima	zahtjev	Ncmpi
za	za	Sa
ugradnju	ugradnja	Ncfsa
pojedinih	pojedini	Agpmpgy
uređaja	uređaj	Ncmpg
.	.	Z

Članak	članak	Ncmsn
147.	147.	Mdo

Uređaji	uređaj	Ncmpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
ceste	cesta	Ncfsg
smiju	smjeti	Vmr3p
emitirati	emitirati	Vmn
sljedeće	sljedeći	Agpfpay
boje	boja	Ncfpa
svjetlosti	svjetlost	Ncfsg
:	:	Z

Grupa	grupa	Ncfsn
uređaja	uređaj	Ncmpg
Naziv	naziv	Ncmsn
sklopa	sklop	Ncmsg
Boja	boja	Ncfsn
svjetla	svjetlo	Ncnsg
Uređaji	uređaj	Ncmpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
ceste	cesta	Ncfsg
Dugo	dug	Agpnsay
svjetlo	svjetlo	Ncnsa
bijela	bijel	Agpfsny
Kratko	kratak	Agpnsny
svjetlo	svjetlo	Ncnsn
bijela	bijel	Agpnpay
Prednja	prednji	Agpnpay
svjetla	svjetlo	Ncnpa
za	za	Sa
maglu	magla	Ncfsa
bijela	bijel	Agpfsny
ili	ili	Cc
žuta	žut	Agpfsny
Svjetlo	svjetlo	Ncnsa
za	za	Sa
vožnju	vožnja	Ncfsa
unatrag	unatrag	Rgp
bijela	bijel	Agpnpny
Svjetla	svjetlo	Ncnpn
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
mjesta	mjesto	Ncnsg
na	na	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
izvode	izvoditi	Vmr3p
radovi	rad	Ncmpn
bijela	bijel	Agpfsny
ili	ili	Cc
žuta	žut	Agpfsny
Pokretno	pokretan	Agpnsny
svjetlo	svjetlo	Ncnsn
(	(	Z
reflektor	reflektor	Ncmsn
)	)	Z
bijela	bijel	Agpfsny
ili	ili	Cc
žuta	žut	Agpnpay
Dodatna	dodatan	Agpnpay
svjetla	svjetlo	Ncnpa
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
ceste	cesta	Ncfsg
bijela	bijel	Agpfsny
ili	ili	Cc
žuta	žut	Agpfsny
Uređaji	uređaj	Ncmpn
za	za	Sa
označivanje	označivanje	Ncnsa
vozila	vozilo	Ncnsg
Prednja	prednji	Agpnpny
pozicijska	pozicijski	Agpnpny
svjetla	svjetlo	Ncnpn
bijela	bijel	Agpfsny
Stražnja	stražnji	Agpnpny
pozicijska	pozicijski	Agpnpny
svjetla	svjetlo	Ncnpn
crvena	crven	Agpfsny
Stražnje	stražnji	Agpnsay
svjetlo	svjetlo	Ncnsa
za	za	Sa
maglu	magla	Ncfsa
crvena	crven	Agpnpay
Parkirna	parkirni	Agpnpay
svjetla	svjetlo	Ncnpa
bijela	bijel	Agpfsny
sprijeda	sprijeda	Rgp
,	,	Z
crvena	crven	Agpfsny
straga	straga	Rgp
,	,	Z
jantarna	jantarni	Agpfsny
ako	ako	Cs
su	biti	Var3p
povezana	povezati	Appnpny
sa	sa	Si
pokazivačima	pokazivač	Ncmpi
smjera	smjerati	Vmr3s
Svjetlo	svjetlo	Ncnsa
registracijske	registracijski	Agpfsgy
pločice	pločica	Ncfsg
bijela	bijel	Agpfsny
Rotacijska	rotacijski	Agpfsny
i	i	Cc
treptava	treptav	Agpnpay
svjetla	svjetlo	Ncnpa
jantarna	jantarni	Agpfsny
Gabaritna	Gabaritna	Npfsn
svjetla	svjetlo	Ncnsg
bijela	bijel	Agpfsny
sprijeda	sprijeda	Rgp
,	,	Z
crvena	crven	Agpfsny
straga	straga	Rgp
Prednji	prednji	Agpmsny
netrokutasti	netrokutast	Agpmsny
katadiopter	katadiopter	Ncmsn
–	–	Z
bijela	bijel	Agpfsny
bijela	bijel	Agpfsny
Stražnji	stražnji	Agpmpny
netrokutasti	netrokutasti	Cs
katadiopter	katadiopter	Cs
crvena	crven	Agpfsny
Stražnji	stražnji	Agpmsny
trokutasti	trokutast	Agpmsny
katadiopter	katadiopter	Ncmsn
crvena	crven	Agpfsny
Uređaji	uređaj	Ncmpn
za	za	Sa
davanje	davanje	Ncnsa
svjetlosnih	svjetlosni	Agpmpgy
znakova	znak	Ncmpg
Kočna	kočni	Agpnpny
svjetla	svjetlo	Ncnpn
crvena	crven	Agpfsny
Pokazivači	pokazivač	Ncmpn
smjera	smjerati	Vmr3s
jantarna	jantarni	Agpfsny
Uređaji	uređaj	Ncmpn
za	za	Sa
istodobno	istodoban	Agpnsay
uključivanje	uključivanje	Ncnsa
svih	sav	Agpmpgy
pokazivača	pokazivač	Ncmpg
smjera	smjerati	Vmr3s
jantarna	jantarni	Agpfsny

Članak	članak	Ncmsn
148.	148.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Vozila	vozilo	Ncnsg
kategorije	kategorija	Ncfsg
T	i	Agpnsdy
moraju	morati	Vmr3p
biti	biti	Van
opremljena	opremiti	Appfsny
sljedećim	sljedeći	Agpmpiy
uređajima	uređaj	Ncmpi
za	za	Sa
osvjetljavanje	osvjetljavanje	Ncnsa
i	i	Cc
svjetlosnu	svjetlosni	Agpfsay
signalizaciju	signalizacija	Ncfsa
:	:	Z

1	1	Mdc
)	)	Z
kratkim	kratak	Agpnply
glavnim	glavni	Agpnply
svjetlima	svjetlo	Ncnpl

2	2	Mdc
)	)	Z
prednjim	prednji	Agpnply
pozicijskim	pozicijski	Agpnply
svjetlima	svjetlo	Ncnpl

3	3	Mdc
)	)	Z
stražnjim	stražnji	Agpnply
