1,33	1,33	Mdc
%	%	Z
7.	7.	Mdo
TATJANA	TATJANA	Npfsn
CESAR	cesar	Ncmsn
4	4	Mdc
glasa	glas	Ncmsg
2,66	2,66	Mdc
%	%	Z
8.	8.	Mdo
ANA	Ana	Npfsn
BUKIĆ	Bukić	Npfsn
6	6	Mdc
glasova	glas	Ncmpg
4,00	4,00	Mdc
%	%	Z
9.	9.	Mdo
MARIO	MARIO	Npmsn
ALEBIĆ	ALEBIĆ	Npmsn
4	4	Mdc
glasa	glas	Ncmsg
2,66	2,66	Mdc
%	%	Z
10.	10.	Mdo

NEVENKA	NEVENKA	Npfsn
LUKAČEVIĆ	LUKAČEVIĆ	Npfsn
4	4	Mdc
glasa	glas	Ncmsg
2,66	2,66	Mdc
%	%	Z
11.	11.	Mdo

DRAŽEN	dražiti	Appmsnn
CESAR	cesar	Ncmsn
3	3	Mdc
glasa	glas	Ncmsg
2,00	2,00	Mdc
%	%	Z
12.	12.	Mdo

ŽELJKO	Željko	Npmsn
BRLETIĆ	BRLETIĆ	Npmsn
1	1	Mdc
glas	glas	Ncmsn
0,66	0,66	Mdc
%	%	Z
13.	13.	Mdo

ANTONIJA	ANTONIJA	Npfsn
BUKIĆ	Bukić	Npmsn
1	1	Mdc
glas	glas	Ncmsn
0,66	0,66	Mdc
%	%	Z
14.	14.	Mdo

PETRA	Petra	Npfsn
VIDOVIĆ	Vidović	Npfsn
7	7	Mdc
glasova	glas	Ncmpg
4,66	4,66	Mdc
%	%	Z
19.	19.	Mdo

HRVATSKA	hrvatski	Agpfsny
BRANITELJSKA	braniteljski	Agpfsny
PUČKA	pučki	Agpfsny
STRANKA	stranka	Ncfsn
–	–	Z
HBPS	HBPS	Npmsn
96	96	Mdc
glasova	glas	Ncmpg
0,04	0,04	Mdc
%	%	Z
1.	1.	Mdo
ŠEFIK	ŠEFIK	Npmsn
ORLIĆ	Orlić	Npmsn
21	21	Mdc
glas	glas	Ncmsn
21,87	21,87	Mdc
%	%	Z
2.	2.	Mdo
ZEMIRA	ZEMIRA	Npfsn
ŠTAJNER	ŠTAJNER	Npfsn
0	0	Mdc
glasova	glas	Ncmpg
0,00	0,00	Mdc
%	%	Z
3.	3.	Mdo
IVAN	Ivan	Npmsn
ŠTAJNER	ŠTAJNER	Npmsn
5	5	Mdc
glasova	glas	Ncmpg
5,20	5,20	Mdc
%	%	Z
4.	4.	Mdo
BARICA	barica	Ncfsn
DRVAR	drvar	Ncmsn
6	6	Mdc
glasova	glas	Ncmpg
6,25	6,25	Mdc
%	%	Z
5.	5.	Mdo
KRISTINA	KRISTINA	Npfsn
KAMBER	KAMBER	Npfsn
LOVRIĆ	Lovrić	Npfsn
8	8	Mdc
glasova	glas	Ncmpg
8,33	8,33	Mdc
%	%	Z
6.	6.	Mdo
TONI	tona	Ncfsl
PRELEC	PRELEC	Npmsn
2	2	Mdc
glasa	glas	Ncmsg
2,08	2,08	Mdc
%	%	Z
7.	7.	Mdo
DARKO	Darko	Npmsn
HORVAT	HORVAT	Npmsn
6	6	Mdc
