kategoriji	kategorija	Ncfsl
investicijskih	investicijski	Agpmpgy
projekata	projekat	Ncmpg
koji	koji	Pi-mpn
uključuju	uključivati	Vmr3p
aktivnosti	aktivnost	Ncfpa
turističkih	turistički	Agpfpgy
usluga	usluga	Ncfpg
visoke	visok	Agpfsgy
dodane	dodati	Agpfsgy
vrijednosti	vrijednost	Ncfsg
.	.	Z

VIII	viii	Mrc
.	.	Z

Za	za	Sa
realizaciju	realizacija	Ncfsa
projekta	projekt	Ncmsg
Hotela	hotel	Ncmsg
Park	park	Ncmsn
potrebno	potreban	Agpnsny
je	biti	Var3s
posebice	posebice	Rgp
provesti	provesti	Vmn
sljedeće	sljedeći	Agpmpay
osnovne	osnovan	Agpmpay
postupke	postupak	Ncmpa
i	i	Cc
radnje	radnja	Ncfpa
:	:	Z

–	i	Agpnsny
donošenje	donošenje	Ncnsn
odluke	odluka	Ncfsg
o	o	Sl
načinu	način	Ncmsl
raspolaganja	raspolaganje	Ncnsg
nekretninama	nekretnina	Ncfpl
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
–	–	Z
neposredna	neposredan	Agpfsny
prodaja	prodaja	Ncfsn
po	po	Sl
tržnoj	tržni	Agpfsly
vrijednosti	vrijednost	Ncfsl

–		Agcnsay
ustupanje	ustupanje	Ncnsa
nadležnosti	nadležnost	Ncfsg
(	(	Z
nakon	nakon	Sg
proglašenja	proglašenje	Ncnsg
strateškim	strateški	Agpmsiy
)	)	Z
za	za	Sa
izdavanje	izdavanje	Ncnsa
dozvola	dozvola	Ncfpg
s	sa	Sg
Ministarstva	ministarstvo	Ncnsg
graditeljstva	graditeljstvo	Ncnsg
i	i	Cc
prostornoga	prostoran	Agpnsgy
uređenja	uređenje	Ncnsg
na	na	Sa
Grad	grad	Ncmsan
Rovinj	Rovinj	Npmsan

–	–	Sa
postupak	postupak	Ncmsan
ishođenja	ishođenje	Ncnsg
građevinske	građevinski	Agpfsgy
dozvole	dozvola	Ncfsg
za	za	Sa
izgradnju	izgradnja	Ncfsa
hotela	hotel	Ncmsg
,	,	Z
sukladno	sukladno	Rgp
Zakonu	zakon	Ncmsl
o	o	Sl
gradnji	gradnja	Ncfsl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
153/13	153/13	Mds
)	)	Z

–	i	Agpnsny
građenje	građenje	Ncnsn
građevine	građevina	Ncfsg
,	,	Z
odnosno	odnosni	Agpnsay
izvođenje	izvođenje	Ncnsa
radova	rad	Ncmpg
na	na	Sl
objektu	objekt	Ncmsl

–	–	Sa
postupak	postupak	Ncmsan
ishođenja	ishođenje	Ncnsg
uporabne	uporaban	Agpfsgy
dozvole	dozvola	Ncfsg
,	,	Z
sukladno	sukladno	Rgp
Zakonu	zakon	Ncmsl
o	o	Sl
gradnji	gradnja	Ncfsl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
153/13	153/13	Mds
)	)	Z

–	–	Sa
postupak	postupak	Ncmsan
utvrđivanja	utvrđivanje	Ncnsg
uvjeta	uvjet	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
ugostiteljske	ugostiteljski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
,	,	Z
sukladno	sukladno	Rgp
Zakonu	zakon	Ncmsl
o	o	Sl
ugostiteljskoj	ugostiteljski	Agpfsly
djelatnosti	djelatnost	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
85/15	85/15	Mds
)	)	Z
.	.	Z

Cjeloviti	cjelovit	Agpmsny
pregled	pregled	Ncmsn
upravnih	upravan	Agpmpgy
i	i	Cc
drugih	drugi	Mlompg
postupaka	postupak	Ncmpg
i	i	Cc
radnji	radnja	Ncfsl
potrebnih	potreban	Agpmpgy
za	za	Sa
pripremu	priprema	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
projekta	projekt	Ncmsg
Hotel	Hotel	Npmsn
Park	Park	Npmsn
(	(	Z
hodogram	hodogram	Ncmsn
aktivnosti	aktivnost	Ncfsg
)	)	Z
:	:	Z

–	i	Agpnsny
podnošenje	podnošenje	Ncnsn
prijedloga	prijedlog	Ncmsg
za	za	Sa
uknjižbu	uknjižba	Ncfsa
za	za	Sa
kč	kč	Ncmsan
.	.	Z
br.	br.	Y
8494/35	8494/35	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Rovinj	Rovinj	Npmsan
,	,	Z
na	na	Sl
temelju	temelj	Ncmsl
presude	presuda	Ncfsg
Trgovačkog	trgovački	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Pazinu	Pazin	Npmsl
u	u	Sa
korist	korist	Ncfsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg

Nositelj	nositelj	Ncmsn
obveze	obveza	Ncfsg
:	:	Z
Općinsko	općinski	Agpnsny
državno	državni	Agpnsny
odvjetništvo	odvjetništvo	Ncnsn
u	u	Sl
Puli	Pula	Npfsl

–	i	Agpnsny
podnošenje	podnošenje	Ncnsn
prijedloga	prijedlog	Ncmsg
za	za	Sa
uknjižbu	uknjižba	Ncfsa
za	za	Sa
kč	kč	Ncmsan
.	.	Z
br.	br.	Y
8504/12	8504/12	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Rovinj	Rovinj	Npmsn
,	,	Z
u	u	Sa
korist	korist	Ncfsa
Maistra	maistro	Ncnsg
,	,	Z
a	a	Cc
temeljem	temelj	Ncmsi
tabularne	tabularan	Agpfsgy
isprave	isprava	Ncfsg
koju	koji	Pi-fsa
je	biti	Var3s
Grad	grad	Ncmsn
Rovinj	Rovinj	Npmsn
dužan	dužan	Agpmsnn
izdati	izdati	Vmn
Maistri	Maistra	Npfsl
,	,	Z
sukladno	sukladno	Rgp
tripartitnom	tripartitan	Agpmsly
sporazumu	sporazum	Ncmsl

Nositelj	nositelj	Ncmsn
obveze	obveza	Ncfsg
:	:	Z
Maistra	Maistra	Npfsn
/	/	Z
Grad	grad	Ncmsn
Rovinj	Rovinj	Npmsn

–	i	Agpnsny
sklapanje	sklapanje	Ncnsn
kupoprodajnog	kupoprodajni	Agpmsgy
ugovora	ugovor	Ncmsg
odnosno	odnosni	Agpnsay
izdavanje	izdavanje	Ncnsa
tabularne	tabularan	Agpfsgy
isprave	isprava	Ncfsg
za	za	Sa
kč	kč	Ncmsan
.	.	Z
br.	br.	Y
10070/4	10070/4	Mdc
,	,	Z
k.	k.	Y
o.	o.	Y
Rovinj	Rovinj	Npmsn
,	,	Z
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Grada	grad	Ncmsg
Rovinja	Rovinj	Npmsg
(	(	Z
ranije	rano	Rgc
javna	javan	Agpfsny
cesta	cesta	Ncfsn
)	)	Z

Nositelj	nositelj	Ncmsn
obveze	obveza	Ncfsg
