dovršene	dovršiti	Appfpny
operacije	operacija	Ncfpn
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
obavještava	obavještavati	Vmr3s
korisnike	korisnik	Ncmpa
o	o	Sl
godini	godina	Ncfsl
od	od	Sg
koje	koji	Pi-fsg
počinje	počinjati	Vmr3s
teći	teći	Vmn
rok	rok	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
provoditi	provoditi	Vmn
mjere	mjera	Ncfpa
informiranja	informiranje	Ncnsg
i	i	Cc
promidžbe	promidžba	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
119.	119.	Mdo
i	i	Cc
Prilogu	prilog	Ncmsl
V.	vi	Agpfsgy
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
508/2014	508/2014	Mdc
te	te	Cc
odredbama	odredba	Ncfpi
Provedbene	provedbeni	Agpfsgy
uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
763/2014	763/2014	Mdc
оd	оd	Sg
11.	11.	Mdo
srpnja	srpanj	Ncmsg
2014.	2014.	Mdo
o	o	Sl
utvrđivanju	utvrđivanje	Ncnsl
pravila	pravilo	Ncnsg
za	za	Sa
primjenu	primjena	Ncfsa
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
508/2014	508/2014	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
o	o	Sl
Europskom	europski	Agpmsly
fondu	fond	Ncmsl
za	za	Sa
pomorstvo	pomorstvo	Ncnsa
i	i	Cc
ribarstvo	ribarstvo	Ncnsa
u	u	Sl
pogledu	pogled	Ncmsl
tehničkih	tehnički	Agpnpgy
obilježja	obilježje	Ncnpg
mjera	mjera	Ncfpg
informiranja	informiranje	Ncnsg
i	i	Cc
promidžbe	promidžba	Ncfsg
i	i	Cc
uputa	uputa	Ncfpg
za	za	Sa
izradu	izrada	Ncfsa
amblema	amblem	Ncmpg
Unije	unija	Ncfsg
(	(	Z
SL	SL	Npmsn
L	L	Npmsn
209	209	Mdc
,	,	Z
16.	16.	Mdo
7.	7.	Mdo
2014.	2014.	Mdo
)	)	Z
.	.	Z

Pravila	pravilo	Ncnpn
i	i	Cc
upute	uputa	Ncfpa
za	za	Sa
provedbu	provedba	Ncfsa
mjera	mjera	Ncfpg
informiranja	informiranje	Ncnsg
i	i	Cc
promidžbe	promidžba	Ncfsg
nalaze	nalaziti	Vmr3p
se	sebe	Px--sa
u	u	Sl
Prilogu	Prilog	Npmsl
II	ii	Mrc
.	.	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
i	i	Cc
njegov	njegov	Ps3msn
su	biti	Var3p
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

(	(	Z
12	12	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
obveznik	obveznik	Ncmsn
provedbe	provedba	Ncfsg
postupka	postupak	Ncmsg
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
isti	isti	Agpmsny
je	biti	Var3s
dužan	dužan	Agpmsnn
za	za	Sa
nabavu	nabava	Ncfsa
roba	roba	Ncfpg
i	i	Cc
/	/	Z
ili	ili	Cc
radova	rad	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
usluga	usluga	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
predmet	predmet	Ncmsn
potpore	potpora	Ncfsg
obvezno	obvezno	Rgp
provesti	provesti	Vmn
postupak	postupak	Ncmsan
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
sukladno	sukladno	Rgp
Zakonu	Zakon	Npmsd
o	o	Sl
javnoj	javan	Agpfsly
nabavi	nabava	Ncfsl
.	.	Z

(	(	Z
