zdravlja	zdravlje	Ncnpn
na	na	Sl
plovilu	plovilo	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
postavljanja	postavljanje	Ncnsg
/	/	Z
ugradnje	ugradnja	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
su	biti	Var3p
prihvatljivi	prihvatljiv	Agpmpny
isključivo	isključivo	Rgp
ukoliko	ukoliko	Cs
su	biti	Var3p
nužni	nužan	Agpmpny
i	i	Cc
izravno	izravno	Rgp
povezani	povezati	Appmpny
s	sa	Si
ugradnjom	ugradnja	Ncfsi
/	/	Z
postavljanjem	postavljanje	Ncnsi
pribora	pribor	Ncmpg
za	za	Sa
prvu	prvi	Mlofsa
pomoć	pomoć	Ncfsa
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
u	u	Sl
području	područje	Ncnsl
higijene	higijena	Ncfsg

Članak	članak	Ncmsn
8.	8.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
operacije	operacija	Ncfpa
u	u	Sl
cilju	cilj	Ncmsl
poboljšanja	poboljšanje	Ncnsg
higijenskih	higijenski	Agpmpgy
uvjeta	uvjet	Ncmpg
na	na	Sl
ribarskim	ribarski	Agpnply
plovilima	plovilo	Ncnpl
,	,	Z
prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
troškovi	trošak	Ncmpn
nabave	nabava	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
sanitarnih	sanitaran	Agpfpgy
prostorija	prostorija	Ncfpg
;	;	Z

b	b	Npmsn
)	)	Z
kuhinjskih	kuhinjski	Agpfpgy
prostorija	prostorija	Ncfpg
i	i	Cc
opreme	oprema	Ncfsg
za	za	Sa
prostorije	prostorija	Ncfpa
za	za	Sa
skladištenje	skladištenje	Ncnsa
hrane	hrana	Ncfsg
;	;	Z
c	C	Npmsn
)	)	Z
uređaja	uređaj	Ncmpg
za	za	Sa
pročišćavanje	pročišćavanje	Ncnsa
vode	voda	Ncfsg
u	u	Sl
pitku	pitak	Agpfsay
vodu	voda	Ncfsa
;	;	Z

d		Npmpn
)	)	Z
opreme	oprema	Ncfsg
za	za	Sa
čišćenje	čišćenje	Ncnsa
radi	radi	Sg
održavanja	održavanje	Ncnsg
sanitarnih	sanitaran	Agpmpgy
uvjeta	uvjet	Ncmpg
na	na	Sl
plovilu	plovilo	Ncnsl
;	;	Z

e	e	I
)	)	Z
vodiča	vodič	Ncmpg
i	i	Cc
priručnika	priručnik	Ncmpg
za	za	Sa
poboljšanje	poboljšanje	Ncnsa
higijene	higijena	Ncfsg
na	na	Sl
plovilu	plovilo	Ncnsl
,	,	Z
uključujući	uključivati	Rr
programske	programski	Agpmpay
alate	alat	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
i	i	Cc
troškovi	trošak	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
nužni	nužan	Agpmpny
i	i	Cc
izravno	izravno	Rgp
povezani	povezati	Appmpny
s	sa	Si
ugradnjom	ugradnja	Ncfsi
/	/	Z
postavljanjem	postavljanje	Ncnsi
predmeta	predmet	Ncmsg
/	/	Z
opreme	oprema	Ncfsg
/	/	Z
sustava	sustav	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
u	u	Sl
području	područje	Ncnsl
radnih	radni	Agpmpgy
uvjeta	uvjet	Ncmpg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
operacije	operacija	Ncfpa
u	u	Sl
cilju	cilj	Ncmsl
poboljšanja	poboljšanje	Ncnsg
radnih	radni	Agpmpgy
uvjeta	uvjet	Ncmpg
na	na	Sl
ribarskim	ribarski	Agpnply
plovilima	plovilo	Ncnpl
,	,	Z
prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
troškovi	trošak	Ncmpn
nabave	nabava	Ncfsg
:	:	Z

a	a	Cc
)	)	Z
ograda	ograda	Ncfsn
na	na	Sl
palubi	paluba	Ncfsl
;	;	Z

b	b	Npmsn
)	)	Z
zaklona	zaklon	Ncmsg
na	na	Sl
palubi	paluba	Ncfsl
i	i	Cc
osuvremenjivanja	osuvremenjivanje	Ncnsg
kabina	kabina	Ncfpg
radi	radi	Sg
pružanja	pružanje	Ncnsg
zaštite	zaštita	Ncfsg
od	od	Sg
nepovoljnih	nepovoljan	Agpmpgy
vremenskih	vremenski	Agpmpgy
uvjeta	uvjet	Ncmpg
;	;	Z

c	C	Npmsn
)	)	Z
predmeta	predmet	Ncmpg
povezanih	povezan	Agpmpgy
s	sa	Si
unaprjeđenjem	unaprjeđenje	Ncnsi
sigurnosti	sigurnost	Ncfsg
u	u	Sl
kabinama	kabina	Ncfpl
te	te	Cc
sa	sa	Si
osiguravanjem	osiguravanje	Ncnsi
zajedničkih	zajednički	Agpmpgy
prostora	prostor	Ncmpg
za	za	Sa
posadu	posada	Ncfsa
;	;	Z

d		Npmpn
)	)	Z
opreme	oprema	Ncfsg
za	za	Sa
smanjenje	smanjenje	Ncnsa
ručnog	ručni	Agpnsgy
dizanja	dizanje	Ncnsg
teških	težak	Agpmpgy
predmeta	predmet	Ncmpg
;	;	Z

e	e	I
)	)	Z
boja	boja	Ncfpg
i	i	Cc
gumenih	gumen	Agpfpgy
podloga	podloga	Ncfpg
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
klizanja	klizanje	Ncnsg
;	;	Z

f		Npmpn
)	)	Z
opreme	oprema	Ncfsg
za	za	Sa
zvučnu	zvučan	Agpfsay
i	i	Cc
toplinsku	toplinski	Agpfsay
izolaciju	izolacija	Ncfsa
i	i	Cc
opreme	oprema	Ncfsg
za	za	Sa
poboljšanje	poboljšanje	Ncnsa
ventilacije	ventilacija	Ncfsg
;	;	Z

g	g	Qr
)	)	Z
radne	radni	Agpfsgy
odjeća	odjeća	Ncfsn
i	i	Cc
sigurnosne	sigurnosni	Agpfpny
odjeća	odjeća	Ncfsn
;	;	Z

h	h	Y
)	)	Z
znakova	znak	Ncmpg
za	za	Sa
hitne	hitan	Agpmpay
slučajeve	slučaj	Ncmpa
i	i	Cc
sigurnosnih	sigurnosni	Agpmpgy
znakova	znak	Ncmpg
;	;	Z

i	i	Cc
)	)	Z
usluga	usluga	Ncfpg
analize	analiza	Ncfsg
rizika	rizik	Ncmpg
i	i	Cc
procjene	procjena	Ncfsg
u	u	Sl
cilju	cilj	Ncmsl
utvrđivanja	utvrđivanje	Ncnsg
rizika	rizik	Ncmsg
za	za	Sa
ribare	ribar	Ncmpa
u	u	Sl
lukama	luka	Ncfpl
ili	ili	Cc
na	na	Sl
plovilu	plovilo	Ncnsl
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
poduzele	poduzeti	Vmp-pf
mjere	mjera	Ncfpn
za	za	Sa
sprječavanje	sprječavanje	Ncnsa
ili	ili	Cc
smanjenje	smanjenje	Ncnsa
rizika	rizik	Ncmsg
;	;	Z

j	j	Npmsn
)	)	Z
vodiča	vodič	Ncmpg
i	i	Cc
priručnika	priručnik	Ncmpg
o	o	Sl
poboljšanju	poboljšanje	Ncnsl
radnih	radni	Agpmpgy
uvjeta	uvjet	Ncmpg
na	na	Sl
plovilu	plovilo	Ncnsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
su	biti	Var3p
i	i	Cc
troškovi	trošak	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
nužni	nužan	Agpmpny
i	i	Cc
izravno	izravno	Rgp
povezani	povezati	Appmpny
s	sa	Si
ugradnjom	ugradnja	Ncfsi
/	/	Z
postavljanjem	postavljanje	Ncnsi
predmeta	predmet	Ncmsg
/	/	Z
opreme	oprema	Ncfsg
/	/	Z
sustava	sustav	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Troškovi	trošak	Ncmpn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
d	d	X
)	)	Z
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
uključuju	uključivati	Vmr3p
strojeve	stroj	Ncmpa
izravno	izravno	Rgp
povezane	povezan	Agpfpay
sa	sa	Si
ribolovnim	ribolovan	Agpfpiy
aktivnostima	aktivnost	Ncfpi
.	.	Z

Članak	članak	Ncmsn
10.	10.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prihvatljivi	prihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
su	biti	Var3p
troškovi	trošak	Ncmpn
nastali	nastati	Vmp-pm
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
izuzev	izuzev	Sg
troškova	trošak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
kasnijom	kasan	Agpfsiy
kontrolom	kontrola	Ncfsi
na	na	Sl
terenu	teren	Ncmsl
ne	ne	Qz
mogu	moći	Vmr3p
potvrditi	potvrditi	Vmn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Operacija	operacija	Ncfsn
ne	ne	Qz
smije	smjeti	Vmr3s
biti	biti	Van
fizički	fizički	Rgp
završena	završiti	Appfsny
ili	ili	Cc
provedena	provesti	Appfsny
u	u	Sl
cijelosti	cijelost	Ncfsl
u	u	Sl
trenutku	trenutak	Ncmsl
podnošenja	podnošenje	Ncnsg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

Neprihvatljivi	neprihvatljiv	Agpmpny
troškovi	trošak	Ncmpn

Članak	članak	Ncmsn
11.	11.	Mdo

Neprihvatljivi	neprihvatljiv	Agpmpny
troškovi	trošak	Ncmpn
su	biti	Var3p
:	:	Z

a	a	Cc
)	)	Z
porez	porez	Ncmsan
na	na	Sa
dodanu	dodati	Appfsay
vrijednost	vrijednost	Ncfsa
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
PDV	PDV	Npmsn
)	)	Z
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
porezni	porezni	Agpmsny
obveznik	obveznik	Ncmsn
upisan	upisati	Appmsnn
u	u	Sa
registar	registar	Ncmsan
obveznika	obveznik	Ncmpg
PDV-a	PDV	Npmsg
te	te	Cc
ima	imati	Vmr3s
pravo	pravo	Ncnsa
na	na	Sa
odbitak	odbitak	Ncmsan
PDV-a	PDV	Npmsg
;	;	Z

b	b	Npmsn
)	)	Z
drugi	drugi	Mlompn
porezi	porez	Ncmpn
,	,	Z
naknade	naknada	Ncfpn
i	i	Cc
doprinosi	doprinos	Ncmpn
;	;	Z

c	C	Npmsn
)	)	Z
potrošni	potrošan	Agpmsny
materijal	materijal	Ncmsn
i	i	Cc
troškovi	trošak	Ncmpn
kupnje	kupnja	Ncfsg
primarne	primaran	Agpfsgy
sirovine	sirovina	Ncfsg
i	i	Cc
repromaterijala	repromaterijal	Ncmpg
,	,	Z
osim	osim	Cs
ako	ako	Cs
je	biti	Var3s
drugačije	drugačije	Rgp
navedeno	navesti	Appnsny
u	u	Sl
člancima	članak	Ncmpl
6.	6.	Mdo
do	do	Sg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

d	d	Npmsn
)	)	Z
troškovi	trošak	Ncmpn
kamata	kamata	Ncfpg
i	i	Cc
tečajnih	tečajni	Agpfpgy
razlika	razlika	Ncfpg
,	,	Z
refinanciranja	refinanciranje	Ncnsg
kamata	kamata	Ncfpg
i	i	Cc
amortizacije	amortizacija	Ncfsg
;	;	Z

e	e	I
)	)	Z
carinske	carinski	Agpfsgy
i	i	Cc
uvozne	uvozan	Agpfpay
pristojbe	pristojba	Ncfpa
i	i	Cc
sve	sav	Agpfpay
ostale	ostali	Agpfpay
naknade	naknada	Ncfpa
;	;	Z

f	f	Npmsn
)	)	Z
bankovni	bankovan	Agpmpny
troškovi	trošak	Ncmpn
,	,	Z
troškovi	trošak	Ncmpn
jamstava	jamstvo	Ncnpg
i	i	Cc
slične	sličan	Agpfpay
naknade	naknada	Ncfpa
;	;	Z

g	g	Npmsn
)	)	Z
troškovi	trošak	Ncmpn
pretvaranja	pretvaranje	Ncnsg
,	,	Z
naknade	naknada	Ncfsg
i	i	Cc
tečajni	tečajni	Agpmpny
troškovi	trošak	Ncmpn
vezani	vezati	Appmpny
uz	uz	Sa
račune	račun	Ncmpa
u	u	Sl
stranim	stran	Agpfply
valutama	valuta	Ncfpl
,	,	Z
kao	kao	Cs
i	i	Qo
drugi	drugi	Mlompn
isključivo	isključivo	Rgp
financijski	financijski	Agpmpny
izdaci	izdatak	Ncmpn
;	;	Z

h	h	Qr
)	)	Z
administrativne	administrativan	Agpfpay
i	i	Cc
upravne	upravan	Agpfsgy
pristojbe	pristojba	Ncfsg
;	;	Z

i	i	Cc
)	)	Z
plaćanja	plaćanje	Ncnsg
u	u	Sl
gotovini	gotovina	Ncfsl
;	;	Z

j	j	Npmsn
)	)	Z
doprinosi	doprinositi	Vmr3s
u	u	Sl
naravi	narav	Ncfsl
i	i	Cc
plaćanja	plaćanje	Ncnsg
putem	put	Sg
robne	roban	Agpfsgy
razmjene	razmjena	Ncfsg
;	;	Z

k	k	Ncfpn
)	)	Z
troškovi	trošak	Ncmpn
vlastitog	vlastit	Agpmsgy
rada	rad	Ncmsg
;	;	Z

l	l	Npmsn
)	)	Z
troškovi	trošak	Ncmpn
vezani	vezati	Appmpny
uz	uz	Sa
ugovore	ugovor	Ncmpa
o	o	Sl
zakupu	zakup	Ncmsl
ili	ili	Cc
leasingu	leasing	Ncmsl
,	,	Z
kao	kao	Cs
što	što	Cs
je	biti	Var3s
marža	marža	Ncfsn
najmodavca	najmodavac	Ncmsg
ili	ili	Cc
marža	marža	Ncfsn
davatelja	davatelj	Ncmpg
leasinga	leasing	Ncmsg
,	,	Z
režijski	režijski	Agpmpny
troškovi	trošak	Ncmpn
i	i	Cc
troškovi	trošak	Ncmpn
osiguranja	osiguranje	Ncnsg
;	;	Z

m	m	Npmsn
)	)	Z
operativni	operativan	Agpmpny
troškovi	trošak	Ncmpn
,	,	Z
troškovi	trošak	Ncmpn
povezani	povezati	Appmpny
sa	sa	Si
redovitim	redovit	Agpmpiy
ili	ili	Cc
preventivnim	preventivan	Agpnsiy
održavanjem	održavanje	Ncnsi
bilo	bilo	Qo
kojeg	koji	Pi-msg
dijela	dio	Ncmsg
opreme	oprema	Ncfsg
koje	koji	Pi-nsn
je	biti	Var3s
potrebno	potreban	Agpnsny
za	za	Sa
održavanje	održavanje	Ncnsa
uređaja	uređaj	Ncmpg
u	u	Sl
radnom	radni	Agpnsly
stanju	stanje	Ncnsl
,	,	Z
amortizacije	amortizacija	Ncfsg
i	i	Cc
najma	najam	Ncmsg
;	;	Z

n	a	Ncfpn
)	)	Z
troškovi	trošak	Ncmpn
postavljanja	postavljanje	Ncnsg
/	/	Z
ugradnje	ugradnja	Ncfsg
koji	koji	Pi-mpn
nisu	biti	Var3p
nužni	nužan	Agpmpny
i	i	Cc
izravno	izravno	Rgp
povezani	povezati	Appmpny
s	sa	Si
ugradnjom	ugradnja	Ncfsi
/	/	Z
postavljanjem	postavljanje	Ncnsi
prihvatljivih	prihvatljiv	Agpmpgy
troškova	trošak	Ncmpg
navedenim	naveden	Agpmply
u	u	Sl
člancima	članak	Ncmpl
6.	6.	Mdo
do	do	Sg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

o	o	Sl
)	)	Z
rabljeni	rabiti	Appmpny
strojevi	stroj	Ncmpn
,	,	Z
rabljena	rabiti	Appfsny
oprema	oprema	Ncfsn
,	,	Z
rabljeni	rabiti	Appmpny
uređaji	uređaj	Ncmpn
,	,	Z
rabljeni	rabiti	Appmpny
materijali	materijal	Ncmpn
,	,	Z
rabljeni	rabiti	Appmpny
instrumenti	instrument	Ncmpn
,	,	Z
kao	kao	Cs
i	i	Cc
svi	sav	Agpmpny
rabljeni	rabiti	Agpmpny
sastavni	sastavan	Agpmpny
dijelovi	dio	Ncmpn
naprijed	naprijed	Rgp
navedenog	navesti	Appnsgy
;	;	Z

p	p	Npmsn
)	)	Z
troškovi	trošak	Ncmpn
kupnje	kupnja	Ncfsg
plovila	plovilo	Ncnsg
;	;	Z

q	q	Npmsn
)	)	Z
troškovi	trošak	Ncmpn
kupnje	kupnja	Ncfsg
rezervnih	rezervni	Agpmpgy
dijelova	dio	Ncmpg
,	,	Z
popravaka	popravak	Ncmpg
i	i	Cc
servisiranja	servisiranje	Ncnsg
;	;	Z

r	r	Npmsn
)	)	Z
nabava	nabava	Ncfsn
patenata	patent	Ncmpg
,	,	Z
licenci	licenca	Ncfpg
,	,	Z
posebnih	poseban	Agpnpgy
znanja	znanje	Ncnpg
i	i	Cc
vještina	vještina	Ncfpg
ili	ili	Cc
nepatentiranog	nepatentiran	Agpnsgy
tehničkog	tehnički	Agpnsgy
znanja	znanje	Ncnsg
;	;	Z

s	sa	Sg
)	)	Z
novčane	novčan	Agpfsgy
kazne	kazna	Ncfsg
,	,	Z
financijske	financijski	Agpfsgy
kazne	kazna	Ncfsg
te	te	Cc

