nadzornih	nadzorni	Agpmpgy
/	/	Z
revizorskih	revizorski	Agpnpgy
tijela	tijelo	Ncnpg
.	.	Z

Uputa	uputa	Ncfsn
za	za	Sa
čuvanje	čuvanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Prilogu	prilog	Ncmsl
III	III	Mrc
.	.	Z
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
i	i	Cc
njegov	njegov	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Rok	rok	Ncmsn
za	za	Sa
čuvanje	čuvanje	Ncnsa
dokumentacije	dokumentacija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
je	biti	Var3s
najmanje	malo	Rgs
dvije	dva	Mlcf-n
godine	godina	Ncfsg
od	od	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
nakon	nakon	Sg
predaje	predaja	Ncfsg
računa	račun	Ncmsg
Europskoj	europski	Agpfsdy
komisiji	komisija	Ncfsd
od	od	Sg
strane	strana	Ncfsg
Tijela	tijelo	Ncnsg
za	za	Sa
ovjeravanje	ovjeravanje	Ncnsa
,	,	Z
a	a	Cc
u	u	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
uključeni	uključiti	Appmpny
završni	završan	Agpmpny
izdaci	izdatak	Ncmpn
dovršene	dovršiti	Appfsgy
operacije	operacija	Ncfsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
obavještava	obavještavati	Vmr3s
korisnike	korisnik	Ncmpa
o	o	Sl
godini	godina	Ncfsl
od	od	Sg
koje	koji	Pi-fsg
počinje	počinjati	Vmr3s
teći	teći	Vmn
rok	rok	Ncmsan
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Pri	pri	Sl
obavljanju	obavljanje	Ncnsl
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
ovlaštene	ovlašten	Agpfsgy
osobe	osoba	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
osim	osim	Sg
ribarskog	ribarski	Agpnsgy
plovila	plovilo	Ncnsg
mogu	moći	Vmr3p
pregledati	pregledati	Vmn
i	i	Qo
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
ostvarivanje	ostvarivanje	Ncnsa
prava	pravo	Ncnsg
sukladno	sukladan	Agpnsny
ovome	ovaj	Pd-msd
Pravilniku	pravilnik	Ncmsd
i	i	Cc
Natječaju	natječaj	Ncmsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
za	za	Sa
to	taj	Pd-nsa
ukaže	ukazati	Vmr3s
potreba	potreba	Ncfsn
,	,	Z
ovlaštene	ovlašten	Agpfpny
osobe	osoba	Ncfpn
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
mogu	moći	Vmr3p
izvještavati	izvještavati	Vmn
nadležna	nadležan	Agpnpay
tijela	tijelo	Ncnpa
i	i	Cc
tražiti	tražiti	Vmn
provođenje	provođenje	Ncnsa
određenog	određen	Agpmsgy
postupka	postupak	Ncmsg
ako	ako	Cs
sami	sam	Agpmpny
nisu	biti	Var3p
ovlašteni	ovlastiti	Appmpny
izravno	izravno	Rgp
postupiti	postupiti	Vmn
te	te	Cc
prikupljati	prikupljati	Vmn
podatke	podatak	Ncmpa
i	i	Cc
obavijesti	obavijest	Ncfsl
od	od	Sg
odgovornih	odgovoran	Agpfpgy
osoba	osoba	Ncfpg
,	,	Z
svjedoka	svjedok	Ncmpg
,	,	Z
vještaka	vještak	Ncmpg
i	i	Cc
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
kad	kad	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
za	za	Sa
