potrebno	potreban	Agpnsny
dokumente	dokument	Ncmpa
vezane	vezan	Agpmpay
uz	uz	Sa
postupke	postupak	Ncmpa
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z
izvješća	izvješće	Ncnsg
korisnika	korisnik	Ncmpg
i	i	Cc
izvješća	izvješće	Ncnsg
o	o	Sl
provedenim	provesti	Agpfply
provjerama	provjera	Ncfpl
i	i	Cc
revizijama	revizija	Ncfpl
izvršenim	izvršen	Agpfpiy
nad	nad	Si
operacijama	operacija	Ncfpi
.	.	Z

Navedeni	naveden	Agpmpny
dokumenti	dokument	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
evidentirani	evidentirati	Appmpny
i	i	Cc
pohranjeni	pohraniti	Appmpny
na	na	Sa
način	način	Ncmsan
da	da	Cs
budu	biti	Var3p
lako	lako	Rgp
dostupni	dostupan	Agpmpny
osobama	osoba	Ncfpd
ili	ili	Cc
tijelima	tijelo	Ncnpl
koja	koji	Pi-npn
imaju	imati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
pristup	pristup	Ncmsan
tim	taj	Pd-mpl
dokumentima	dokument	Ncmpl
te	te	Cc
je	biti	Var3s
korisnik	korisnik	Ncmsn
dužan	dužan	Agpmsnn
obavijestiti	obavijestiti	Vmn
Upravljačko	upravljački	Agpnsay
tijelo	tijelo	Ncnsa
o	o	Sl
točnoj	točan	Agpfsly
lokaciji	lokacija	Ncfsl
čuvanja	čuvanje	Ncnsg
navedenih	naveden	Agpmpgy
dokumenata	dokument	Ncmpg
putem	put	Sg
e-pošte	e-pošta	Ncfsg
:	:	Z
eufondovi.ribarstvo@mps.hr	eufondovi.ribarstvo@mps.hr	X
.	.	Z

Rok	rok	Ncmsn
čuvanja	čuvanje	Ncnsg
dokumentacije	dokumentacija	Ncfsg

Rok	rok	Ncmsn
za	za	Sa
čuvanje	čuvanje	Ncnsa
i	i	Cc
osiguravanje	osiguravanje	Ncnsa
dostupnosti	dostupnost	Ncfsg
dokumentacije	dokumentacija	Ncfsg
vezane	vezan	Agpfsgy
uz	uz	Sa
izdatke	izdatak	Ncmpa
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
korisniku	korisnik	Ncmsd
isplaćena	isplatiti	Appfsny
potpora	potpora	Ncfsn
iz	iz	Sg
Europskog	europski	Agpmsgy
fonda	fond	Ncmsg
za	za	Sa
pomorstvo	pomorstvo	Ncnsa
i	i	Cc
ribarstvo	ribarstvo	Ncnsa
je	biti	Var3s
najmanje	malo	Rgs
dvije	dva	Mlcf-n
(	(	Z
2	2	Mdc
)	)	Z
godina	godina	Ncfpg
od	od	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
nakon	nakon	Sg
predaje	predaja	Ncfsg
računa	račun	Ncmpg
u	u	Sl
kojima	koji	Pi-fpl
su	biti	Var3p
uključeni	uključiti	Appmpny
završni	završan	Agpmpny
izdaci	izdatak	Ncmpn
operacije	operacija	Ncfsg
.	.	Z

Također	također	Rgp
,	,	Z
korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dokumentaciju	dokumentacija	Ncfsa
čuvati	čuvati	Vmn
i	i	Cc
osigurati	osigurati	Vmn
dostupnost	dostupnost	Ncfsa
iste	isti	Agpfsgy
tijekom	tijekom	Sg
cjelokupnog	cjelokupan	Agpnsgy
razdoblja	razdoblje	Ncnsg
provođenja	provođenje	Ncnsg
operacije	operacija	Ncfsg
.	.	Z

