cjeniku	cjenik	Ncmsd
za	za	Sa
odlazne	odlazni	Agpmpay
pozive	poziv	Ncmpa
.	.	Z

Na	na	Sl
temelju	temelj	Ncmsl
predmetne	predmetni	Agpfsgy
odluke	odluka	Ncfsg
operatori	operator	Ncmpn
su	biti	Var3p
bili	biti	Vap-pm
u	u	Sl
obvezi	obveza	Ncfsl
dopuniti	dopuniti	Vmn
opće	opći	Agpmpay
uvjete	uvjet	Ncmpa
poslovanja	poslovanje	Ncnsg
te	te	Cc
im	oni	Pp3-pd
je	biti	Var3s
naloženo	naložiti	Appnsny
da	da	Cs
govorna	govorni	Agpfsny
pošta	pošta	Ncfsn
bude	biti	Var3s
isključena	isključiti	Appfsny
korisnicama	korisnica	Ncfpi
koji	koji	Pi-msn
je	biti	Var3s
nisu	biti	Var3p
izričito	izričito	Rgp
zatražili	zatražiti	Vmp-pm
,	,	Z
ali	ali	Cc
operatori	operator	Ncmpn
nisu	biti	Var3p
u	u	Sl
obvezi	obveza	Ncfsl
povrata	povrat	Ncmsg
sredstava	sredstvo	Ncnpg
za	za	Sa
prethodno	prethodan	Agpnsay
korištenje	korištenje	Ncnsa
usluge	usluga	Ncfsg
.	.	Z

Tuženik	tuženik	Ncmsn
je	biti	Var3s
odluku	odluka	Ncfsa
donio	donijeti	Vmp-sm
vezano	vezano	Rgp
za	za	Sa
način	način	Ncmsan
korištenja	korištenje	Ncnsg
i	i	Cc
naplate	naplata	Ncfsg
usluge	usluga	Ncfpa
prilikom	prilikom	Sg
boravka	boravak	Ncmsg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
gdje	gdje	Cs
su	biti	Var3p
korisnicima	korisnik	Ncmpd
zbog	zbog	Sg
aktivirane	aktivirati	Agpfsgy
usluge	usluga	Ncfsg
nastajali	nastajati	Vmp-pm
neželjeni	neželjen	Agpmpny
troškovi	trošak	Ncmpn
uslijed	uslijed	Sg
dolaznih	dolazni	Agpmpgy
,	,	Z
a	a	Cc
ne	ne	Qz
odlaznih	odlazni	Agpmpgy
poziva	poziv	Ncmpg
.	.	Z

Stoga	stoga	Rgp
vezano	vezan	Agpnsny
za	za	Sa
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmpg
za	za	Si
povratom	povrat	Ncmsi
zaduženja	zaduženje	Ncnsg
po	po	Sl
računima	račun	Ncmpl
za	za	Sa
uslugu	usluga	Ncfsa
govorne	govorni	Agpfsgy
pošte	pošta	Ncfsg
,	,	Z
s	sa	Si
obzirom	obzir	Ncmsi
da	da	Cs
odluka	odluka	Ncfsn
tuženika	tuženik	Ncmpg
nema	nemati	Vmr3s
retroaktivni	retroaktivan	Agpmsayn
učinak	učinak	Ncmsan
,	,	Z
operatori	operator	Ncmpn
nisu	biti	Var3p
bili	biti	Vap-pm
u	u	Sl
obvezi	obveza	Ncfsl
izvršiti	izvršiti	Vmn
povrat	povrat	Ncmsan
naplaćenih	naplatiti	Agpnpgy
sredstava	sredstvo	Ncnpg
nastalih	nastao	Agpnpgy
zbog	zbog	Sg
aktivirane	aktivirati	Agpfsgy
usluge	usluga	Ncfsg
govorne	govorni	Agpfsgy
pošte	pošta	Ncfsg
.	.	Z

Tuženik	tuženik	Ncmsn
je	biti	Var3s
u	u	Sl
provedenom	provesti	Agpmsly
postupku	postupak	Ncmsl
izvršio	izvršiti	Vmp-sm
sve	sav	Agpfpay
odgovarajuće	odgovarajući	Agpfpay
provjere	provjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
utvrdio	utvrditi	Vmp-sm
je	biti	Var3s
li	li	Qq
HT	HT	Npmsn
postupio	postupiti	Vmp-sm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbom	odredba	Ncfsi
Zakona	Zakon	Npmsg
i	i	Cc
odlukom	odluka	Ncfsi
odbio	odbiti	Vmp-sm
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmpg
