Menarini	menarin	Agpmsny
Manufacturing	Manufacturing	Xf
Logistics	Logistics	Xf
And	And	Xf
Services	Services	Xf
S.	S.	Y
r.	r.	Y
l.	l.	Y
Nixar	Nixar	Npmsn
tbl	tbl	Ncmsan
.	.	Z
20	20	Mdc
x20	x20	Xf
mg	mg	Xf
1,51	1,51	Mdc
1,59	1,59	Mdc
30,20	30,20	Mdc
31,71	31,71	Mdc
R	R	Y
0,89	0,89	Mdc
0,94	0,94	Mdc
17,82	17,82	Mdc
18,71	18,71	Mdc
0,62	0,62	Mdc
0,65	0,65	Mdc
12,38	12,38	Mdc
13,00	13,00	Mdc
S01EE55	S01EE55	Mdc
761	761	Mdc
timolol	timolol	Ncfpg
+	+	Z
brimonidin	brimonidin	Ncmsn
L	l	Y
Ewopharma	Ewopharm	Npmsg
d.o.o.	d.o.o.	Y

Allergan	Allergan	Npmsn
Combigan	Combigan	Npmsn
kapi	kap	Ncfpg
za	za	Sa
oči	oko	Ncfpa
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x5	x5	Xf
ml	ml	Xf
(	(	Z
5	5	Mdc
mg	mg	Y
+	+	Z
2	2	Mdc
mg	mg	Ncmpg
)	)	Z
75,98	75,98	Mdc
79,78	79,78	Mdc
75,98	75,98	Mdc
79,78	79,78	Mdc
RSps01	RSps01	Mdc
40,27	40,27	Mdc
42,28	42,28	Mdc
40,27	40,27	Mdc
42,28	42,28	Mdc
35,71	35,71	Mdc
37,50	37,50	Mdc
35,71	35,71	Mdc
37,50	37,50	Mdc

«	«	Qr
.	.	Z

Dodaju	dodati	Vmr3p
se	sebe	Px--sa
nove	nov	Agpfpny
šifre	šifra	Ncfpn
anatomsko-terapijsko-kemijske	anatomsko-terapijsko-kemijska	Ncfsg
(	(	Z
ATK	ATK	Npmsn
)	)	Z
klasifikacije	klasifikacija	Ncfsg
lijekova	lijek	Ncmpg
Svjetske	svjetski	Agpfsgy
zdravstvene	zdravstven	Agpfsgy
organizacije	organizacija	Ncfsg
,	,	Z
sa	sa	Si
sljedećim	sljedeći	Agpmpiy
podacima	podatak	Ncmpi
:	:	Z

»	»	Z

Šifra	šifra	Ncfsn
ATK	ati	Appfsny
Oznaka	oznaka	Ncfsn
Nezaštićeno	nezaštićen	Agpnsay
ime	ime	Ncnsa
lijeka	lijek	Ncmsg
DDD	DDD	Npmsn
i	i	Cc
jed	jed	Ncmsan
.	.	Z
mj	mj	Rgp
.	.	Z

Cijena	cijena	Ncfsn
za	za	Sa
DDD	DDD	Npmsan
Cijena	cijena	Ncfsn
za	za	Sa
DDD	DDD	Npmsan
(	(	Z
s	sa	Si
PDV-om	PDV	Npmsi
)	)	Z
Način	način	Ncmsan
primjene	primjena	Ncfsg
Nositelj	nositelj	Ncmsn
odobrenja	odobrenje	Ncnsg
Proizvođač	proizvođač	Ncmsn
Zaštićeno	zaštititi	Appnsny
ime	ime	Ncnsa
lijeka	lijek	Ncmsg
Oblik	oblik	Ncmsn
,	,	Z
jačina	jačina	Ncfsn
i	i	Cc
pakiranje	pakiranje	Ncnsa
lijeka	lijek	Ncmsg
Cijena	cijena	Ncfsn
jed	jea	Ncfsg
.	.	Z
oblika	oblik	Ncmsg
Cijena	cijena	Ncfsn
jed	jed	Ncfpg
.	.	Z
oblika	oblik	Ncmsg
(	(	Z
s	sa	Si
PDV-om	PDV	Npmsi
)	)	Z
Cijena	cijena	Ncfsn
orig.	orii	Agpnsgy
pakiranja	pakiranje	Ncnsg
Cijena	cijena	Ncfsn
orig.	orii	Agpnsgy
pakiranja	pakiranje	Ncnsg
(	(	Z
s	sa	Si
PDV-om	PDV	Npmsi
)	)	Z
R	R	X
/	/	Z
RS		Npmsi
Iznos	iznos	Ncmsn
koji	koji	Pi-msn
Zavod	zavod	Ncmsn
plaća	plaćati	Vmr3s
za	za	Sa
jed	jed	Ncmsan
.	.	Z
oblik	oblik	Ncmsan
Iznos	iznos	Ncmsn
koji	koji	Pi-msn
Zavod	zavod	Ncmsn
plaća	plaćati	Vmr3s
za	za	Sa
jed	jed	Ncmsan
.	.	Z
oblik	oblik	Ncmsan
(	(	Z
s	sa	Si
PDV-om	PDV	Npmsi
)	)	Z
Iznos	iznos	Ncmsan
koji	koji	Pi-msn
Zavod	zavod	Ncmsn
plaća	plaća	Ncfpg
za	za	Sa
orig.	origi	Agpnsay
pakiranje	pakiranje	Ncnsa
