potrošačima	potrošač	Ncmpd
po	po	Sl
cijenama	cijena	Ncfpl
iznad	iznad	Sg
maksimalnih	maksimalan	Agpmpgy
kako	kako	Cs
se	sebe	Px--sa
određuje	određivati	Vmr3s
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ovog	ovaj	Pd-msg
Ugovora	ugovor	Ncmsg
«	«	Z
,	,	Z
te	te	Cc
bi	biti	Vaa3s
se	sebe	Px--sa
brisao	brisati	Vmp-sm
dio	dio	Ncmsn
odredbe	odredba	Ncfsg
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
navedeno	navesti	Appnsny
da	da	Cs
Navela	navesti	Vmp-sf
ima	imati	Vmr3s
pravo	pravo	Ncnsa
raskinuti	raskinuti	Vmn
ugovor	ugovor	Ncmsan
ako	ako	Cs
servis	servis	Ncmsn
rezervne	rezervni	Agpmpay
dijelove	dio	Ncmpa
nabavlja	nabavljati	Vmr3s
mimo	mimo	Sg
Navele	Navela	Npfsg
i	i	Cc
protivno	protivno	Rgp
odredbama	odredba	Ncfpl
Ugovora	ugovor	Ncmsg
.	.	Z

Navela	navesti	Vmp-sf
se	sebe	Px--sa
obvezuje	obvezivati	Vmr3s
na	na	Sa
sklapanje	sklapanje	Ncnsa
aneksa	aneks	Ncmsg
ugovora	ugovor	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
2	2	Mdc
mjeseca	mjesec	Ncmsg
od	od	Sg
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
Agencije	agencija	Ncfsg
.	.	Z

Također	također	Rgp
,	,	Z
Navela	navesti	Vmp-sf
se	sebe	Px--sa
obvezuje	obvezivati	Vmr3s
da	da	Cs
ugovori	ugovoriti	Vmr3s
koje	koji	Pi-mpa
će	htjeti	Var3s
ubuduće	ubuduće	Rgp
sklapati	sklapati	Vmn
s	sa	Si
predstavnicima	predstavnik	Ncmpi
svoje	svoj	Px-fpa
