ostvaruju	ostvarivati	Vmr3p
pravo	pravo	Ncnsa
na	na	Sa
djelomično	djelomičan	Agpnsay
oslobađanje	oslobađanje	Ncnsa
od	od	Sg
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
samo	samo	Rgp
za	za	Sa
izgradnju	izgradnja	Ncfsa
stambenih	stambeni	Agpmpgy
,	,	Z
poslovno-stambenih	poslovno-stambeni	Agpfpgy
i	i	Cc
stambeno-poslovnih	stambeno-poslovan	Agpmpgy
objekata	objekt	Ncmpg
kao	kao	Cs
u	u	Sl
prethodnom	prethodan	Agpmsly
stavku	stavak	Ncmsl
.	.	Z

Odredbom	odredba	Ncfsi
članka	članak	Ncmsg
14.	14.	Mdo
stavka	stavak	Ncmsg
6.	6.	Mdo
Odluke	odluka	Ncfsg
propisano	propisati	Appnsny
je	biti	Var3s
:	:	Z

Kao	kao	Cs
dokaz	dokaz	Ncmsn
mjesta	mjesto	Ncnsg
prebivališta	prebivalište	Ncnsg
na	na	Sl
području	područje	Ncnsl
Općine	općina	Ncfsg
Lopar	Lopar	Npmsn
,	,	Z
podnositelj	podnositelj	Ncmsn
zahtjeva	zahtjev	Ncmpg
dužan	dužan	Agpmsnn
je	biti	Var3s
dostaviti	dostaviti	Vmn
uvjerenje	uvjerenje	Ncnsa
Policijske	policijski	Agpfsgy
postaje	postaja	Ncfsg
Rab	Rab	Npmsn
.	.	Z

U	u	Sl
slučaju	slučaj	Ncmsl
gradnje	gradnja	Ncfsg
druge	drugi	Mlofsg
i	i	Cc
slijedećih	slijedeći	Agpfpgy
građevina	građevina	Ncfpg
na	na	Sl
području	područje	Ncnsl
Općine	općina	Ncfsg
Lopar	Lopar	Npmsn
,	,	Z
podnositelj	podnositelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
potvrdu	potvrda	Ncfsa
zemljišno-knjižnog	zemljišno-knjižni	Agpmsgy
odjela	odjel	Ncmsg
i	i	Cc
ureda	ured	Ncmpg
za	za	Sa
katastar	katastar	Ncmsan
o	o	Sl
vlasništvu	vlasništvo	Ncnsl
kao	kao	Cs
i	i	Qo
rješenje	rješenje	Ncnsn
o	o	Sl
razrezanom	razrezati	Agpmsly
komunalnom	komunalan	Agpmsly
doprinosu	doprinos	Ncmsl
za	za	Sa
predmetne	predmetni	Agpfpay
građevine	građevina	Ncfpa
.	.	Z

Ocjenjujući	ocjenjivati	Rr
zakonitost	zakonitost	Ncfsa
osporenih	osporiti	Appfpgy
odredbi	odredba	Ncfpg
Odluke	odluka	Ncfsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
ovaj	ovaj	Pd-msn
Sud	sud	Ncmsn
odgovarajućom	odgovarajući	Agpfsiy
primjenom	primjena	Ncfsi
odredbe	odredba	Ncfsg
članka	članak	Ncmsg
31.	31.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
upravnim	upravan	Agpmply
sporovima	spor	Ncmpl
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
20/10.	20/10.	Mds
,	,	Z
143/12.	143/12.	Mds
i	i	Cc
152/14.	152/14.	Mds
–	–	Z
dalje	daleko	Rgc
ZUS	ZUS	Npmsn
)	)	Z
nije	biti	Var3s
vezan	vezan	Agpmsnn
razlozima	razlog	Ncmpi
zahtjeva	zahtjev	Ncmpg
,	,	Z
Sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
kako	kako	Cs
Općinsko	općinski	Agpnsny
vijeće	vijeće	Ncnsn
Općine	općina	Ncfsg
Lopar	Lopar	Npfsn
nije	biti	Var3s
povrijedilo	povrijediti	Vmp-sn
zakon	zakon	Ncmsan
odredivši	odrediti	Rr
prebivalište	prebivalište	Ncnsa
građana	građanin	Ncmpg
kao	kao	Cs
kriterij	kriterij	Ncmsan
oslobađanja	oslobađanje	Ncnsg
od	od	Sg
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
,	,	Z
dok	dok	Cs
je	biti	Var3s
povrijedilo	povrijediti	Vmp-sn
zakon	zakon	Ncmsan
kada	kada	Cs
je	biti	Var3s
propisalo	propisati	Vmp-sn
da	da	Cs
se	sebe	Px--sa
prebivalište	prebivalište	Ncnsn
kao	kao	Cs
osnova	osnova	Ncfsn
oslobađanja	oslobađanje	Ncnsg
od	od	Sg
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
može	moći	Vmr3s
dokazati	dokazati	Vmn
isključivo	isključivo	Rgp
uvjerenjem	uvjerenje	Ncnsi
policijske	policijski	Agpfsgy
postaje	postaja	Ncfsg
.	.	Z

Naime	naime	Qo
,	,	Z
za	za	Sa
ocjenu	ocjena	Ncfsa
zakonitosti	zakonitost	Ncfsg
osporenih	osporiti	Agpfpgy
odredbi	odredba	Ncfpg
mjerodavan	mjerodavan	Agpmsnn
je	biti	Var3s
članak	članak	Ncmsn
31.	31.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
komunalnom	komunalan	Agpnsly
gospodarstvu	gospodarstvo	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
broj	broj	Ncmsn
36/95.	36/95.	Mds
,	,	Z
109/95.	109/95.	Mds
,	,	Z
21/96.	21/96.	Mds
,	,	Z
70/97.	70/97.	Mds
,	,	Z
128/99.	128/99.	Mds
,	,	Z
57/00.	57/00.	Mds
,	,	Z
129/00.	129/00.	Mds
,	,	Z
59/01.	59/01.	Mds
,	,	Z
82/04.	82/04.	Mds
,	,	Z
110/04.	110/04.	Mds
,	,	Z
178/04.	178/04.	Mds
,	,	Z
38/09.	38/09.	Mds
,	,	Z
79/09.	79/09.	Mds
,	,	Z
153/09.	153/09.	Mds
,	,	Z
49/11.	49/11.	Mds
,	,	Z
84/11.	84/11.	Mds
,	,	Z
90/11.	90/11.	Mds
,	,	Z
144/12.	144/12.	Mds
,	,	Z
56/13.	56/13.	Mds
,	,	Z
94/13.	94/13.	Mds
,	,	Z
153/13.	153/13.	Mdo
,	,	Z
147/14.	147/14.	Mdo
i	i	Cc
36/15.	36/15.	Mds
–	–	Z
dalje	daleko	Rgc
:	:	Z
ZKG	ZKG	Npmsn
)	)	Z
koji	koji	Pi-msn
u	u	Sl
odredbi	odredba	Ncfsl
stavka	stavak	Ncmsg
7.	7.	Mdo
propisuje	propisivati	Vmr3s
da	da	Cs
predstavničko	predstavnički	Agpnsny
tijelo	tijelo	Ncnsn
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
donosi	donositi	Vmr3s
odluku	odluka	Ncfsa
o	o	Sl
komunalnom	komunalan	Agpmsly
doprinosu	doprinos	Ncmsl
kojom	koji	Pi-fsi
se	sebe	Px--sa
obavezno	obavezno	Rgp
utvrđuje	utvrđivati	Vmr3s
:	:	Z
područja	područje	Ncnpa
zone	zona	Ncfsg
u	u	Sl
gradu	grad	Ncmsl
,	,	Z
odnosno	odnosno	Rgp
općini	općina	Ncfsl
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
pogodnosti	pogodnost	Ncfsl
položaja	položaj	Ncmsg
određenog	određen	Agpnsgy
područja	područje	Ncnsg
i	i	Cc
stupnju	stupanj	Ncmsl
opremljenosti	opremljenost	Ncfsg
objektima	objekt	Ncmpd
i	i	Cc
uređajima	uređaj	Ncmpi
komunalne	komunalan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
;	;	Z
jedinična	jedinični	Agpfsny
vrijednost	vrijednost	Ncfsn
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
po	po	Sl
vrsti	vrsta	Ncfsl
objekta	objekt	Ncmsg
i	i	Cc
uređaja	uređaj	Ncmpg
komunalne	komunalan	Agpfsgy
infrastrukture	infrastruktura	Ncfsg
i	i	Cc
po	po	Sl
pojedinim	pojedini	Agpfply
zonama	zona	Ncfpl
,	,	Z
određena	odrediti	Appfsny
u	u	Sl
kunama	kuna	Ncfpl
po	po	Sl
m3	ma	Ncfsl
građevine	građevina	Ncfsg
,	,	Z
način	način	Ncmsn
i	i	Cc
rokovi	rok	Ncmpn
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
,	,	Z
opći	opći	Agpmpny
uvjeti	uvjet	Ncmpn
i	i	Cc
razlozi	razlog	Ncmpn
zbog	zbog	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
u	u	Sl
pojedinačnim	pojedinačan	Agpmply
slučajevima	slučaj	Ncmpl
može	moći	Vmr3s
odobriti	odobriti	Vmn
djelomično	djelomično	Rgp
ili	ili	Cc
potpuno	potpun	Agpnsay
oslobađanje	oslobađanje	Ncnsa
od	od	Sg
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
i	i	Cc
izvore	izvor	Ncmpa
sredstava	sredstvo	Ncnpg
iz	iz	Sg
kojih	koji	Pi-mpg
će	htjeti	Var3p
se	sebe	Px--sa
namiriti	namiriti	Vmn
iznos	iznos	Ncmsn
za	za	Sa
slučaj	slučaj	Ncmsan
potpunog	potpun	Agpmsgy
ili	ili	Cc
djelomičnog	djelomičan	Agpnsgy
oslobađanja	oslobađanje	Ncnsg
od	od	Sg
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
.	.	Z

Prema	prema	Sl
tome	taj	Pd-nsl
predstavničko	predstavnički	Agpnsny
tijelo	tijelo	Ncnsn
jedinice	jedinica	Ncfsg
lokalne	lokalan	Agpfsgy
samouprave	samouprava	Ncfsg
ZKG-om	ZKG-om	Pd-nsn
je	biti	Var3s
ovlašteno	ovlastiti	Appnsny
propisati	propisati	Vmn
uvjete	uvjet	Ncmpa
i	i	Cc
razloge	razlog	Ncmpa
zbog	zbog	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
u	u	Sl
pojedinačnim	pojedinačan	Agpmply
slučajevima	slučaj	Ncmpl
može	moći	Vmr3s
odobriti	odobriti	Vmn
djelomično	djelomično	Rgp
ili	ili	Cc
potpuno	potpun	Agpnsay
oslobađanje	oslobađanje	Ncnsa
od	od	Sg
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
,	,	Z
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
utvrdi	utvrditi	Vmr3s
izvore	izvor	Ncmpa
sredstava	sredstvo	Ncnpg
iz	iz	Sg
kojih	koji	Pi-mpg
će	htjeti	Var3p
se	sebe	Px--sa
namiriti	namiriti	Vmn
razlika	razlika	Ncfsn
sredstava	sredstvo	Ncnpg
za	za	Sa
slučaj	slučaj	Ncmsan
potpunog	potpun	Agpmsgy
ili	ili	Cc
djelomičnog	djelomičan	Agpnsgy
oslobađanja	oslobađanje	Ncnsg
od	od	Sg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
.	.	Z

Stoga	stoga	Rgp
Sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
da	da	Cs
Općinsko	općinski	Agpnsny
vijeće	vijeće	Ncnsn
Općine	općina	Ncfsg
Lopar	Lopar	Npmsn
,	,	Z
propisujući	propisivati	Rr
uvjete	uvjet	Ncmpa
za	za	Sa
djelomično	djelomičan	Agpnsay
oslobađanje	oslobađanje	Ncnsa
od	od	Sg
obveze	obveza	Ncfsg
plaćanja	plaćanje	Ncnsg
komunalnog	komunalan	Agpmsgy
doprinosa	doprinos	Ncmsg
po	po	Sl
kriteriju	kriterij	Ncmsl
prebivališta	prebivalište	Ncnsg
obveznika	obveznik	Ncmsg
doprinosa	doprinos	Ncmsg
