galerijske	galerijski	Agpfpny
,	,	Z
knjižničarske	knjižničarski	Agpfpay
,	,	Z
arhivske	arhivski	Agpfsgy
,	,	Z
kazališne	kazališni	Agpfpay
,	,	Z
glazbene	glazben	Agpmpay
i	i	Cc
glazbeno-scenske	glazbeno-scenski	Agpfsgy
,	,	Z
nakladničke	nakladnički	Agpfsgy
,	,	Z
likovne	likovni	Agpmpay
i	i	Cc
filmske	filmski	Agpfsgy
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
obavlja	obavljati	Vmr3s
upravne	upravan	Agpfsgy
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
:	:	Agpnsay
istraživanje	istraživanje	Ncnsa
,	,	Z
proučavanje	proučavanje	Ncnsa
,	,	Z
praćenje	praćenje	Ncnsa
,	,	Z
evidentiranje	evidentiranje	Ncnsa
,	,	Z
dokumentiranje	dokumentiranje	Ncnsa
i	i	Cc
promicanje	promicanje	Ncnsa
kulturne	kulturan	Agpfsgy
baštine	baština	Ncfsg
;	;	Z
središnju	središnji	Agpfsay
informacijsko-dokumentacijsku	informacijsko-dokumentacijski	Agpfsay
službu	služba	Ncfsa
;	;	Z
utvrđivanje	utvrđivanje	Ncnsa
svojstva	svojstvo	Ncnsg
zaštićenih	zaštititi	Agpnpgy
kulturnih	kulturan	Agpnpgy
dobara	dobro	Ncnpg
;	;	Z
propisivanje	propisivanje	Ncnsa
mjerila	mjerilo	Ncnsg
za	za	Sa
utvrđivanje	utvrđivanje	Ncnsa
programa	program	Ncmpg
javnih	javan	Agpfpgy
potreba	potreba	Ncfpg
u	u	Sl
kulturi	kultura	Ncfsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
;	;	Z
skrb	skrb	Ncfsn
,	,	Z
usklađivanje	usklađivanje	Ncnsa
i	i	Cc
vođenje	vođenje	Ncnsa
nadzora	nadzor	Ncmsg
nad	nad	Si
financiranjem	financiranje	Ncnsi
programa	program	Ncmsg
zaštite	zaštita	Ncfsg
kulturne	kulturan	Agpfsgy
baštine	baština	Ncfsg
;	;	Z
osnivanje	osnivanje	Ncnsa
i	i	Cc
nadzor	nadzor	Ncmsan
nad	nad	Si
ustanovama	ustanova	Ncfpi
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
djelatnosti	djelatnost	Ncfsg
zaštite	zaštita	Ncfsg
kulturne	kulturan	Agpfsgy
baštine	baština	Ncfsg
;	;	Z
ocjenjivanje	ocjenjivanje	Ncnsa
uvjeta	uvjet	Ncmpg
za	za	Sa
rad	rad	Ncmsan
pravnih	pravni	Agpmpgy
i	i	Cc
fizičkih	fizički	Agpfpgy
osoba	osoba	Ncfpg
na	na	Sl
restauratorskim	restauratorski	Agpfply
,	,	Z
konzervatorskim	konzervatorski	Agpfply
i	i	Cc
drugim	drugi	Mlofpl
poslovima	posao	Ncmpi
zaštite	zaštita	Ncfsg
kulturne	kulturan	Agpfsgy
baštine	baština	Ncfsg
;	;	Z
osiguranje	osiguranje	Ncnsa
uvjeta	uvjet	Ncmpg
za	za	Sa
obrazovanje	obrazovanje	Ncnsa
i	i	Cc
usavršavanje	usavršavanje	Ncnsa
stručnih	stručan	Agpmpgy
radnika	radnik	Ncmpg
u	u	Sl
poslovima	posao	Ncmpl
zaštite	zaštita	Ncfsg
kulturne	kulturan	Agpfsgy
baštine	baština	Ncfsg
;	;	Z
provedbu	provedba	Ncfsa
nadzora	nadzor	Ncmsg
prometa	promet	Ncmsg
,	,	Z
uvoza	uvoz	Ncmsg
i	i	Cc
izvoza	izvoz	Ncmpg
zaštićenih	zaštititi	Appmpgy
kulturnih	kulturan	Agpmpgy
dobara	dobro	Ncmpg
;	;	Z
utvrđivanje	utvrđivanje	Ncnsa
uvjeta	uvjet	Ncmpg
za	za	Sa
korištenje	korištenje	Ncnsa
i	i	Cc
namjenu	namjena	Ncfsa
kulturnih	kulturan	Agpmpgy
dobara	dobro	Ncmpg
te	te	Cc
upravljanje	upravljanje	Ncnsn
kulturnim	kulturan	Agpmsiy
dobrima	dobar	Agpmpiy
sukladno	sukladno	Rgp
propisima	propis	Ncmpl
;	;	Z
utvrđivanje	utvrđivanje	Ncnsn
posebnih	poseban	Agpmpgy
uvjeta	uvjet	Ncmpg
građenja	građenje	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
dijelova	dio	Ncmpg
kulturne	kulturan	Agpfsgy
baštine	baština	Ncfsg
;	;	Z
obavljanje	obavljanje	Ncnsa
inspekcijskih	inspekcijski	Agpmpgy
poslova	posao	Ncmpg
zaštite	zaštita	Ncfsg
kulturne	kulturan	Agpfsgy
baštine	baština	Ncfsg
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
u	u	Sl
svojstvu	svojstvo	Ncnsl
resornog	resorni	Agpnsgy
ministarstva	ministarstvo	Ncnsg
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
državnu	državni	Agpfsay
imovinu	imovina	Ncfsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
u	u	Sl
pogledu	pogled	Ncmsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
pretežno	pretežno	Rgp
bave	baviti	Vmr3p
djelatnostima	djelatnost	Ncfpi
iz	iz	Sg
područja	područje	Ncnsg
nadležnosti	nadležnost	Ncfsg
resornog	resorni	Agpnsgy
ministarstva	ministarstvo	Ncnsg
,	,	Z
utvrđenima	utvrditi	Appmpiy
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
sudjelovanje	sudjelovanje	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
radu	rad	Ncmsl
tijela	tijelo	Ncnsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
u	u	Sl
područjima	područje	Ncnpl
iz	iz	Sg
njegove	njegov	Ps3fsg
nadležnosti	nadležnost	Ncfsg
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
obavlja	obavljati	Vmr3s
i	i	Qo
druge	drugi	Mlompa
poslove	posao	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
mu	on	Pp3msd
stavljeni	staviti	Appmpny
u	u	Sa
djelokrug	djelokrug	Ncmsan
posebnim	poseban	Agpmsiy
zakonom	zakon	Ncmsi
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

Ministarstvo	ministarstvo	Ncnsn
turizma	turizam	Ncmsg
obavlja	obavljati	Vmr3s
upravne	upravan	Agpmpay
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
:	:	Z
turističku	turistički	Agpfsay
politiku	politika	Ncfsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
strategiju	strategija	Ncfsa
razvitka	razvitak	Ncmsg
hrvatskog	hrvatski	Agpmsgy
turizma	turizam	Ncmsg
;	;	Z
razvoj	razvoj	Ncmsan
i	i	Cc
investicije	investicija	Ncfsg
u	u	Sl
turizmu	turizam	Ncmsl
;	;	Z
razvitak	razvitak	Ncmsn
kongresnoga	kongresni	Agpmsgy
,	,	Z
seoskoga	seoski	Agpnsgy
,	,	Z
lovnoga	lovni	Agpmsgy
,	,	Z
zdravstvenoga	zdravstven	Agpmsgy
,	,	Z
omladinskoga	omladinski	Agpnsgy
i	i	Cc
drugih	drugi	Mlompg
selektivnih	selektivan	Agpmpgy
oblika	oblik	Ncmpg
turizma	turizam	Ncmsg
;	;	Z
unapređivanje	unapređivanje	Ncnsa
i	i	Cc
razvoj	razvoj	Ncmsan
malog	mali	Agpnsgy
poduzetništva	poduzetništvo	Ncnsg
u	u	Sl
turizmu	turizam	Ncmsl
i	i	Cc
ugostiteljstvu	ugostiteljstvo	Ncnsl
;	;	Z
sanacijske	sanacijski	Agpmpay
programe	program	Ncmpa
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
restrukturiranjem	restrukturiranje	Ncnsi
hotelsko-ugostiteljskih	hotelsko-ugostiteljski	Agpfpgy
tvrtki	tvrtka	Ncfpg
,	,	Z
praćenje	praćenje	Ncnsa
i	i	Cc
sudjelovanje	sudjelovanje	Ncnsa
u	u	Sl
procesu	proces	Ncmsl
privatizacije	privatizacija	Ncfsg
;	;	Z
turističku	turistički	Agpfsay
informatiku	informatika	Ncfsa
,	,	Z
promicanje	promicanje	Ncnsa
hrvatskog	hrvatski	Agpmsgy
turizma	turizam	Ncmsg
u	u	Sl
inozemstvu	inozemstvo	Ncnsl
;	;	Z
sustav	sustav	Ncmsn
turističkih	turistički	Agpfpgy
zajednica	zajednica	Ncfpg
;	;	Z
turističku	turistički	Agpfsay
i	i	Cc
ugostiteljsku	ugostiteljski	Agpfsay
statistiku	statistika	Ncfsa
;	;	Z
stanje	stanje	Ncnsa
i	i	Cc
pojave	pojava	Ncfsg
na	na	Sl
području	područje	Ncnsl
turističkih	turistički	Agpfpgy
i	i	Cc
ugostiteljskih	ugostiteljski	Agpfpgy
usluga	usluga	Ncfpg
;	;	Z
međunarodnu	međunarodni	Agpfsay
suradnju	suradnja	Ncfsa
u	u	Sl
svezi	sveza	Ncfsl
s	sa	Si
turizmom	turizam	Ncmsi
;	;	Z
djelovanje	djelovanje	Ncnsa
instrumenata	instrument	Ncmpg
gospodarskog	gospodarski	Agpmsgy
sustava	sustav	Ncmsg
i	i	Cc
mjera	mjera	Ncfpg
gospodarske	gospodarski	Agpfsgy
politike	politika	Ncfsg
na	na	Sa
razvoj	razvoj	Ncmsan
ponude	ponuda	Ncfsg
i	i	Cc
pružanje	pružanje	Ncnsa
turističkih	turistički	Agpmpgy
i	i	Cc
ugostiteljskih	ugostiteljski	Agpfpgy
usluga	usluga	Ncfpg
i	i	Cc
poslovanje	poslovanje	Ncnsa
turističkih	turistički	Agpmpgy
i	i	Cc
ugostiteljskih	ugostiteljski	Agpmpgy
gospodarskih	gospodarski	Agpmpgy
subjekata	subjekt	Ncmpg
;	;	Z
uvjete	uvjet	Ncmpa
obavljanja	obavljanje	Ncnsg
turističke	turistički	Agpfsgy
i	i	Cc
ugostiteljske	ugostiteljski	Agpfpay
djelatnosti	djelatnost	Ncfpa
,	,	Z
praćenje	praćenje	Ncnsn
i	i	Cc
analiziranje	analiziranje	Ncnsa
kvalitete	kvaliteta	Ncfsg
turističke	turistički	Agpfsgy
ponude	ponuda	Ncfsg
,	,	Z
turističkih	turistički	Agpfpgy
i	i	Cc
ugostiteljskih	ugostiteljski	Agpfpgy
usluga	usluga	Ncfpg
,	,	Z
uvođenje	uvođenje	Ncnsn
međunarodnih	međunarodni	Agpmpgy
standarda	standard	Ncmpg
kvalitete	kvaliteta	Ncfsg
ponude	ponuda	Ncfsg
smještaja	smještaj	Ncmsg
i	i	Cc
usluga	usluga	Ncfpg
;	;	Z
kategorizaciju	kategorizacija	Ncfsa
turističkih	turistički	Agpmpgy
i	i	Cc
ugostiteljskih	ugostiteljski	Agpmpgy
objekata	objekt	Ncmpg
;	;	Z
unapređivanje	unapređivanje	Ncnsn
turističke	turistički	Agpfsgy
i	i	Cc
ugostiteljske	ugostiteljski	Agpfpay
djelatnosti	djelatnost	Ncfpa
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
obavlja	obavljati	Vmr3s
inspekcijske	inspekcijski	Agpmpay
poslove	posao	Ncmpa
u	u	Sl
području	područje	Ncnsl
ugostiteljske	ugostiteljski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
i	i	Cc
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg
u	u	Sl
turizmu	turizam	Ncmsl
,	,	Z
osim	osim	Sg
nadzora	nadzor	Ncmsg
nad	nad	Si
naplatom	naplata	Ncfsi
proračunskih	proračunski	Agpmpgy
i	i	Cc
ostalih	ostali	Agpmpgy
prihoda	prihod	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
utvrđeni	utvrditi	Appmpny
u	u	Sl
djelokrugu	djelokrug	Ncmsl
Ministarstva	ministarstvo	Ncnsg
financija	financije	Ncfpg
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
u	u	Sl
svojstvu	svojstvo	Ncnsl
resornog	resorni	Agpnsgy
ministarstva	ministarstvo	Ncnsg
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
poslovima	posao	Ncmpl
upravljanja	upravljanje	Ncnsg
i	i	Cc
raspolaganja	raspolaganje	Ncnsg
dionicama	dionica	Ncfpl
i	i	Cc
poslovnim	poslovan	Agpmply
udjelima	udjel	Ncmpl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koji	koji	Pi-mpn
čine	činiti	Vmr3p
državnu	državni	Agpfsay
imovinu	imovina	Ncfsa
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
u	u	Sl
pogledu	pogled	Ncmsl
trgovačkih	trgovački	Agpnpgy
društava	društvo	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
pretežno	pretežno	Rgp
bave	baviti	Vmr3p
djelatnostima	djelatnost	Ncfpi
iz	iz	Sg
područja	područje	Ncnsg
nadležnosti	nadležnost	Ncfsg
resornog	resorni	Agpnsgy
ministarstva	ministarstvo	Ncnsg
,	,	Z
utvrđenima	utvrditi	Appmpiy
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
.	.	Z

Ministarstvo	ministarstvo	Ncnsn
obavlja	obavljati	Vmr3s
poslove	posao	Ncmpa
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
sudjelovanje	sudjelovanje	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
radu	rad	Ncmsl
tijela	tijelo	Ncnsg
Europske	europski	Agpfsgy
