Svetrinčenat	svetrinčenat	Ncmsn
(	(	Z
D77	D77	X
)	)	Z
–	–	Z
Kranjčići	Kranjčići	Npfsl
–	–	Z
želj	želj	Ncmsn
.	.	Z
postaja	postaja	Ncfsn
3,0	3,0	Mdc
LC	LC	Y
50135	50135	Mdc
Gajana	Gajana	Npfsn
–	–	Z
D75	D75	X
1,9	1,9	Mdc
LC	LC	Y
50136	50136	Mdc
Čabruniči	Čabruniča	Npfsl
–	–	Z
Jankovica	Jankovica	Npfsn
(	(	Z
D77	D77	X
)	)	Z
1,0	1,0	Mdc
LC	LC	Npmsn
50137	50137	Mdc
Cukrići	Cukrići	Xf
–	–	Z
Juršići	Juršići	Npfsl
(	(	Z
D77	D77	X
)	)	Z
1,0	1,0	Mdc
LC	LC	Y
50138	50138	Mdc
Gradišće	Gradišće	Npnsn
(	(	Z
L50132	L50132	X
)	)	Z
–	–	Z
Grižini	grižin	Aspmpny
(	(	Z
L50139	L50139	X
)	)	Z
2,1	2,1	Mdc
LC	LC	Y
50139	50139	Mdc
Svetvinčenat	Svetvinčenat	Xf
(	(	Z
D77	D77	X
)	)	Z
–	–	Z
Cere	ceriti	Vmr3p
(	(	Z
Ž5077	Ž5077	X
)	)	Z
6,7	6,7	Mdc
LC	LC	Y
50140	50140	Mdc
Petehi	Petehi	Xf
(	(	Z
Ž5077	Ž5077	X
)	)	Z
–	–	Z
Draguzeti	draguzeti	Vmn
0,9	0,9	Mdc
LC	LC	Y
50141	50141	Mdc
Kožljani	Kožljan	Npmpn
(	(	Z
Ž5077	Ž5077	X
)	)	Z
–	–	Z
Grandići	Grandić	Npmpn
–	–	Z
Želiski	želiski	Agpmsny
–	–	Z
Ž5101	Ž5101	X
4,4	4,4	Mdc
LC	LC	Y
50142	50142	Mdc
D77	D77	X
–	–	Z
Štokovci	Štokovc	Npmpn
–	–	Z
Bokordići	Bokordići	Npfsl
(	(	Z
Ž5099	Ž5099	X
)	)	Z
3,6	3,6	Mdc
LC	LC	Y
50143	50143	Mdc
Juršići	Juršići	Xf
(	(	Z
D77	D77	X
)	)	Z
–	–	Z
Butkovići	Butković	Npmpn
–	–	Z
Orbanići	Orbanić	Npmpn
–	–	Z
Divšići	Divšići	Npfsl
(	(	Z
Ž5101	Ž5101	X
)	)	Z
6,5	6,5	Mdc
LC	LC	Y
50144	50144	Mdc
Šajini	Šajina	Npfsl
(	(	Z
Ž5100	Ž5100	X
)	)	Z
–	–	Z
Bičići	bičić	Ncmpn
–	–	Z
Orbanići	Orbanić	Npmpn
–	–	Z
D77	D77	X
9,5	9,5	Mdc
LC	LC	Y
50145	50145	Mdc
Manjadvorci	Manjadvorc	Npmpn
(	(	Z
D66	D66	X
)	)	Z
–	–	Z
Hreljići	Hreljići	Npfsl
–	–	Z
L50153	L50153	X
3,9	3,9	Mdc
LC	LC	Y
50146	50146	Mdc
L50125	L50125	X
–	–	Z
Mali	mali	Agpmsny
Golji	golji	Agpmsny
–	–	Z
Veli	veli	Vmr3s
Golji	Golja	Npmsd
–	–	Z
Marcijani	Marcijan	Npmpn
–	–	Z
Vinež	Vinež	Npmsn
(	(	Z
Ž5081	Ž5081	X
)	)	Z
5,5	5,5	Mdc
LC	LC	Y
50147	50147	Mdc
Marići	Marić	Npmpn
(	(	Z
L50125	L50125	X
)	)	Z
–	–	Z
Snašići	Snašići	Npfsl
–	–	Z
Vinež	Vinež	Npmsn
(	(	Z
Ž5081	Ž5081	X
)	)	Z
5,4	5,4	Mdc
LC	LC	Y
50148	50148	Mdc
Snašići	Snašići	Xf
(	(	Z
L50147	L50147	X
)	)	Z
–	–	Z
Barbići	barbići	Agpmsny
2,1	2,1	Mdc
LC	LC	Y
50149	50149	Mdc
Letajac	Letajac	Npmsn
–	–	Z
Topid	Topid	Npmsn
–	–	Z
Sv.	Sv.	Y
Bartul	Bartul	Npmsn
–	–	Z
L50147	L50147	X
3,4	3,4	Mdc
LC	LC	Y
50150	50150	Mdc
Salakovci	Salakovc	Npmpn
(	(	Z
Ž5103	Ž5103	X
)	)	Z
–	–	Z
Kranjci	Kranjca	Npfsl
–	–	Z
Presika	Presika	Npfsn
(	(	Z
Ž5081	Ž5081	X
)	)	Z
3,5	3,5	Mdc
LC	LC	Y
50151	50151	Mdc
Brgod	Brgod	Xf
(	(	Z
Ž5103	Ž5103	X
)	)	Z
–	–	Z
Trget	Trget	Npmsn
4,0	4,0	Mdc
LC	LC	Y
50152	50152	Mdc
D66	D66	X
–	–	Z
Puntera	Punter	Npmsay
0,6	0,6	Mdc
LC	LC	Y
50153	50153	Mdc
Bristovac	Bristovac	Npmsn
(	(	Z
D66	D66	X
)	)	Z
–	–	Z
Hrboki	hrbok	Agpmsny
–	–	Z
Rebići	Rebić	Npmpn
4,1	4,1	Mdc
LC	LC	Y
50154	50154	Mdc
Ripenda	Ripend	Npmsg
Verbanci	Verbanc	Npmpn
–	–	Z
Labin	Labin	Npmsn
(	(	Z
Ž5081	Ž5081	X
)	)	Z
3,7	3,7	Mdc
LC	LC	Npmsn
50155	50155	Mdc
Ripenda	Ripenda	Npfsn
Kras	Kras	Npfsn
–	–	Z
Podlabin	Podlabin	Npmsn
(	(	Z
Ž5104	Ž5104	X
)	)	Z
2,0	2,0	Mdc
LC	LC	Y
50156	50156	Mdc
Labin	Labin	Npmsn
(	(	Z
Ž5081	Ž5081	X
)	)	Z
–	–	Z
Prtlog	Prtlog	Npmsn
4,2	4,2	Mdc
LC	LC	Y
50157	50157	Mdc
Hreljići	Hreljići	Xf
(	(	Z
L50145	L50145	X
)	)	Z
–	–	Z
Bratulići	bratulići	Agpmsny
–	–	Z
Stara	star	Agpfsny
Stancija	stancija	Ncfsn
(	(	Z
Ž5119	Ž5119	X
)	)	Z
2,4	2,4	Mdc
LC	LC	Y
50158	50158	Mdc
Peroj	Peroj	Npnsa
(	(	Z
Ž5115	Ž5115	X
)	)	Z
–	–	Z
Marana	Maran	Npmsg
(	(	Z
Ž5192	Ž5192	X
)	)	Z
2,1	2,1	Mdc
LC	LC	Y
50159	50159	Mdc
Vodnjan	Vodnjan	Npmsn
:	:	Z
D75	D75	X
–	–	Z
želj	želj	Ncmsn
.	.	Z
postaja	postaja	Ncfsn
(	(	Z
D77	D77	X
)	)	Z
1,1	1,1	Mdc
LC	LC	Y
50160	50160	Mdc
Vodnjan	Vodnjan	Npmsn
(	(	Z
D77	D77	X
)	)	Z
–	–	Z
Pula	Pula	Npfsn
kanal	kanal	Ncmsn
(	(	Z
D75	D75	X
)	)	Z
6,7	6,7	Mdc
LC	LC	Y
50161	50161	Mdc
Fažana	Fažana	Npfsn
(	(	Z
Ž5115	Ž5115	X
)	)	Z
–	–	Z
Galižana	Galižana	Npfsn
(	(	Z
D75	D75	X
)	)	Z
4,0	4,0	Mdc
LC	LC	Npmsn
50162	50162	Mdc
