Gubačevo	gubačev	Agpnsny
Polje	polje	Ncnsn
7,9	7,9	Mdc
LC	LC	Y
63032	63032	Mdc
Kijani	Kijan	Npmpn
–	–	Z
L59117	L59117	X
6,1	6,1	Mdc
LC	LC	Y
63033	63033	Mdc
Grab	grab	Ncmsn
–	–	Z
D1	D1	X
1,4	1,4	Mdc
LC	LC	Y
63034	63034	Mdc
D1	D1	Xf
–	–	Z
želj	želj	Ncmsn
.	.	Z
kolodvor	kolodvor	Ncmsn
Grab	Grab	Npmsn
0,8	0,8	Mdc
LC	LC	Y
63035	63035	Mdc
Glogovo	Glogovo	Npnsn
–	–	Z
Vučipolje	Vučipolje	Npnsn
(	(	Z
D1	D1	X
)	)	Z
5,6	5,6	Mdc
LC	LC	Y
63036	63036	Mdc
Vučipolje	Vučipolje	Npnsn
(	(	Z
L63035	L63035	X
)	)	Z
–	–	Z
Duboki	dubok	Agpmsny
Dol	dol	Ncmsn
6,4	6,4	Mdc
LC	LC	Y
63037	63037	Mdc
G.	G.	Y
Labusi	Labus	Npmpn
–	–	Z
Vrpolje	vrpoljiti	Vmr3p
–	–	Z
Velika	velik	Agpfsny
Popina	Popina	Npfsn
(	(	Z
Ž6009	Ž6009	X
)	)	Z
4,9	4,9	Mdc
LC	LC	Npmsn
63038	63038	Mdc
Dabušnica	Dabušnica	Npfsn
–	–	Z
Ajderovac	Ajderovac	Npmsn
–	–	Z
Ž5203	Ž5203	X
10,4	10,4	Mdc
LC	LC	Npmsn
63039	63039	Mdc
Nadurljaj	Nadurlja	Npmpg
–	–	Z
Ž5203	Ž5203	X
2,2	2,2	Mdc
LC	LC	Y
63040	63040	Mdc
Kunovac	Kunovac	Npmsn
Kupirovački	Kupirovački	Npmsn
–	–	Z
Kupirovo	Kupirovo	Npnsa
(	(	Z
Ž5203	Ž5203	X
)	)	Z
1,9	1,9	Mdc
LC	LC	Npmsn
63041	63041	Mdc
Verunić	Verunić	Npfsn
–	–	Z
D109	D109	Mdc
1,2	1,2	Mdc
LC	LC	Y
63043	63043	Mdc
L63041	L63041	X
–	–	Z
Soline	Solina	Npfsg
0,7	0,7	Mdc
LC	LC	Y
63044	63044	Mdc
Božava	Božav	Npmsg
–	–	Z
D109	D109	Mdc
3,9	3,9	Mdc
LC	LC	Y
63045	63045	Mdc
V.	V.	Y
Horvatin	Horvatin	Npmsn
–	–	Z
Sestrunj	Sestrunj	Npmsn
–	–	Z
V.	V.	Y
Kablin	Kablin	Npmsn
2,8	2,8	Mdc
LC	LC	Y
63046	63046	Mdc
D110	D110	Mdc
–	–	Z
Ugljan	Ugljan	Npmsn
(	(	Z
D110	D110	Npmsn
)	)	Z
2,8	2,8	Mdc
LC	LC	Npmsn
63047	63047	Mdc
D110	D110	Mdc
–	–	Z
»	»	Z
Sv.	Sv.	Y
Kuzman	Kuzman	Npmsn
i	i	Cc
Damijan	Damijan	Npmsn
«	«	Z
–	–	Z
Ugljan	Ugljan	Npmsn
(	(	Z
D110	D110	Npmsn
)	)	Z
3,1	3,1	Mdc
LC	LC	Y
63048	63048	Mdc
Zaton	zaton	Ncmsn
–	–	Z
D306	D306	X
1,2	1,2	Mdc
LC	LC	Y
63049	63049	Mdc
Ninski	ninski	Agpmpny
Stanovi	stan	Ncmpn
(	(	Z
Ž6011	Ž6011	X
)	)	Z
–	–	Z
A.	A.	Y
G.	G.	Y
Grada	Grad	Npmsg
Zadra	Zadar	Npmsg
4,7	4,7	Mdc
LC	LC	Y
63055	63055	Mdc
Ž6007	Ž6007	X
–	–	Z
Krneza	Krnez	Npmsay
–	–	Z
Radovin	Radovin	Npmsn
–	–	Z
Visočane	Visočana	Npfsg
(	(	Z
Ž6014	Ž6014	X
)	)	Z
10,2	10,2	Mdc
LC	LC	Npmsn
63056	63056	Mdc
Dušovića	Dušović	Npmsg
Mlin	mlin	Ncmsn
(	(	Z
Ž6007	Ž6007	X
)	)	Z
–	–	Z
Visočane	Visočana	Npfsg
(	(	Z
Ž6014	Ž6014	X
)	)	Z
4,7	4,7	Mdc
LC	LC	Npmsn
63058	63058	Mdc
L63028	L63028	X
–	–	Z
Slivnica	Slivnica	Npfsn
2,8	2,8	Mdc
LC	LC	Y
63059	63059	Mdc
Visočane	Visočana	Npfsg
(	(	Z
L63055	L63055	X
)	)	Z
–	–	Z
Lovinac	Lovinac	Npmsn
–	–	Z
G.	G.	Y
Poličnik	Poličnik	Npmsn
(	(	Z
D8	D8	X
)	)	Z
4,5	4,5	Mdc
LC	LC	Npmsn
63060	63060	Mdc
G.	G.	Y
Poličnik	Poličnik	Npmsn
(	(	Z
D8	D8	X
)	)	Z
–	–	Z
Rupelj	Rupelj	Npmsn
2,0	2,0	Mdc
LC	LC	Y
63061	63061	Mdc
Grgurice	Grgurica	Npfpn
–	–	Z
D8	D8	X
1,1	1,1	Mdc
LC	LC	Y
63062	63062	Mdc
Ž6258	Ž6258	X
–	–	Z
Islam	islam	Ncmsn
Latinski	latinski	Agpmsny
(	(	Z
Ž6258	Ž6258	X
)	)	Z
1,0	1,0	Mdc
LC	LC	Y
63063	63063	Mdc
