Strizirep	Strizirep	I
–	–	Z
L67091	L67091	X
3,9	3,9	Mdc
LC	LC	Y
67091	67091	Mdc
D60	D60	X
–	–	Z
Budimir	Budimir	Npmsn
–	–	Z
Ž6154	Ž6154	X
12,4	12,4	Mdc
LC	LC	Npmsn
67092	67092	Mdc
Ž6150	Ž6150	X
–	–	Z
Perkušić	Perkušić	Npmsn
–	–	Z
D60	D60	X
4,1	4,1	Mdc
LC	LC	Y
67093	67093	Mdc
Čerinpolje	Čerinpolje	Npnsn
–	–	Z
D60	D60	X
3,4	3,4	Mdc
LC	LC	Y
67094	67094	Mdc
Ž6150	Ž6150	X
–	–	Z
Blato	blato	Agpnsny
Brdo	brdo	Ncnsn
–	i	Agpnsny
Blato	blato	Ncnsn
na	na	Sl
Cetini	cetina	Ncfsl
(	(	Z
Ž6150	Ž6150	X
)	)	Z
3,9	3,9	Mdc
LC	LC	Npmsn
67095	67095	Mdc
Ž6260	Ž6260	X
–	–	Z
Rudine	rudina	Ncfpn
–	–	Z
L67086	L67086	X
2,4	2,4	Mdc
LC	LC	Y
67098	67098	Mdc
Dobranje	dobranje	Ncnsn
(	(	Z
Ž6153	Ž6153	X
)	)	Z
–	–	Z
Svib	Svib	Npmsn
(	(	Z
D39	D39	X
)	)	Z
4,2	4,2	Mdc
LC	LC	Npmsn
67099	67099	Mdc
D60	D60	X
–	–	Z
Kujići	Kujići	Npfsl
0,9	0,9	Mdc
LC	LC	Y
67100	67100	Mdc
Cista	cista	Ncfsn
Velika	velik	Agpfsny
(	(	Z
D60	D60	Mds
)	)	Z
–	–	Z
Balići	Balić	Npmpn
–	–	Z
Šestanovac	Šestanovac	Npmsn
(	(	Z
Ž6260	Ž6260	X
)	)	Z
8,2	8,2	Mdc
LC	LC	Npmsn
67101	67101	Mdc
D60	D60	X
–	–	Z
Ćorići	Ćorići	Npfsl
–	–	Z
D60	D60	X
2,8	2,8	Mdc
LC	LC	Y
67102	67102	Mdc
D39	D39	X
–	–	Z
Svibić	Svibić	Npmsn
–	–	Z
Ž6155	Ž6155	X
3,6	3,6	Mdc
LC	LC	Y
67103	67103	Mdc
Svib	Svib	Xf
(	(	Z
D39	D39	X
)	)	Z
–	–	Z
Svibić	Svibić	Npmsn
(	(	Z
L67102	L67102	X
)	)	Z
2,8	2,8	Mdc
LC	LC	Y
67104	67104	Mdc
Kamensko	kamenski	Agpnsny
(	(	Z
D220	D220	X
)	)	Z
–	–	Z
Krolo	Krolo	Npmsn
2,1	2,1	Mdc
LC	LC	Y
67105	67105	Mdc
GP	GP	Npfsg
Dvorine	Dvorina	Npfsg
–	–	Z
Ž6155	Ž6155	X
2,3	2,3	Mdc
LC	LC	Npmsn
67106	67106	Mdc
Studenci	Studenc	Npmpn
(	(	Z
Ž6155	Ž6155	X
)	)	Z
–	–	Z
Ž6156	Ž6156	X
4,1	4,1	Mdc
LC	LC	Y
67107	67107	Mdc
Udovičići	Udovičić	Npmpn
–	–	Z
Ž6155	Ž6155	X
2,4	2,4	Mdc
LC	LC	Y
67108	67108	Mdc
Šakići	Šakić	Npmpn
–	–	Z
Studenci	studenac	Ncmpn
(	(	Z
Ž6155	Ž6155	X
)	)	Z
0,8	0,8	Mdc
LC	LC	Y
67109	67109	Mdc
Okrug	okrug	Ncmsn
Donji	donji	Agpmsny
–	–	Agpmsny
Okrug	okrug	Ncmsn
Gornji	gornji	Agpmsny
(	(	Z
Ž6134	Ž6134	X
)	)	Z
4,4	4,4	Mdc
LC	LC	Y
67110	67110	Mdc
Okrug	okrug	Ncmsn
Gornji	gornji	Agpmsny
(	(	Z
Ž6136	Ž6136	X
)	)	Z
–	–	Z
Hovarštica	hovarštica	Ncfsn
1,1	1,1	Mdc
LC	LC	Y
67111	67111	Mdc
D111	D111	Mdc
–	–	Z
Grohote	grohot	Ncmpa
(	(	Z
D112	D112	X
)	)	Z
2,5	2,5	Mdc
LC	LC	Y
67112	67112	Mdc
Krilo	krilo	Ncnsn
(	(	Z
D8	D8	X
)	)	Z
–	–	Z
Jesenice	Jesenica	Npfsg
(	(	Z
D8	D8	X
)	)	Z
5,4	5,4	Mdc
LC	LC	Npmsn
67113	67113	Mdc
G.	G.	Y
Mirca	Mirc	Npmsg
–	–	Z
D114	D114	Mdc
–	–	Z
D.	D.	Y
Mirca	Mirc	Npmsg
1,1	1,1	Mdc
LC	LC	Y
67114	67114	Mdc
Dubrava	dubrava	Ncfsn
(	(	Z
Ž6163	Ž6163	X
)	)	Z
–	–	Z
Ćatići	ćatići	Agpmsny
1,4	1,4	Mdc
LC	LC	Y
67115	67115	Mdc
Ž6163	Ž6163	X
–	–	Z
Gata	gat	Ncmsg
(	(	Z
D70	D70	Mds
)	)	Z
7,2	7,2	Mdc
LC	LC	Npmsn
67116	67116	Mdc
A.	A.	Y
G.	G.	Y
Grada	Grad	Npmsg
Splita	Split	Npmsg
–	–	Z
Račnik	račnik	Ncmsn
–	–	Z
Ž6142	Ž6142	X
2,9	2,9	Mdc
LC	LC	Y
67117	67117	Mdc
Crkva	Crkva	Npfsn
»	»	Z
Male	mali	Agpfsgy
Gospe	gospa	Ncfsg
«	«	Z
–	–	Z
Tugare	Tugara	Npfsg
–	–	Z
Osić	Osić	Npmsn
1,3	1,3	Mdc
LC	LC	Y
67118	67118	Mdc
Ž6142	Ž6142	X
–	–	Z
Naklice	Naklica	Npfsg
1,2	1,2	Mdc
LC	LC	Y
67119	67119	Mdc
Dugi	dug	Agpmsny
Rat	rat	Ncmsn
:	:	Z
D8	D8	X
–	–	Z
Centar	centar	Ncmsn
–	–	Z
D8	D8	X
2,0	2,0	Mdc
LC	LC	Y
67120	67120	Mdc
Duče	Duča	Npfsg
–	–	Z
D8	D8	X
4,4	4,4	Mdc
LC	LC	Y
67121	67121	Mdc
Čisla	Čisl	Npmsg
(	(	Z
D70	D70	X
)	)	Z
–	–	Z
Ostrvice	Ostrvica	Npfsg
–	–	Z
Zvečanje	zvečanje	Ncnsn
(	(	Z
D70	D70	X
)	)	Z
3,6	3,6	Mdc
LC	LC	Y
67122	67122	Mdc
Omiš	omiti	Vmr2s
(	(	Z
D8	D8	X
)	)	Z
–	–	Z
Borak	Borak	Npmsn
3,4	3,4	Mdc
LC	LC	Y
67123	67123	Mdc
Ž6166	Ž6166	X
–	–	Z
Svinišće	Svinišće	Npnsn
–	–	Z
Ž6166	Ž6166	X
6,6	6,6	Mdc
LC	LC	Y
67124	67124	Mdc
D8	D8	Xf
–	–	Z
Brzet	Brzet	Npmsn
–	–	Z
Nemira	nemir	Ncmsg
(	(	Z
D8	D8	X
)	)	Z
2,5	2,5	Mdc
LC	LC	Npmsn
67125	67125	Mdc
Ž6167	Ž6167	X
–	–	Z
Čelina	Čelina	Npfsn
(	(	Z
D8	D8	X
)	)	Z
0,7	0,7	Mdc
LC	LC	Npmsn
67126	67126	Mdc
Ž6164	Ž6164	X
–	–	Z
Postire	Postira	Npfsg
–	–	Z
Ž6161	Ž6161	X
2,4	2,4	Mdc
LC	LC	Y
67127	67127	Mdc
Ž6260	Ž6260	X
–	–	Z
Zečići	zečić	Ncmpn
–	–	Z
Kovačevići	Kovačević	Npmpn
–	–	Z
Kreševo	Kreševo	Npnsa
(	(	Z
