Toplice	toplice	Ncfpn
–	–	Z
A.	A.	Y
G.	G.	Y
Grada	grad	Ncmsg
Krapina	Krapina	Npfsn
11,5	11,5	Mdc
ŽC	ŽC	Npmsn
2158	2158	Mdc
A.	A.	Y
G.	G.	Y
Grada	grad	Ncmsg
Krapina	Krapina	Npfsn
–	–	Z
D.	D.	Y
Pačetina	pačetina	Ncfsn
–	–	Z
Sv.	sv.	Agpmsny
Križ	križ	Ncmsn
Začretje	Začretja	Npfsg
–	–	Z
Ciglenica	Ciglenica	Npfsn
Zagorska	Zagorska	Npfsn
(	(	Z
D1	D1	Mds
)	)	Z
5,9	5,9	Mdc
ŽC	ŽC	Npmsn
2160	2160	Mdc
Švaljkovec	Švaljkovec	Npmsn
(	(	Z
D1	D1	X
)	)	Z
–	–	Z
Sv.	sv.	Agpmsny
Križ	križ	Ncmsn
Začretje	Začretja	Npfsg
–	–	Z
Štrucljevo	Štrucljevo	Npnsn
–	–	Z
Zabok	Zabok	Npmsn
(	(	Z
Ž2195	Ž2195	X
)	)	Z
7,5	7,5	Mdc
ŽC	ŽC	Npmsn
2161	2161	Mdc
Ž2160	Ž2160	X
–	–	Z
Pustodol	Pustodol	Npmsn
Začretski	Začretski	Npmsn
–	–	Z
Tisanić	Tisanić	Npmsn
Jarek	Jarek	Npmsn
–	–	Z
Ž2195	Ž2195	X
7,6	7,6	Mdc
ŽC	ŽC	Npmsn
2162	2162	Mdc
Ciglenica	Ciglenica	Npfsn
Zagorska	Zagorska	Npfsn
(	(	Z
D1	D1	Mds
)	)	Z
–	–	Z
Brestovec	Brestovec	Npmsn
Orehovički	Orehovički	Npmsn
(	(	Z
Ž2164	Ž2164	X
)	)	Z
7,6	7,6	Mdc
ŽC	ŽC	Npmsn
2164	2164	Mdc
Orehovica	Orehovica	Npfsn
–	–	Z
Lug	Lug	Npmsn
Orehovički	Orehovički	Npmsn
(	(	Z
Ž2165	Ž2165	X
)	)	Z
5,1	5,1	Mdc
ŽC	ŽC	Npmsn
2165	2165	Mdc
V.	V.	Y
Komor	Komor	Npmsn
(	(	Z
Ž2125	Ž2125	X
)	)	Z
–	–	Z
Grabe	Grabe	Npmsn
–	–	Z
Bedekovčina	Bedekovčin	Npmsay
(	(	Z
D24	D24	X
)	)	Z
8,5	8,5	Mdc
ŽC	ŽC	Npmsn
2166	2166	Mdc
Mirkovec	Mirkovec	Npmsn
(	(	Z
D1	D1	X
)	)	Z
–	–	Z
Bedekovčina	Bedekovčin	Npmsg
(	(	Z
D24	D24	X
)	)	Z
6,0	6,0	Mdc
ŽC	ŽC	Npmsn
2167	2167	Mdc
Kebel	Kebe	Npmpg
–	–	Z
Ž2165	Ž2165	X
3,7	3,7	Mdc
ŽC	ŽC	Y
2168	2168	Mdc
Mače	mače	Ncnsn
(	(	Z
D29	D29	X
)	)	Z
–	–	Z
M.	M.	Y
Bukovec	Bukovec	Npmsn
–	–	Z
Poznanovec	Poznanovec	Npmsn
(	(	Z
D24	D24	X
)	)	Z
5,3	5,3	Mdc
ŽC	ŽC	Npmsn
2169	2169	Mdc
Zlatar	zlatar	Ncmsn
(	(	Z
D29	D29	Npmsn
)	)	Z
–	–	Z
G.	G.	Y
Batina	batina	Ncfsn
–	–	Z
Budinščina	Budinščina	Npfsn
(	(	Z
D24	D24	X
)	)	Z
16,7	16,7	Mdc
ŽC	ŽC	Npmsn
2170	2170	Mdc
G.	G.	Y
Batina	Batina	Npfsn
(	(	Z
Ž2169	Ž2169	X
)	)	Z
–	–	Z
